Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
АСПРО проектно-инжиниринговая компания,0,,83517995482,,ik-aspro.ru,,,454006  Челябинск  Российская улица  дом 59  1 этаж
АЗС ТЕХНОЛОГИИ торгово-сервисная компания,0,https://wa.me/79191299595,,79191299595, ,,,454048  Челябинск  Рубежная улица  дом 17-а  205 офис
РАЗО-СЕРВИС торгово-строительная фирма,0,https://wa.me/79517825028,,79517825028,,,,454047  Челябинск  2-я Павелецкая улица  дом 28
СТРОЙМАСТЕР проектно-строительная компания,0,,83512150307,, ,,,454080  Челябинск  улица Энтузиастов  дом 12  521 офис
АЛЬМЕРИКА торговая компания,0,,83512487615,, ,,,454053  Челябинск  Троицкий тракт  дом 25-ж
ГЕРМЕС строительная компания,0,,83512103980,, ,,,454038  Челябинск  Хлебозаводская улица  дом 15  203 офис
СМД-ТРЕЙД торговая фирма,0,https://wa.me/79517902405,,79517902405, ,,,454108  Челябинск  улица Харлова  дом 11  404 офис  4 этаж
ДЖОКЕРавто,0,,88003016084,,pts.zaimpodolsk.ru,,,454007  Челябинск  проспект Ленина  дом 26-а  строение 2
АВАНГАРД автоломбард,0,,83512232352,,www.avangar74.ru,http://vk.com/club149307307,,454007  Челябинск  Артиллерийская улица  дом 117
АВТОКЛУБ ломбард,0,,83512202059,, ,,,454016  Челябинск  Университетская набережная  дом 82
ДЕНЬГИ ПОД ПТС автоломбард,0,https://wa.me/79630862263,,79630862263,автоломбард-в-челябинске.рф,,,454084  Челябинск  проспект Победы  дом 160
АВТО ЛИДЕР,0,,83433282328,,автолидер.рф,http://vk.com/lombardleader,,454108  Челябинск  улица Харлова  дом 14
НАЦИОНАЛЬНЫЙ КРЕДИТ,0,,83433282328,,,,,
ЛЕВСЕР автоломбард,0,,83512374388,,www.levser.ru,,,454091  Челябинск  улица Монакова  дом 1-а
ФинАрт автоломбард,0,,83517763776,, ,,,454084  Челябинск  улица Кирова  дом 62  офис 307
АВТОДОМ автоломбард,0,,83512100300,,,,,454048  Челябинск  улица Энтузиастов  дом 30  офис 512
"ЗЕНИТ автоломбард ООО ""Ломбард Центр кредитов и займов""",0,,83512476868,, ,,,454080  Челябинск  улица Володарского  дом 30
ФИНМАРКЕТ автоломбард,0,,83512473335,, ,,,454021  Челябинск  улица Молодогвардейцев  дом 37-Б  209 офис
АВТОЛОМБАРД ИНВЕСТ,0,,83517230119,, ,,,454091  Челябинск  площадь Революции  дом 7  108 офис
ЛИДЕР автоломбард,0,,83512505777,, ,,,454108  Челябинск  улица Харлова  дом 14  1 этаж
ВОВИД+ЛОМБАРД автоломбард,0,,88005553921,,,,,454014  Челябинск  Комсомольский проспект  дом 85  1 этаж  вход с ул. Комсомольский проспект
АВТОЗАЙМ ломбард,0,https://wa.me/79507298888,,79507298888, ,,,454108  Челябинск  улица Харлова  дом 10
АВТОЛОМБАРД ПРЕМИУМ,0,,83517259053,, ,,,454087  Челябинск  улица Дарвина  дом 14  218 офис  2 этаж
ВОВИД+ЛОМБАРД автоломбард,0,,83517512896,,,,,454128  Челябинск  улица 40 лет Победы  дом 40  1 этаж
AutoCity,0,,83512164445,,autocity174.ru.autocity174,,,454092  Челябинск  Покровская улица  дом 10
МАРДАНОВ ИП,0,https://wa.me/79227510585,,79227510585,www.kantrakt.ru,,,454129  Челябинск  улица Машиностроителей  дом 54
Альянс автосервис,0,https://wa.me/79123139698,,79123139698,avtoservicealyanse.com,,,Челябинск  Строительная улица  дом 21/1
Автолайт,0,https://wa.me/79227560207,,79227560207, ,http://vk.com/avtoman_74,,Челябинск  Троицкая улица  дом 2-б
Denix,0,https://wa.me/79514843943,,79514843943,,,,Челябинск  улица 40 лет Октября  дом 29-а  корпус 4
Jms74 автосервис,0,,83517501964,, ,,,Челябинск  Звенигородская улица  дом 3  строение Л-14
Турбо автосервис,0,https://wa.me/79507432581,,79507432581,turbochel.ru,,,454038  Челябинск  Молодёжная улица  дом 18-б
Официальный дилер Peugeot,0,,83517999945,,,,,Челябинск  улица Братьев Кашириных  дом 135  корпус 5
АвтоЕвропа автосервис,0,https://wa.me/79634656555,,79634656555,autoeuropa74.ru,,,Челябинск  Аральская улица  дом 177
НАВИГАТОР ЗВУКА автосервис,0,https://wa.me/79080770171,,79080770171,,,,454048  Челябинск  улица Профинтерна  дом 60
КОМФОРТ АВТО автосервис,0,https://wa.me/79000721492,,79000721492, ,http://vk.com/comfortavtoclub92937370,,454017  Челябинск  улица Мира  дом 96/2
PANDORA фирменный установочный центр,0,,83512482481,, ,,,454106  Челябинск  Северо-Крымская улица  дом 43/2
EL-AVTO автомастерская,0,https://wa.me/79630898079,,79630898079,vk.com/club89825348,http://vk.com/club89825348,,454091  Челябинск  улица Курчатова  дом 2  а/1
АВТОДОКТОР центр установки оборудования и диагностики двигателя,0,,83512232486,, ,,,454138  Челябинск  улица Молодогвардейцев  дом 15
TAKUMI AVTO автосервис,0,,83519436100,, ,http://vk.com/takumi.avto,,454091  Челябинск  Красная улица  дом 4/2
ПЕЛЕН сертифицированный установочный центр,0,https://wa.me/79227566679,,79227566679,avtopelen.ru,http://vk.com/pelen74,,454006  Челябинск  Российская улица  дом 51-б
AVTOELF,0,,83512448747,, ,http://vk.com/avtoelf,,454085  Челябинск  улица Кулибина  дом 28
АВТОСЕРВИС,0,https://wa.me/79517958613,,79517958613,,,,454025  Челябинск  Ставропольская улица  дом 202/1
TONER 174 автостудия,0,https://wa.me/79511298252,,79511298252,vk.com/tonerrr174,http://vk.com/tonerrr174,,454081  Челябинск  Шадринская улица  дом 34  а/4
АВТОЭЛЕКТРИК компания по ремонту автоэлектрики,0,https://wa.me/79507466124,,79507466124,,,,456510  Челябинская область  Сосновский район  село Долгодеревенское  Свердловская улица  дом 38
VINYLSTUDIO74 детейлинг-студия,0,,83512481778,, ,,,454111  Челябинск  улица Газизуллина  дом 2
NEON CAR STUDIO,0,https://wa.me/79525096673,,79525096673,neon-car-studio74.turbo.site,http://vk.com/neon_car_studio,,454014  Челябинск  улица Профессора Благих  дом 7/20
АВТОЭЛЕКТРИК ПЛЮС,0,https://wa.me/79227501997,,79227501997,,,,454046  Челябинск  улица Артёма  дом 1  к1
ЦЕНТР АВТОЭЛЕКТРИКИ,0,,83519087788,,anatoliy74.ru,,,454111  Челябинск  улица Восточно-Желябова  дом 32/4
СТОЛЯРНАЯ МАСТЕРСКАЯ,0,https://wa.me/79507233819,,79507233819,vk.com/ataudio74,http://vk.com/ataudio74,,454087  Челябинск  улица Салтыкова  дом 24
SGM-CHEL,0,https://wa.me/79085846690,,79085846690,sgm-chel.ru,,,"454081  Челябинск  Шадринская улица  дом 102  авторынок ""Искра""  магазин Б-1"
VAG-GARAGE автосервис,0,https://wa.me/79000957430,,79000957430,vag-garage.tiu.ru,,,454138  Челябинск  Бахчисарайская улица  дом 31-а
ВЕКТОР консультационное бюро,0,https://wa.me/79512414687,,79512414687,,,,454018  Челябинск  2-й Северо-Крымский переулок  дом 10/1
ПРОФИТ ЛАЙН,0,,83512237547,, ,,,454106  Челябинск  проспект Победы  дом 238
CHECKANET мастерская по диагностике автомобилей,0,,83512232400,, ,http://vk.com/checkanet,,454081  Челябинск  Механическая улица  дом 101/9
АВТОКОМПЭКС компания по автодиагностике и автоэкспертизе,0,https://wa.me/79123176755,,79123176755, ,http://vk.com/avtokompax,,454014  Челябинск  проспект Победы  дом 344
ОЦЕНКА-5 оценочная компания,0,https://wa.me/79511249959,,79511249959,,,,456510  Челябинская область  Сосновский район  село Долгодеревенское  Школьный переулок  дом 9  Б
KОНСУЛ консультационно-экспертное бюро,0,https://wa.me/79085789803,,79085789803, ,,,454091  Челябинск  улица Елькина  дом 101  а к10
ДОБРЫЙ грузовой сервис,0,https://wa.me/79049745776,,79049745776,vk.com/public_servisavto74,http://vk.com/public_servisavto74,,454045  Челябинск  Телеграфная улица  дом 48
РЕБУС АВТО сервисный центр,0,,83512706010,, ,,,454081  Челябинск  улица Героев Танкограда  дом 79  п/1
АНЭКС экспертная организация,0,,83512234036,, ,http://vk.com/anex_expert,,454010  Челябинск  улица Гагарина  дом 7-а
КОРПОРАЦИЯ ЭКСПЕРТОВ компания,0,,83512230259,,ekspertiza174.site123.me,,,454010  Челябинск  улица Агалакова  дом 50
БЮРО ЭКСПЕРТИЗЫ И ОЦЕНКИ,0,,83517764117,, ,,,454018  Челябинск  улица Бехтерева  дом 51-б
ВЫХЛОПОФФ сервис по удалению катализаторов и чип-тюнингу,0,,83517007961,,vyhlopoff.ru,http://vk.com/vyhlopoff174,,454081  Челябинск  Механическая улица  дом 101
SIA PARTNERS юридическая компания,0,,83512486345,, ,http://vk.com/sia_partners,,454091  Челябинск  улица Труда  дом 95
СКАНСЕРВИС автосервис,0,,83512236838,, ,,,454090  Челябинск  проспект Ленина  дом 27  а/5
ПЛАТИНУМ экспертно-оценочная компания,0,,83512144494,, ,,,454080  Челябинск  улица Энгельса  дом 59
ГРАНД ИСТЕЙТ,0,,88007077025,,,,,454136  Челябинск  улица Молодогвардейцев  дом 31  к1
АВТОКОВРИКИ ЧЕЛЯБИНСК,0,,83512239533,,автоковрики-челябинск.рф,,,454000  Челябинск  улица Академика Сахарова  дом 11
"АВТОЧЕХЛЫ ""ДЕМИДОВ""",0,,83517741001,, ,,,454074  Челябинск  Сормовская улица  дом 19
ЛОКИС авточехлы,0,,83517741001,,,,,
Висс,0,https://wa.me/79227291007,,79227291007, ,,,Челябинск  2-я Потребительская улица  дом 36
ИМЭКС сервисный центр для грузовых и легковых автомобилей,0,,83517767809,, ,,,454021  Челябинск  Городская улица  дом 55
МАСТЕРСКАЯ ПО РЕМОНТУ КАРБЮРАТОРОВ,0,https://wa.me/79026134070,,79026134070, ,,,454081  Челябинск  улица Культуры  дом 79
Сервисный пункт,0,,83512696337,,диагностика-просто.рф,,,454091  Челябинск  Свердловский проспект  дом 51
АВТОСЕРВИС,0,https://wa.me/79220116353,,79220116353, ,,,454038  Челябинск  улица Монтажников  дом 9
АВТОСЕРВИС,0,,83512158484,, ,,,454007  Челябинск  Артиллерийская улица  дом 117
АВТОТЕХПЛЮС автосервис,0,https://wa.me/79043095426,,79043095426,www.avtotehplus.ru,,,454010  Челябинск  Сибирский переезд  дом 1
АВТОСЕРВИС НА УЛ. КОРОЛЕНКО 36,0,,83512235969,,,,,454053  Челябинск  улица Короленко  дом 36
АВТОСЕРВИС,0,https://wa.me/79085746481,,79085746481,,,,454081  Челябинск  Механическая улица  дом 24
СК АВТОСЕРВИС,0,,83517773516,, ,,,454038  Челябинск  Строительная улица  дом 11
АВТОКОРЕЕЦ автосервис,0,https://wa.me/79507306034,,79507306034,,,,454081  Челябинск  Механическая улица  дом 101
ГАРАЖ НА ТРУДОВОЙ автосервис,0,https://wa.me/79507362425,,79507362425, ,,,454047  Челябинск  Трудовая улица  дом 4
АВТОСНАБ автосервис,0,,83512695006,,avtosnabchel.fo.ru,,,454091  Челябинск  улица Газизуллина  дом 2
ВТОРОЙ УЧАСТОК автосервис,0,https://wa.me/79127762295,,79127762295,,,,454081  Челябинск  улица Героев Танкограда  дом 59-п
АВТОСЕРВИС,0,,83517774247,, ,,,454091  Челябинск  улица Постышева  дом 4
ЛАЙТ СЕРВИС автосервис,0,,83512382878,, ,,,454038  Челябинск  улица Монтажников  дом 8
АВТОСЕРВИС,0,https://wa.me/79028916738,,79028916738,,,,454046  Челябинск  дорога Меридиан  дом 57  70 бокс
ИНЖЕКТОР74 автосервис,0,,83512485833,,www.injector74.ru,http://vk.com/ustanovkagbo,,454048  Челябинск  улица Энтузиастов  дом 32-а
МАСТЕРСКАЯ ШИНОМОНТАЖА И ПОКРАСКИ АВТОМОБИЛЕЙ,0,https://wa.me/79080502166,,79080502166,,,,454010  Челябинск  улица 9 Мая  дом 4/1
ЭДВАРД автосервис,0,,83512473876,, ,,,454025  Челябинск  Доменная улица  дом 28  а
АВТОСЕРВИС,0,https://wa.me/79128916442,,79128916442,,,,454008  Челябинск  улица Косарева  дом 6  корпус 6
МАЛЯР АЛЬФА автосервис,0,https://wa.me/79525081388,,79525081388,autobox74.ru,http://vk.com/painter_alfa_303,,454012  Челябинск  Костромская улица  дом 316  а/2
ЭВРИКА автосервис,0,https://wa.me/79080644800,,79080644800,,,,454100  Челябинск  Звенигородская улица  дом 27/2
МАСТЕРСКАЯ ПО РЕМОНТУ СТЕКОЛ,0,https://wa.me/79514689388,,79514689388,,,,454046  Челябинск  улица Артёма  дом 1/4
DEKRISS мастерская по ремонту мебели,0,https://wa.me/79000747775,,79000747775, ,http://vk.com/dekriss174,,454081  Челябинск  Турбинная улица  дом 21/2
АВТОДОКТОР автосервис,0,https://wa.me/79512382745,,79512382745,,,,454018  Челябинск  улица Бехтерева  дом 65  а
АВТОСЕРВИС ИП Куленков Д.В.,0,https://wa.me/79028906001,,79028906001,,,,454077  Челябинск  улица Мамина  дом 84
АВТО РЕМОНТ 74,0,https://wa.me/79514749569,,79514749569, ,,,454085  Челябинск  улица Танкистов  дом 179/1
ЦЕНТР КУЗОВНОГО РЕМОНТА,0,https://wa.me/79517819929,,79517819929,,,,454038  Челябинск  улица Автоматики  дом 9  Б
LOGAN автосервис,0,https://wa.me/79080573188,,79080573188, ,,,454081  Челябинск  улица Горького  дом 61/1
AUTO CUSTOM детейлинг-центр,0,https://wa.me/79000623277,,79000623277,vk.com/club141944747,http://vk.com/club141944747,,454100  Челябинск  Олонецкая улица  дом 4
ПАНДА тонировочный центр,0,,83517766609,,vk.com/pandaton,http://vk.com/pandaton,,454018  Челябинск  Отрадная улица  дом 25  корпус 6
AUTOFACE STUDIO,0,,83517512987,, ,http://vk.com/autoface174,,454008  Челябинск  Свердловский тракт  дом 15  ст1
АВТОСЕРВИС,0,,83517767665,, ,,,454081  Челябинск  Российская улица  дом 1  в/2
IDEALAUTO центр удаления и ремонта вмятин без покраски,0,,83512356677,, ,http://vk.com/idealauto74,,454111  Челябинск  улица Газизуллина  дом 2  а/1
WASHTEC автомойка,0,,83517317096,,www.moika74.ru,http://vk.com/ablijur  http://vk.com/avtobaikmoika,,454902  Челябинск  Покровская улица  дом 10
MOBILE CENTRE автомойка,0,https://wa.me/79000803856,,79000803856,,,,454080  Челябинск  улица Энгельса  дом 44-д
НА ПОБЕДЕ автомоечный комплекс,0,https://wa.me/79226952626,,79226952626,,,,454112  Челябинск  улица Молодогвардейцев  дом 27-е
КАСКАД-АВТО автомоечный комплекс,0,https://wa.me/79227506029,,79227506029, ,http://vk.com/publickaskad74,,454036  Челябинск  Первомайская улица  дом 1  а/1
АВАНТА-АВТО автосервис,0,https://wa.me/79000223880,,79000223880,,,,454108  Челябинск  улица Тухачевского  дом 20
АВТОСЕРВИС ИП Погосян А.Ж.,0,https://wa.me/79043044626,,79043044626, ,,,454025  Челябинск  улица 32 годовщины Октября  дом 74
SAUBER AUTO автомойка,0,,83512301337,,,,,Челябинск  проспект Победы  дом 285  Б
АРТ АВТО! автомоечный комплекс,0,https://wa.me/79000666607,,79000666607,,,,454084  Челябинск  Каслинская улица  дом 5-а
TDS AUTO шиномонтажная мастерская,0,https://wa.me/79000815043,,79000815043,vk.com/tdsauto,http://vk.com/tdsauto,,454017  Челябинск  улица Ушакова  дом 6
НАНОМОЙКА,0,https://wa.me/79123004004,,79123004004,vk.com/club125093530,http://vk.com/club125093530,,454008  Челябинск  Цинковая улица  дом 1  Б
LENINSKY автокомплекс,0,https://wa.me/79320176669,,79320176669,,,,454010  Челябинск  улица Коммунаров  дом 12/1
МЕРИДИАН AUTO-SPA автомоечный комплекс,0,,83517766786,,,,,454007  Челябинск  улица Рождественского  дом 8  в
ИМПЕРИЯ автокомплекс,0,,83512582283,, ,,,Челябинск  улица Профессора Благих  дом 85  ст1
АВТОМОЙКА,0,https://wa.me/79507313145,,79507313145,,,,454036  Челябинск  Свердловский тракт  дом 12  Б к2
HUMAN AVTO SERVICE,0,https://wa.me/79127767677,,79127767677,,http://vk.com/club170176316  http://vk.com/club186762198,,454025  Челябинск  улица 32 годовщины Октября  дом 9  а
АВТОМОЙКА,0,,83512704037,,,,,454008  Челябинск  Свердловский проспект  дом 7-а  к1
WEBMOIKA.RU автомойка,0,https://wa.me/79193535336,,79193535336,webmoika.ru,,,454014  Челябинск  Солнечная улица  дом 6  в/2
Компания Урал-Глонасс,0,,83512170901,,uralglonass.ru,,,454080  Челябинск  улица Володарского  дом 28  офис 7
ОБЪЕДИНЕННЫЕ КООРДИНАТЫ УРАЛ,0,,83512003408,,okural.chelb.ru,,,454047  Челябинск  2-я Павелецкая улица  дом 36  корпус 1  офис 314
ПИОНЕР НПО,0,,83512433852,,www.npopioner.ru,,,454077  Челябинск  улица Шишкина  дом 87
АВТОСКОП,0,,83512398179,,www.avtoskope.ru,,,454084  Челябинск  проспект Победы  дом 160  офис 358
УРАЛЬСКИЕ НАВИГАЦИОННЫЕ СИСТЕМЫ,0,,83512472831,, ,,,454020  Челябинск  улица Курчатова  дом 23-б
СПУТНИК ТД,0,,83517742177,, ,,,454081  Челябинск  проспект Победы  дом 102
КОМФОРТ АВТО,0,,83517902369,, ,,,454081  Челябинск  улица Героев Танкограда  дом 60-п  промзона  территория ВостокМонтажМеханизация
ЛОКАРУС,0,,83517910601,,locarus.ru,,,454084  Челябинск  Кожзаводская улица  дом 10-а
ИННОВАЦИОННЫЕ СИСТЕМЫ,0,,83512391894,,www.1mt.ru,,,454078  Челябинск  улица Дзержинского  дом 93-б
ТЕСТ-ДРАЙВ,0,,83512779450,,lab-td.ru,http://vk.com/testdrive_lab,,454038  Челябинск  шоссе Металлургов  дом 88  оф.3-17
МЕТАЛХИМПРОМ,0,,83517911443,,,,,454008  Челябинск  Свердловский проспект  дом 8
УралАвтоИмпорт,0,,83512307333,, ,,,454048  Челябинск  улица Худякова  дом 12-а  офис 10
АВТОМОБИЛИ ПОД ЗАКАЗ,0,https://wa.me/79128988881,,79128988881,,,,454010  Челябинск
Автовыкуп 74,0,,83512155770,, ,,,Челябинск  Университетская набережная  дом 28
КупимВаз,0,https://wa.me/79000906180,,79000906180,kupimvaz.ru,,,Челябинск  улица Харлова  дом 12
Челломбард,0,https://wa.me/79128910751,,79128910751,челломбард.рф,,,Челябинск  улица Косарева  дом 63
Автоброкер офис,0,https://wa.me/79226368776,,79226368776, ,,,Челябинск  улица Академика Макеева  дом 27/80
Выкуп-авто,0,https://wa.me/79049774480,,79049774480,,,,Челябинск  улица Мира  дом 96
opendoor174.ru,0,https://wa.me/79823083071,,79823083071, ,,,Челябинск  улица Блюхера  дом 13
Скупка автомобилей,0,https://wa.me/79085865687,,79085865687,skupka-avto74.ru,,,Челябинск  улица 40 лет Победы  дом 43
РесурсАвто,0,,83517507439,, ,,,Челябинск  Свердловский тракт  дом 38  корпус 6
Автовыкуп 74.рф,0,https://wa.me/79525239111,,79525239111,,,,Челябинск  Свердловский проспект  дом 78
Автобанкомат,0,,83512238523,,autobankomat.ru,,,Челябинск  улица Воровского  дом 9-б
Uralrazbor174,0,https://wa.me/79028609022,,79028609022,uralrazbor174.ru,,,Челябинск  Туруханская улица  дом 47-а
Выкуп автомобилей в Челябинске и области Перекуп74,0,,83512482629,, ,,,Челябинск  Сибирский переезд  дом 1/5
Центр по выкупу битых автомобилей,0,https://wa.me/79514427007,,79514427007,,,,Челябинск  улица Чичерина  дом 8
Planar- Russia,0,,88003022321,,chelyabinsk.planar-russia.ru,,,454078  Челябинск  улица Дзержинского  дом 93-б
ГЕНЕРАТОРЫ И СТАРТЕРЫ 174 центр ремонта агрегатов автомобилей,0,,83517762040,, ,,,454008  Челябинск  Свердловский тракт  дом 9
