Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
ГАГАРИН автоломбард,0,,84012391973,, ,http://vk.com/rasprodazha_lombard,,236038  Калининград  Юбилейная улица  дом 2  1 этаж,,
АСъ мастерская,0,https://wa.me/79210060076,,79210060076,masteras39.ru,,,Калининград  улица Маршала Борзова  дом 58,,
TECHLINE студия автозвука,0,https://wa.me/79062305890,,79062305890,,,,236003  Калининград  Ялтинская улица  дом 66  корпус 1,,
DARK ANGEL центр автозвука,0,https://wa.me/79216180008,,79216180008,vk.com/darkangel39ru,http://vk.com/darkangel39ru,,236003  Калининград  Дачная улица  дом 6  Б,,
АВТОЭЛЕКТРИК+,0,https://wa.me/79527992958,,79527992958,vk.com/a9527992958,http://vk.com/a9527992958,,236039  Калининград  Портовая улица  дом 1  к3,,
CAR AUDIO магазин аудиосистем,0,,84012921250,,,,,236001  Калининград  Партизанская улица  дом 2,,
BIMMER AUDIO магазин электроники для авто и дома,0,,84012507773,,,,,236001  Калининград  улица Генерала Челнокова  дом 33,,
СЕРВИС АВТОЭЛЕКТРИКИ,0,https://wa.me/79062395095,,79062395095,,,,236048  Калининград  Ялтинская улица  дом 136,,
АВТОМЕДИАЦЕНТР установочный центр автоэлектроники,0,,84012577331,, ,http://vk.com/club23067591,,236010  Калининград  Спортивная улица  дом 6-б,,
АВТОЭЛЕКТРИК автоцентр,0,https://wa.me/79114945999,,79114945999,vk.com/club23067591,http://vk.com/club23067591,,236029  Калининград  улица Горького  дом 223-б,,
АВТОЗВУК автосервис,0,,84012774999,,,,,236001  Калининград  улица Свердлова  дом 33,,
LIDER автосервис,0,https://wa.me/79521180732,,79521180732,,,,236010  Калининград  улица Менделеева  дом 61-Б,,
MULTI MEDIA CAR автосервис,0,https://wa.me/79506732003,,79506732003,,http://vk.com/viza.natalia,,236010  Калининград  улица Менделеева  дом 86,,
АВТОЗАПМАРКЕТ сеть оптово-розничных автомагазинов,0,,84012538344,, ,http://vk.com/club23067591,,236001  Калининград  Московский проспект  дом 179,,
АВТО AUDIO установочный центр,0,https://wa.me/79114921458,,79114921458,autoaudio39.ru,http://vk.com/club23067591,,236005  Калининград  Транспортная улица  дом 2-ж,,
DISCOVERY автосервис,0,https://wa.me/79527996539,,79527996539,,http://vk.com/ex_exclusive_style,,236038  Калининград  улица Юрия Гагарина  дом 133-а,,
АВТОЗАПМАРКЕТ сеть оптово-розничных автомагазинов,0,,84012538344,, ,http://vk.com/club23067591,,236023  Калининград  Советский проспект  дом 91-97,,
3F SERVICE автосервис,0,,84012521216,,www.3fservice.ru,,,236010  Калининград  улица Менделеева  дом 61-Б,,
БАРСАВТО автосервис,0,,84012520902,, ,,,236005  Калининград  Транспортная улица  дом 2-ж,,
КАЛИНИНГРАДСКАЯ ЛАБОРАТОРИЯ СУДЕБНОЙ ЭКСПЕРТИЗЫ Управление Министерства юстиции РФ по Калининградской области,0,,84012534546,,xn--39-jlcey4aidcne5j.xn--p1ai,,,236022  Калининград  улица Космонавта Леонова  дом 9,,
АВТОЭКСПЕРТ компания по подбору и проверке автомобилей перед покупкой,0,https://wa.me/79062382008,,79062382008,xn---39-5cdbjdu9bybhdnd9a.xn--p1ai,http://vk.com/autoexpert_kaliningrad,,236010  Калининград  улица Менделеева  дом 61  в,,
АВТОПОДБОР39 компания по подбору автомобилей,0,https://wa.me/79114847897,,79114847897, ,http://vk.com/avtopodbor39,,236006  Калининград  Кирпичная улица  дом 7-9,,
ВЭД-ЭКСПЕРТ юридическая и экспертная компания,0,,84012640650,,vedexpert39.ru,,,236006  Калининград  Октябрьская улица  дом 57,,
ПРОФИЛАКТИК.АВТО.,0,https://wa.me/79216171818,,79216171818, ,,,236038  Калининград  улица Юрия Гагарина  дом 106  к3,,
ПУНКТ ТЕХНИЧЕСКОГО ОСМОТРА,0,,84012573291,, ,,,236038  Калининград  4-я Большая Окружная улица  дом 61,,
ОЦЕНОЧНАЯ КОМПАНИЯ,0,,84012361340,, ,,,236006  Калининград  Октябрьская площадь  дом 8,,
ОЦЕНОЧНОЕ БЮРО,0,,84012916129,, ,,,236022  Калининград  улица Карла Маркса  дом 75-83,,
ОЦЕНКА-ЭКСПЕРТИЗА,0,,84012988230,, ,,,236016  Калининград  улица Фрунзе  дом 107,,
СТАНДАРТ ОЦЕНКА оценочная компания,0,,84012697050,,www.standartocenka.ru,,,236016  Калининград  Пражская улица  дом 3,,
КОМИССАР ПЛЮС оценочная компания,0,,84012363471,,,,,236008  Калининград  Ленинградская улица  дом 4,,
СТАРТЕР ПРОФИ автосервис,0,,84012902113,,www.sp-auto39.ru,,,236009  Калининград  улица Горького  дом 285,,
БАРСАВТО автосервис,0,,84012520902,, ,,,236005  Калининград  Транспортная улица  дом 2-ж,,
АЛГОРИТМ автосервис,0,,84012708999,,,,,236001  Калининград  Ялтинская улица  дом 20-в,,
АРКТИКА,0,,84012376273,, ,,,236022  Калининград  улица Кирова  дом 1  27 офис,,
GAGARIN центр продажи автомобилей,0,,84012611073,, ,,,236038  Калининград  Юбилейная улица  дом 2,,
БЮРО НЕЗАВИСИМОЙ ЭКСПЕРТИЗЫ И ОЦЕНКИ,0,,84012960101,, ,,,236010  Калининград  улица Менделеева  дом 9  2 этаж,,
АВТОКЛИМАТ автосервис,0,,84012508188,, ,,,236009  Калининград  Большая Окружная улица  дом 5,,
СЕРВИС ПОДВЕСКИ ПЛЮС СТО,0,,84012333503,,servispodveski.com,,,236016  Калининград  Артиллерийская улица  дом 22-Б,,
MAZDA автоцентр официальный дилер,0,,84012999690,, ,,,236004  Калининград  улица Дзержинского  дом 130,,
АВТОРЕМОНТНАЯ МАСТЕРСКАЯ ИП Багно С.Ю.,0,,84012385816,, ,,,236008  Калининград  улица Александра Невского  дом 120  корпус 1,,
АВТОСЕРВИС ИП Азарин С.Ю.,0,https://wa.me/79520505682,,79520505682, ,,,236016  Калининград  улица Литовский Вал  дом 40  корпус 1  11 бокс,,
ДИНАМИКА автосервис,0,,84012999890,,dynamica-kaliningrad.ru,http://vk.com/club94615162,,236004  Калининград  улица Дзержинского  дом 130,,
CHEVRON автоцентр,0,,84012373289,, ,,,236023  Калининград  улица Маршала Борзова  дом 58-п  корпус 1,,
V8 автоцентр,0,,84012672624,,,http://new.vk.com/autotuning_39,,236005  Калининград  Печатная улица  дом 51,,
АВТОСЕРВИС ИП Степанов А.М.,0,,84012922922,,,http://vk.com/auto_es,,236039  Калининград  Узловая улица  дом 16-Б,,
БАЛТИЙСКИЙ автоцентр,0,,84012375037,, ,,,236008  Калининград  улица Александра Невского  дом 120-Б,,
MECHANIK автосервис,0,https://wa.me/79114921087,,79114921087,,,,236023  Калининград  улица Алябьева  дом 34,,
ЛЕГААВТО автосервис,0,https://wa.me/79082900706,,79082900706,,,,236039  Калининград  Портовая улица  дом 20-в,,
ГРУВЕЛЬТ автокомплекс,0,https://wa.me/79097838800,,79097838800,,http://vk.com/artlorika,,236003  Калининград  Московский проспект  дом 262,,
ЧИСТЫЙ МИР,0,,84012507747,,clean-world.tiu.ru,,,236038  Калининград  Пригородная улица  дом 4,,
AUTO STUDIO мастерская,0,,84012758972,,,,,236000  Калининград  Транспортная улица  дом 17-А,,
СЕРВИС КУЗОВНОГО РЕМОНТА ИП Журилов В.П.,0,https://wa.me/79520537884,,79520537884, ,http://vk.com/club159444706,,236034  Калининград  улица Дзержинского  дом 138  а к6,,
АВТОСЕРВИС НА КИРПИЧНОЙ,0,https://wa.me/79003482410,,79003482410,,,,236016  Калининград  Кирпичная улица  дом 7-9 к2,,
ЦЕЗАРЬ автосервис,0,,84012379598,, ,,,236019  Калининград  улица Докука  дом 53,,
DRIVE SERVICE мастерская кузовного ремонта,0,https://wa.me/79114847824,,79114847824,,,,236023  Калининград  улица Маршала Борзова  дом 90-а  корпус 2,,
LARUSBALT детейлинг-центр,0,https://wa.me/79114795944,,79114795944, ,http://vk.com/larusbalt,,236023  Калининград  Советский проспект  дом 134-а,,
GARAGE_DETAILING39,0,https://wa.me/79814757717,,79814757717,,,,236023  Калининград  улица Габайдулина  дом 56,,
OS-KAR-AVTO,0,https://wa.me/79052493553,,79052493553, ,,,236001  Калининград  улица Александра Невского  дом 189  в,,
DADS GARAGE,0,https://wa.me/79005669634,,79005669634,,,,236001  Калининград  Украинская улица  дом 1,,
ПОЛИРОВКА_KLD автосервис,0,https://wa.me/79114627920,,79114627920,,,,236039  Калининград  проспект Калинина  дом 117  к2,,
СЛУЖБА НЕЗАВИСИМЫХ АВАРИЙНЫХ КОМИССАРОВ,0,,84012300002,,www.300-002.ru,,,236001  Калининград  Пролетарская улица  дом 131  е,,
КАМСКИЙ центр кузовного ремонта,0,,84012774455,, ,,,236005  Калининград  Камская улица  дом 2-б,,
ФОРСАЖ автосервис,0,https://wa.me/79114970332,,79114970332, ,,,236010  Калининград  Балтийский переулок  дом 1,,
АВТОСЕРВИС,0,https://wa.me/79062385786,,79062385786,,,,236038  Калининград  Пригородная улица  дом 22,,
CARREST технический центр кузовного ремонта,0,,84012376780,, ,,,236011  Калининград  Ульяны Громовой улица  дом 132,,
94-Й АВТОМОБИЛЬНЫЙ РЕМОНТНЫЙ ЗАВОД,0,,84012687723,, ,,,236004  Калининград  улица Дзержинского  дом 55,,
Интер-Авто автотехцентр,0,,84012390712,, ,https://vk.com/kldoil  http://vk.com/kenigavtotech,,Калининград  Нарвская улица  дом 51  a,,
АВТОМОЙКА,0,https://wa.me/79062396163,,79062396163,,,,236034  Калининград  улица Ивана Земнухова  дом 4,,
УДАЧНАЯ автомойка,0,,84012391464,,,,,236003  Калининград  Дачная улица  дом 6  Б,,
AQUA-LUX автомойка самообслуживания,0,https://wa.me/79114789945,,79114789945,,,,236023  Калининград  Каштановая аллея  дом 183,,
HONDA автокомплекс,0,,84012337222,,concept-kld.ru,,,236004  Калининград  Полтавская улица  дом 7  лит И,,
AUTOHAUS.DETAILING детейлинг-центр,0,,84012695737,, ,http://vk.com/autohaus.detailing,,236001  Калининград  улица Генерала Челнокова  дом 43  к1,,
ФАВОРИТ грузовая автомойка,0,https://wa.me/79110728916,,79110728916,,,,236034  Калининград  улица Энергетиков  дом 5  к1,,
VISUAL ESTHETICS DETAILING студия детейлинга,0,,84012526501,, ,,,236001  Калининград  улица Старшего Лейтенанта Сибирякова  дом 23-Б,,
SOKOL TEAM DETAILING студия детейлинга,0,,84012528282,,,,,236022  Калининград  улица Карла Маркса  дом 18  а к1,,
ЗАПАД автоцентр,0,,84012333337,,,,,236023  Калининград  улица Габайдулина  дом 56,,
AUTOHAUS.DETAILING детейлинг-центр,0,,84012695737,,,,,236010  Калининград  проспект Победы  дом 135  к1,,
AUTO-STUDIO шиномонтажная мастерская,0,,84012402233,, ,,,236005  Калининград  Судостроительная улица  дом 13-а,,
ROBOT CAR WASH автоматическая бесконтактная мойка,0,,88002018117,,robotcarwash.ru,,,238310  Калининград  улица Юрия Гагарина  дом 116,,
К-АВТО автомойка,0,,84012387988,,,,,236003  Калининград  Московский проспект  дом 173,,
АВТОМОЙКА,0,https://wa.me/79114591342,,79114591342,,,,236023  Калининград  улица Маршала Борзова  дом 48-а,,
ЭСКАДРИЛЬЯ детейлинг-центр,0,https://wa.me/79114830890,,79114830890,,,,236001  Калининград  улица Горького  дом 170-в,,
ЛОФТ/DETAILING,0,https://wa.me/79637373666,,79637373666, ,,,236003  Калининград  Ялтинская улица  дом 26-а,,
ТРАФИК МЕНЕДЖМЕНТ СИСТЕМ внедренческая фирма,0,,84012375939,, ,,,236006  Калининград  Октябрьская улица  дом 8  офис 317  РЫБНАЯ БИРЖА,,
НАВИКОМ КАЛИНИНГРАД ТФ,0,,84012982744,,,,,236029  Калининград  Горького улица  дом 55  офис 236,,
ЛЕГИОН-ИНФО центр информационных технологий,0,,84012563023,, ,,,236000  Калининград  улица Карла Маркса  дом 18  офис 701,,
AutoPrice39,0,https://wa.me/79992551560,,79992551560,autoprice39.ru,,,236006  Калининград  Московский проспект  дом 40,,
АВТОРЕГИОН ООО,0,,84012532201,,,,,236040  Калининград  Шевченко улица  дом 2,,
Выкуп авто,0,https://wa.me/79114550683,,79114550683, ,http://vk.com/interavto039,,Калининград  улица Дзержинского  дом 59-в,,
ТЕРМОСТАТ,0,,84012358322,,,,,236000  Калининград  улица Александра Невского  дом 32,,
БАРСАВТО автосервис,0,,84012520902,, ,,,236005  Калининград  Транспортная улица  дом 2-ж,,
СЕРВИС ПОДВЕСКИ ПЛЮС СТО,0,,84012333503,,servispodveski.com,,,236016  Калининград  Артиллерийская улица  дом 22-Б,,
PEUGEOT автосалон,0,,84012664161,, ,,,236038  Калининград  улица Юрия Гагарина  дом 2-к,,
PROTEAM39 автоцентр,0,https://wa.me/79118617712,,79118617712, ,,,236039  Калининград  Транспортная улица  дом 17-а  14 офис,,
АВТОЛАЙТ автокомплекс,0,,84012905540,,автолайт39.рф,,,236023  Калининград  улица Ломоносова  дом 106-а,,
АВТОЛАЙТ автокомплекс,0,,84012335546,, ,,,236022  Калининград  улица Карла Маркса  дом 6  16 павильон,,
ДИЗЕЛЬ-СЕРВИС автосервис,0,https://wa.me/79118555147,,79118555147,www.dieselservice-kaliningrad.narod.ru,http://vk.com/punkt_zameni_masla_n1,,236004  Калининград  Запорожская улица  дом 6  618 бокс,,
ДОЙЧЕДИЗЕЛЬ автосервис,0,,84012522868,,deutschediesel.ru,http://vk.com/punkt_zameni_masla_n1,,236010  Калининград  Ручейная улица  дом 1-Б,,
МАГАЗИН АВТОЗАПЧАСТЕЙ ИП Гаврик С.Н.,0,https://wa.me/79614640512,,79614640512,,http://vk.com/punkt_zameni_masla_n1,,236010  Калининград  проспект Победы  дом 135,,
АВТОСЕРВИС ИП Степанов А.М.,0,,84012922922,,,http://vk.com/auto_es,,236039  Калининград  Узловая улица  дом 16-Б,,
ДИЗЕЛЬ МОТОРС,0,https://wa.me/79097802575,,79097802575,,,,236023  Калининград  улица Рыбников  дом 93,,
ПУНКТ ЗАМЕНЫ МАСЛА № 1 автосервис,0,,84012373750,,pzm39.ru,http://vk.com/punkt_zameni_masla_n1,,236010  Калининград  проспект Мира  дом 144-а/2,,
РЕМОНТНАЯ МАСТЕРСКАЯ ИП Фокин А.А.,0,https://wa.me/79118539166,,79118539166, ,,,236006  Калининград  Правая набережная  дом 5-а  корпус 1,,
БАЛТИЙСКИЙ автоцентр,0,,84012375037,, ,,,236008  Калининград  улица Александра Невского  дом 120-Б,,
Мастер пф,0,,88003331949,,gs-akb.ru,http://vk.com/punkt_zameni_masla_n1,,Калининград  Московский проспект  дом 184,,
Термостат,0,,84012588065,, ,,,236000  Калининград  улица Еловая Аллея  дом 10-а,,
ГОС ОЦЕНКА,0,https://wa.me/79814573070,,79814573070,www.гос-оценка.рф,,,236000  Калининград  улица Менделеева  дом 61-в  офис 1,,
ВСЕРОССИЙСКОЕ ОБЩЕСТВО АВТОМОБИЛИСТОВ (ВОА) областной центр экспертизы,0,,84012962241,,,,,236010  Калининград  Менделеева улица  дом 9,,
НЕЗАВИСИМАЯ АВТОЭКСПЕРТИЗА центр оценки,0,,84012752254,,,,,236029  Калининград  Горького улица  дом 55  пав. 299,,
КОМИССАР ПЛЮС,0,,84012507039,,,,,236023  Калининград  Маршала Борзова улица  дом 58-п,,
ЦЮСЬКО С.Г. ИП,0,,84012641936,,,,,236039  Калининград  улица Багратиона  дом 41,,
НАМИ государственный научный центр ФГУП,0,,84012993604,,,,,236040  Калининград  Сергеева улица  дом 14  офис 130,,
Независимая автоэкспертиза,0,https://wa.me/79632904412,,79632904412,,,,236029  Калининград  Московский проспект  дом 83/89,,
Кбсэо ано,0,https://wa.me/79521147234,,79521147234, ,,,Калининград  Калязинская улица  дом 10-а,,
MORGAN торгово-производственная компания,0,,84012525271,,vk.com/club96458030,http://vk.com/club96458030  https://vk.com/m.avtokovrikov,,236001  Калининград  Нарвская улица  дом 75  1 этаж,,
АВТОКОВРИКИ 39 компания,0,,84012901264,, ,https://vk.com/avtokovriki_39  https://vk.com/autoset39,,236006  Калининград  Солнечный бульвар  дом 18-А,,
МАСТЕРСКАЯ ПО ИЗГОТОВЛЕНИЮ АВТОКОВРОВ ИП Ляпин А.А,0,,84012374044,, ,https://vk.com/m.avtokovrikov  http://vk.com/club96458030,,236010  Калининград  Правая набережная  дом 7-А,,
"""АПОЛИС страховое агентство""",0,,84012762777,, ,,,236022  Калининград  проспект Мира  дом 81,,
ГОРОДСКОЕ БЮРО КРЕДИТОВАНИЯ автостраховая компания,0,https://wa.me/79052452580,,79052452580,,,,236039  Калининград  Портовая улица  дом 31  Б,,
ОСАГО39 страховая компания,0,https://wa.me/79527981010,,79527981010, ,,,236023  Калининград  улица Маршала Борзова  дом 58-а,,
КОМПАНИЯ АВТОСТРАХОВАНИЯ,0,https://wa.me/79062151888,,79062151888,,,,236039  Калининград  Портовая улица  дом 1,,
РУБИН АВТО автосалон,0,https://wa.me/79210054422,,79210054422,,,,236001  Калининград  улица Генерала Челнокова  дом 11  к15,,
ФСТ-ГРУПП страховое агентство,0,https://wa.me/79062189354,,79062189354, ,,,236023  Калининград  улица Маршала Борзова  дом 58  строение 1,,
ЦЕНТР СТРАХОВАНИЯ,0,https://wa.me/79003534444,,79003534444, ,,,236001  Калининград  Озерная улица  дом 15-19,,
ТЕХО39 пункт технического осмотра,0,,84012921323,, ,http://vk.com/tex_ocmotp,,236006  Калининград  Правая набережная  дом 5-а  корпус 4,,
АВТОКОМПАНИЯ 2Х2 центр оформления,0,,84012792802,,,,,236006  Калининград  Юбилейная улица  дом 2  корпус 1,,
AUTODREAM,0,,84012423301,, ,http://vk.com/alexa140214,,236034  Калининград  улица Левитана  дом 18,,
AUTOHUB,0,,84012507306,,,,,236001  Калининград  улица Профессора Баранова  дом 34,,
БРИТИШ ПРЕМИУМ официальный дилер Jaguar Land Rover,0,,84012519070,, ,,,236048  Калининград  Большая Окружная улица  дом 19,,
OMEGA RENT39 компания по автопрокату,0,,84012390993,, ,,,236040  Калининград  улица Подполковника Иванникова  дом 8,,
JAC КАЛИНИНГРАД компания,0,,84012384499,,jac-kaliningrad.ru,,,236004  Калининград  Полтавская улица  дом 7,,
ТАЛИСМАНАВТО компания по выкупу автомобилей,0,https://wa.me/79097994444,,79097994444,talismanauto.ru,http://vk.com/club200881870,,236003  Калининград  Ялтинская улица  дом 86/1,,
ЭНЕРГИЯ-MARKET,0,https://wa.me/79520599899,,79520599899,energia-market.ru,,,236003  Калининград  Московский проспект  дом 171-а,,
НАДЕЖНЫЕ АВТОМОБИЛИ компания,0,https://wa.me/79062302583,,79062302583,,,,236048  Калининград  Московский проспект  дом 258  а к3,,
БМВ РУСЛАНД АУТОМОТИВ,0,,84952587615,,,,,236006  Калининград  Ленинский проспект  дом 30,,
ФИРМА ФБ,0,,84012215926,,,,,236000  Калининград  улица Космонавта Леонова  дом 36/38,,
АВТОТОР ХОЛДИНГ,0,,84012590012,, ,,,236013  Калининград  Магнитогорская улица  дом 4,,
ЁНГСАН КЛД,0,https://wa.me/79216134319,,79216134319,youngsan.com,,,236001  Калининград  улица Профессора Баранова  дом 34  639 офис  6 этаж,,
Нижкомтранс автомобильный завод,0,,84012658182,,az-nkt.ru,,,Калининград  улица Энергетиков  дом 281,,
TRAVEL CAR,0,https://wa.me/79210066886,,79210066886,travelcar39.ru,https://vk.com/travel_car.rent,,236038  Калининград  Стрелецкая улица  дом 21-а,,
БАЛТИЙСКИЙ АВТОПРОКАТ,0,https://wa.me/79814758239,,79814758239, ,http://vk.com/club67346744,,236038  Калининград  улица Юрия Гагарина  дом 227,,
Carental.ru,0,https://wa.me/79612803868,,79612803868, ,,,236008  Калининград  улица Александра Невского  дом 53,,
BONUS AVTO служба автопроката и страхования,0,,84012402610,, ,http://vk.com/club173698504,,236039  Калининград  проспект Калинина  дом 2,,
АВТОБАЛТ - 2005 компания по прокату авто,0,,84012331333,, ,,,236023  Калининград  улица Габайдулина  дом 56,,
POLORENT39.RU компания по прокату автомобилей,0,,84012666605,, ,,,236023  Калининград  Советский проспект  дом 112  к3,,
AUTO JET салон автопроката,0,,88005506866,,autojet39.ru,http://vk.com/autojet39,,236006  Калининград  улица Виктора Гюго  дом 1,,
DRIVE служба проката и аренды автомобилей,0,,84012695141,, ,http://vk.com/drive39_net,,236001  Калининград  улица Горького  дом 176-г  корпус 1,,
RENTNEWCAR компания,0,,84012398895,, ,,,236038  Калининград  Артиллерийская улица  дом 77,,
TIMERENT компания автопроката,0,,84012398209,, ,,,236022  Калининград  улица Карла Маркса  дом 6,,
GOODCAR39 компания по автопрокату,0,,84012390493,, ,,,236001  Калининград  улица Александра Невского  дом 253,,
METRA CAR центр проката,0,,84012376157,, ,,,236005  Калининград  Транспортная улица  дом 2  ж к7,,
URBAN RENT компания,0,,84012401188,, ,,,236006  Калининград  Ленинский проспект  дом 7-9,,
LOCAL CAR компания автопроката,0,,88003008880,,localcar24.ru,,,236006  Калининград  Барнаульская улица  дом 2,,
RENTAL-PLUS компания автопроката,0,,84012999889,, ,,,236001  Калининград  Озерная улица  дом 45,,
ВОЯЖ компания по автопрокату,0,,84012555345,, ,,,236001  Калининград  улица Генерала Челнокова  дом 43,,
