Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
АВТОМАСТЕРСКАЯ,0,,88162604505,,,,,173021  Великий Новгород  Нехинская улица  дом 48  корпус 1
LIFAN  автосалон,0,,88162500525,,mandarincentr.ru,,,173008  Великий Новгород  Северная улица  дом 2
АВТОЗВУК  магазин,0,https://wa.me/79116430882,,79116430882,,http://vk.com/club59208621,,173016  Великий Новгород  проспект Александра Корсунова  дом 18
СКУПКА-53,0,https://wa.me/79062058888,,79062058888,www.skupka53.ru,http://vk.com/club71391394,,Великий Новгород  набережная Александра Невского  дом 19/1
МАЯЧОК  автосервис,0,,88162676767,, ,,,173020  Великий Новгород  Студенческая улица  дом 31  корпус 3
РЕЗОНАНС-АВТО  автостудия,0,https://wa.me/79211934600,,79211934600,vk.com/rezonans53,http://vk.com/rezonans53  http://vk.com/club69389099  https://vk.com/chameleon53  http://vk.com/garage53region,,173020  Великий Новгород  Хутынская улица  дом 42-а/2
АВТОСЕРВИС 104,0,,88162929280,,vk.com/avtoservice104,http://vk.com/avtoservice104,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 104  корпус 4
ЦЕНТР ЭКОНОМИЧЕСКОГО АНАЛИЗА И ЭКСПЕРТИЗЫ,0,,88162559540,,www.ceae-ocenka.ru,http://vk.com/expertizaianaliz,,173021  Великий Новгород  Нехинская улица  дом 57
APEX GROUP  оценочная компания,0,,88162640722,, ,,,173008  Великий Новгород  Рабочая улица  дом 42-а
АВВА-ТРАНС ГРУПП,0,,88162686686,, ,https://vk.com/public164944823,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 107
АВТОНАДЗОР  станция технического осмотра,0,,88162552200,,,,,173020  Великий Новгород  Хутынская улица  дом 42-А
КОНТРОЛЬ  станция технического осмотра,0,https://wa.me/79212090278,,79212090278,,,,174580  Новгородская область  Хвойная  улица Кремеса  дом 1
УПРАВЛЕНИЕ МВД РФ ПО НОВГОРОДСКОЙ ОБЛАСТИ  МРЭО ГИБДД,0,,88162981667,, ,https://vk.com/public164944823,,183038  Великий Новгород  Хутынская улица  дом 42
ПАТП-2  станция технического осмотра,0,,88162601035,,,,,173020  Великий Новгород  Хутынская улица  дом 10
ФЕРЗЬ  центр спортивных единоборств,0,,88162552626,, ,,,173003  Великий Новгород  Великая улица  дом 22  корпус 1
ТРАС  независимая экспертная компания,0,,88162961000,,,,,173016  Великий Новгород  улица Ломоносова  дом 25-а
ЦЕНТРАВТОЭКСПЕРТИЗА,0,,88162556211,, ,,,173009  Великий Новгород  Октябрьская улица  дом 8-а  2.29 офис  2 этаж
ЦНПЭ  центр независимой потребительской экспертизы,0,,88162603457,, ,,,173016  Великий Новгород  проспект Александра Корсунова  дом 14-а  508 офис  5 этаж
ЦЕНТР ЭКСПЕРТИЗЫ,0,,88162610429,, ,,,173024  Великий Новгород  улица Свободы  дом 27  корпус 1
СЗРЦСЭ  Северо-Западный Региональный центр судебной экспертизы,0,,88162602932,, ,,,173016  Великий Новгород  проспект Александра Корсунова  дом 14-а  508 офис  5 этаж
АВТОПАРК  многопрофильная компания,0,,88162700201,,,,,173008  Великий Новгород  Рабочая улица  дом 55  корпус 1
ИП МАТОЛИНЕЦ,0,https://wa.me/79062011317,,79062011317,www.russianto.ru,,,173000  Великий Новгород  улица Рогатица  дом 34
МАСТЕРСКАЯ АВТОДИАГНОСТИКИ,0,https://wa.me/79517283011,,79517283011, ,,,173025  Великий Новгород  проспект Мира  дом 21-Б  1 этаж
ПРОФЕССИОНАЛЬНАЯ ЭКСПЕРТИЗА И ОЦЕНКА,0,https://wa.me/79116004016,,79116004016, ,,,173004  Великий Новгород  улица Тимура Фрунзе-Оловянка  дом 17/3
ПАРТНЕР  автоателье,0,,88162606015,, ,http://vk.com/club79517135,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 39
АВТОСЕРВИС,0,https://wa.me/79524884180,,79524884180,,http://vk.com/avtoservice104,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 120  корпус 4
МАСТЕРСКАЯ АВТОДИАГНОСТИКИ,0,https://wa.me/79517283011,,79517283011, ,,,173025  Великий Новгород  проспект Мира  дом 21-Б  1 этаж
ЦЕНТР ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА НОВГУ,0,,88162559470,,,http://vk.com/garage_53,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 46
АВТОЛАЙК  техцентр,0,,88162900460,, ,http://vk.com/stoautolux,,173008  Великий Новгород  Рабочая улица  дом 25  корпус 4
АВТОРУМ-Н  СТО,0,https://wa.me/79082257319,,79082257319,,http://vk.com/avtoservice104,,173024  Великий Новгород  проспект Александра Корсунова  дом 32-д
МАГИСТРАЛЬ  автосервис,0,https://wa.me/79116223442,,79116223442,,http://vk.com/rezonans53  http://vk.com/club69389099,,173008  Великий Новгород  Магистральная улица  дом 8-а
ФОРВАРД-АВТО  автотехцентр,0,,88162602710,,www.forvardauto.ru,http://vk.com/shinaservice16,,173021  Великий Новгород  Нехинская улица  дом 57  строение 3
ЭКСПРЕСС  автосервис,0,,88162602929,, ,https://vk.com/club42293833  http://vk.com/autobox53,,173000  Великий Новгород  Никольская улица  дом 8-а
АВРОРА АВТО  автосервис,0,,88162553679,, ,https://vk.com/club138541790,,173526  Новгородская область  Новгородский район  поселок Панковка  Индустриальная улица  дом 21-А
ARTAUTO  студия стайлинга и детейлинга,0,,88162558817,, ,http://vk.com/tonirovkaartauto,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 64  о
АВТО-СИЛА  СТО,0,,88162558883,, ,http://vk.com/avtosila53,,173020  Великий Новгород  Хутынская улица  дом 56  Б
ГАРАЖИ  мастерская ретро автомобилей,0,https://wa.me/79658078201,,79658078201,vk.com/garage_i,http://vk.com/garage_i,,173016  Великий Новгород  проспект Александра Корсунова  дом 2  а ст13
КАРТРАНС,0,,88162601910,,www.novkartrans.ru,http://vk.com/avtomalyar53  https://vk.com/oiler53,,173018  Новгородская область  Новгородский район  поселок Григорово  Большая улица  дом 4
НОВХИТ  СТО,0,,88162605424,,novhit.ru,https://vk.com/nordwest_vn,,173021  Великий Новгород  улица Кочетова  дом 28
АВТО-МК  автосалон Kia,0,,88162500717,, ,https://vk.com/avtostar_vn,,173008  Великий Новгород  Северная улица  дом 2
У ВАСИЛИЧА  СТО,0,,88162603963,,,http://vk.com/club6285152  https://vk.com/cuzovenergy  http://vk.com/tweakcar,,173003  Великий Новгород  Черепичная улица  дом 23-а
ТРАК ЦЕНТР  автомастерская,0,https://wa.me/79646943374,,79646943374,,,,173008  Великий Новгород  проезд Энергетиков  дом 10
TIMAUTO  автосервис,0,https://wa.me/79602060919,,79602060919, ,http://vk.com/tweakcar  http://vk.com/vanartservice  https://vk.com/avtostar_vn,,173003  Великий Новгород  Базовый переулок  дом 13
РУС-АВТО  автоцентр,0,,88162222333,,www.uaz-rusauto.ru,http://vk.com/club6285152  https://vk.com/cuzovenergy,,173002  Великий Новгород  улица Германа  дом 21-а
SUNRISE,0,,88162998699,,sunrise-vn.a5.ru,,,173008  Великий Новгород  Сырковское шоссе  дом 30
ВОСТОК АВТО  техцентр,0,,88162660888,, ,http://vk.com/club81751522,,173014  Великий Новгород  Московская улица  дом 57  корпус 1
АВТОЛЮКС  СТО,0,,88162339926,, ,http://vk.com/stoautolux  http://vk.com/empiremotorsvn,,173020  Новгородская область  Новгородский район  деревня Новая Деревня  переулок Пригородный  дом 9-а
MITSUBISHI  автосалон,0,,88162500009,, ,http://vk.com/autolife_vn  http://vk.com/avtomarket53,,173008  Великий Новгород  Северная улица  дом 2
ЧИБИС  СТО,0,https://wa.me/79506873719,,79506873719, ,http://vk.com/garage_53,,173020  Великий Новгород  Хутынская улица  дом 24-а
КАРДЕНТ  автомастерская,0,,88162600308,,www.kardent.nov.ru,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 39  строение 11
ARTMIX  студия аэрографии и дизайна,0,https://wa.me/79602023777,,79602023777,aeroartmix.ru,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 39  строение 11  12 офис  вход со двора
АВТОМОЙКА,0,,88162606520,,,,,173018  Великий Новгород  проспект Александра Корсунова  дом 38  а
PAINTBOX  автостудия,0,,88162555345,, ,http://vk.com/paintbox53,,173018  Новгородская область  Новгородский район  деревня Григорово  Большая улица  дом 4
CARRERA  автоцентр,0,,88162909911,, ,http://vk.com/carrera_vn,,173016  Великий Новгород  проспект Александра Корсунова  дом 6  а
DRIVER  СТО,0,,88162689207,, ,http://vk.com/drivervn,,173016  Великий Новгород  проспект Александра Корсунова  дом 14  к2
BAZA B13  автомойка,0,https://wa.me/79210209843,,79210209843,vk.com/baza_car_wash,http://vk.com/baza_car_wash,,173003  Великий Новгород  Базовый переулок  дом 13/2
АПЕЛЬСИН  автокомплекс,0,,88162559187,, ,,,173021  Великий Новгород  Дальняя улица  дом 1  г
СПУТНИК  автомойка,0,https://wa.me/79116007645,,79116007645,,,,173014  Великий Новгород  Студенческая улица  дом 31
GREEN POINT  автомойка,0,,88162904111,,vk.com/greenpoint53,http://vk.com/greenpoint53,,173020  Великий Новгород  Московская улица  дом 49
CAR WASH  автомойка,0,,88162552466,,vk.com/na_shinke_car_wash53,http://vk.com/na_shinke_car_wash53,,173008  Великий Новгород  Рабочая улица  дом 1  а
WEBCARE  автомойка,0,,88162273310,,www.rocketwash.me,,,173021  Великий Новгород  Нехинская улица  дом 48-в
BKF SERVICE,0,,88007006034,,bkfservice.ru,http://vk.com/bkfservice,,173008  Великий Новгород  Сырковское шоссе  дом 4
BUFFO STUDIO,0,https://wa.me/79992242138,,79992242138,,,,173021  Великий Новгород  Нехинская улица  дом 57  ст10
BKF SERVICE,0,,88007006034,,bkfservice.ru,http://vk.com/bkfservice,,173009  Великий Новгород  Псковская улица  дом 33
НОВАВТО,0,,88162556955,, ,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 43-А
ПТК-СЕРВИС НОВГОРОД  автомойка,0,,88162661781,,,,,173020  Великий Новгород  улица Державина  дом 1
АВТОМОЙКА,0,https://wa.me/79116381883,,79116381883,,,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 173
АКВА  автомойка,0,,88162645065,,,http://vk.com/club47176341,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 102  корпус 1
Redeemauto,0,,88003336441,,redeemauto.ru,,,Великий Новгород  улица Чудинцева  дом 2
Автобогос,0,https://wa.me/79013744481,,79013744481,autobogos.ru,,,Великий Новгород  Псковская улица  дом 2
Выкуп авто Verum-auto,0,https://wa.me/79602087818,,79602087818,,,,Великий Новгород  проспект Мира  дом 19
Verum-auto,0,https://wa.me/79602087818,,79602087818,,,,Новгородская область  Парфино  улица Карла Маркса  дом 61
АВТО СФЕРА  автосервис,0,https://wa.me/79212014063,,79212014063, ,https://vk.com/avtomatik53,,173008  Великий Новгород  Сырковское шоссе  дом 29
АВТОСЕРВИС,0,https://wa.me/79082260885,,79082260885,,https://vk.com/avtomatik53,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 82-а  корпус 3
АВТОМАТИК  техцентр,0,https://wa.me/79506815031,,79506815031, ,https://vk.com/avtomatik53,,173000  Великий Новгород  Большая Санкт-Петербургская улица  дом 81
Аэнком,0,https://wa.me/79216976566,,79216976566, ,,,Великий Новгород  улица Обороны  дом 26
CARPRICE  компания по выкупу автомобилей,0,,88002229403,, ,http://vk.com/carprice,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 57
MY CAR,0,,88162604454,, ,http://vk.com/mycar53,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 41  корпус 7
РРТ-АВТОМАРКЕТ,0,,88162682403,,nov.rrt-automarket.ru,http://vk.com/rrt_avtomarket.novgorod,,173008  Великий Новгород  Северная улица  дом 2
ХОЧУ АВТО,0,https://wa.me/79116297096,,79116297096,vk.com/autopodbor_nov,http://vk.com/autopodbor_nov,,173025  Великий Новгород  проспект Мира  дом 9
ГРАНИТ  автосалон,0,https://wa.me/79506843223,,79506843223,autogranit53.ru,,,173021  Великий Новгород  Нехинская улица  дом 59
SMART-ТЕХНИКА  магазин,0,https://wa.me/79581119503,,79581119503,xn----7sbbtpmjlyhob4b.xn--p1ai,,,173004  Великий Новгород  Большая Московская улица  дом 19
КОМПАНИЯ ПО ВЫКУПУ АВТОМОБИЛЕЙ,0,https://wa.me/79506843333,,79506843333,skupkaavto53.ru,,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 130
AUTOPLACE,0,https://wa.me/79062040101,,79062040101, ,,,173000  Великий Новгород  набережная Александра Невского  дом 23/1
ELEKTRO-MALL  магазин мобильного персонального электротранспорта,0,,88005518708,,velikiy-novgorod.elektro-mall.ru,http://vk.com/elektro_mall,,173001  Великий Новгород  Великая улица  дом 6  корпус 1
АЛЬЯНС  автоцентр,0,,88162339655,,kia.alliance-motors.ru,http://vk.com/avtonehinskiy,,173000  Великий Новгород  Большая Санкт-Петербургская улица  дом 39
НОВГОРОД-ЛАДА,0,,88162704070,, ,,,173014  Великий Новгород  Московская улица  дом 57
ФОРД-ЦЕНТР,0,,88162222888,,ford.alliance-motors.ru,,,173020  Великий Новгород  улица Державина  дом 16
ЕВРОАЛЬЯНС,0,,88162339659,, ,http://vk.com/avtonehinskiy,,173000  Великий Новгород  Большая Санкт-Петербургская улица  дом 39
АЛЬЯНС МОТОРС,0,,88162225588,,chevrolet.alliance-motors.ru,,,173020  Великий Новгород  улица Державина  дом 16
ЕВРОАЛЬЯНС  автосалон,0,,88162339656,, ,http://vk.com/avtonehinskiy,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 39  строение 8
ХЕНДАЙ,0,,88162649999,, ,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 41  корпус 7
ШКОДА,0,,88162739914,, ,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 41  корпус 7
РОСАВТОПРОКАТ,0,https://wa.me/79116392293,,79116392293,rosavtoprokat-v-velikom-novgorode.tiu.ru,https://vk.com/rosautoprokat_velikiynovgorod  https://vk.com/vtaxi777666,,173003  Великий Новгород  Великая улица  дом 22/1а
АВТО НА ПРОКАТ,0,https://wa.me/79062050404,,79062050404,auto-na-prokat.ru,,,173015  Великий Новгород  Псковская улица  дом 13
АВТО-РЕНТ,0,,88162556514,,www.ar53.ru,,,173024  Великий Новгород  проспект Александра Корсунова  дом 28-а  офис 304
АЛЛО  такси,0,,88162666666,,,,,173024  Великий Новгород  проспект Александра Корсунова  дом 28-а
ШЕСТЬ ПЯТЕРОК  такси,0,,88162555555,, ,,,173014  Великий Новгород  Московская улица  дом 53
СТАРЫЙ ПОРТ  служба заказа легкового транспорта,0,,88162777775,,,https://vk.com/vtaxi777666,,173003  Великий Новгород  Великая улица  дом 23
РУСЬ  служба заказа легкового транспорта,0,,88162500505,, ,https://vk.com/vtaxi777666,,173016  Великий Новгород  проспект Александра Корсунова  дом 14-а  1 этаж  левое крыло
ВИВА  такси,0,,88162700007,,,,,173003  Великий Новгород  Великая улица  дом 23
ВЕЗЁТ  служба заказа легкового транспорта,0,,88162608080,, ,,,173001  Великий Новгород  Большая Санкт-Петербургская улица  дом 21
ВОЛХОВ  служба заказа легкового транспорта,0,,88162535353,,,https://vk.com/novgorodprokat53,,173024  Великий Новгород  проспект Александра Корсунова  дом 28-а
ТАКСИ НАШЕГО ГОРОДА  служба заказа легкового транспорта,0,,88162670000,,,,,173024  Великий Новгород  проспект Александра Корсунова  дом 28-а
АВТО.НОВГОРОД  такси,0,,88162555555,, ,,,173014  Великий Новгород  Московская улица  дом 53  25 офис
ТВОЙ ВЫБОР  служба заказа легкового транспорта,0,,88162999999,,,,,173003  Великий Новгород  Великая улица  дом 22  63 офис  4 этаж
ПРЕСТИЖ-КОМФОРТ  служба заказа автотранспорта,0,,88162555556,, ,,,173021  Великий Новгород
GPS  такси,0,,88162730000,, ,,,173024  Великий Новгород  проспект Александра Корсунова  дом 28-а
САДКО  такси,0,,88162555551,, ,https://vk.com/vtaxi777666,,173014  Великий Новгород  Московская улица  дом 53
ВЖИК  автосервис,0,,88162501601,, ,http://vk.com/club64997351,,173020  Великий Новгород  Студенческая улица  дом 31  1 этаж
BLACK BOX,0,,88162606608,, ,,,173008  Великий Новгород  Сенная улица  дом 4
ВЕКТОР  ТСЦ,0,,88162600741,, ,http://vk.com/tehcentervector,,173020  Великий Новгород  Народная улица  дом 8-А
ТЕХНОПАРК ИНЖИНИРИНГ  сервисный центр,0,https://wa.me/79082257773,,79082257773, ,,,173020  Великий Новгород  Студенческая улица  дом 31
ГАРАНТ  технический центр,0,,88162778356,, ,,,173003  Великий Новгород  улица Германа  дом 29
НОВОСТАР,0,,88162649214,, ,,,173024  Великий Новгород  проспект Александра Корсунова  дом 32-А
GREAT WALL  автосалон,0,,88162500525,,,,,173008  Великий Новгород  Северная улица  дом 2
SUNRISE,0,,88162998699,,sunrise-vn.a5.ru,,,173008  Великий Новгород  Сырковское шоссе  дом 30
АВТОМАСТЕРСКАЯ,0,,88162604505,,,,,173021  Великий Новгород  Нехинская улица  дом 48  корпус 1
LIFAN  автосалон,0,,88162500525,,mandarincentr.ru,,,173008  Великий Новгород  Северная улица  дом 2
АВТОЗВУК  магазин,0,https://wa.me/79116430882,,79116430882,,http://vk.com/club59208621,,173016  Великий Новгород  проспект Александра Корсунова  дом 18
РЕЗОНАНС-АВТО  автостудия,0,https://wa.me/79211934600,,79211934600,vk.com/rezonans53,http://vk.com/rezonans53  http://vk.com/club69389099  https://vk.com/chameleon53  http://vk.com/garage53region,,173020  Великий Новгород  Хутынская улица  дом 42-а/2
МАСТЕР АВТО  автосервис,0,https://wa.me/79217310999,,79217310999, ,,,173003  Великий Новгород  Великая улица  дом 22  корпус 4
Техцентр Гарант,0,https://wa.me/79062036502,,79062036502,,,,Великий Новгород  улица Германа  дом 29
АДЕПТ-ЗАПЧАСТЬ,0,https://wa.me/79517233966,,79517233966, ,http://vk.com/club72533375,,173021  Великий Новгород  Нехинская улица  дом 59-а
АВТОСЕРВИС  ИП Журавлёв Л.Е,0,,88162685145,, ,http://vk.com/club72533375,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 73/1
ВИК АВТО,0,,88162552220,,www.instrument-nov.ru,,,173020  Великий Новгород  Хутынская улица  дом 60
GARAGE  автосервис  ИП Шахназарян Г.С.,0,,88162909052,, ,https://vk.com/garage_novavtoservis  http://vk.com/club61775602  http://vk.com/club97323654  https://vk.com/club64222691,,173015  Великий Новгород  Октябрьская улица  дом 10-а
АВЛИС  СТО,0,,88162605314,, ,,,173008  Великий Новгород  Сырковское шоссе  дом 27-а
КРУГЛЫЙ ГАРАЖ  станция технического осмотра,0,,88162602760,, ,,,173015  Великий Новгород  Нехинская улица  дом 1  в
BEST МАСТЕР,0,https://wa.me/79506840730,,79506840730,vk.com/club182273250,http://vk.com/club182273250,,173526  Новгородская область  Новгородский район  поселок Панковка  Строительная улица  дом 7  Б
ЦЕНТР ПЕРЕОБОРУДОВАНИЯ АВТОМОБИЛЕЙ,0,https://wa.me/79524890028,,79524890028,,,,173000  Великий Новгород  улица Федоровский Ручей  дом 2/13
GARAGEMASTER  автосервис,0,,88162553826,, ,http://vk.com/garagem.club,,173020  Великий Новгород  Студенческая улица  дом 33  лит А6
СТО,0,https://wa.me/79116000567,,79116000567,vk.com/avto_remont53,http://vk.com/avto_remont53,,173507  Новгородская область  Новгородский район  деревня Сырково  Пригородная улица  дом 7
КОР-МОТОР  центр ремонта дизельных двигателей,0,https://wa.me/79212038955,,79212038955,,,,173008  Великий Новгород  Сырковское шоссе  дом 30-а
АВТОДОКТОР  СТО,0,https://wa.me/79517200222,,79517200222,,,,173015  Великий Новгород  Полевой переулок  дом 1  а
СЕРВИС ПО РЕМОНТУ ТУРБИН,0,,88162901696,, ,,,173008  Великий Новгород  Северная улица  дом 2
АВТОСПЕЦМЕХАНИКА,0,https://wa.me/79116000362,,79116000362,,,,173008  Великий Новгород  Сырковское шоссе  дом 36
АВТОГОСТ  СТО,0,,88162600404,, ,http://vk.com/avtogost_53,,173008  Великий Новгород  Кирпичный переулок  дом 1
СТО НА ХУТЫНСКОЙ,0,,88162908990,, ,,,173020  Великий Новгород  Хутынская улица  дом 24-а
АВТОСЕРВИС,0,,88162902322,,vk.com/cto_avto_velikiy_novgorod,http://vk.com/cto_avto_velikiy_novgorod,,Новгородская область  Новгородский район  поселок Пролетарий  Пролетарская улица  дом 1
РУБИН  СТО,0,,88162998543,, ,http://vk.com/public179205140,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 75  ст1
R11  автосервис,0,,88162998381,,avtosistem53.ru,,,173008  Великий Новгород  Рабочая улица  дом 11  Б
АВТО-М  Центр кузовного ремонта,0,,88162700057,, ,http://vk.com/mko_avto_m,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 173  к3
ПАРИС  сеть автостоянок,0,https://wa.me/79116046828,,79116046828,,,,173020  Великий Новгород  Большая Московская улица  дом 102-Б
АВТОСТОЯНКА,0,https://wa.me/79116003164,,79116003164,,,,173018  Великий Новгород  проспект Александра Корсунова  дом 38  к8
АВТОСТОЯНКА,0,https://wa.me/79517219920,,79517219920,vk.com/club91664490,http://vk.com/club91664490,,173002  Великий Новгород  улица Германа  дом 23  д
АВТОСТОЯНКА,0,https://wa.me/79212084207,,79212084207,,,,173002  Великий Новгород  Октябрьская улица  дом 15  а
АВТОСТОЯНКА  ИП Павлов А.И.,0,https://wa.me/79539031695,,79539031695,,,,173008  Великий Новгород  Лужское шоссе  дом 2  г
АВТОСТОЯНКА,0,https://wa.me/79212084207,,79212084207,,,,173009  Великий Новгород  Псковская улица  дом 48/1
НОВЫЙ ГОРОД  автостоянка,0,,88162330490,,,,,173008  Великий Новгород  улица 8 Марта
