Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
GLOSS ROAD  автосервис,0,,84852283020,, ,https://vk.com/shymavto76,,150044  Ярославль  проспект Октября  дом 90-Б
ДИСА  автосервис,0,,84852954050,, ,,,150023  Ярославль  улица Павлова  дом 7
PANDORA  сервисный центр,0,,84852927776,,www.942112.ru,https://vk.com/shymavto76,,150049  Ярославль  проспект Толбухина  дом 3-а
EL-PRO  сервисная компания,0,,84852924272,,,https://vk.com/shymavto76,,150035  Ярославль  улица Калинина  дом 31
ГАРД  салон-магазин,0,,84852339039,,gardshop.ru,,,150040  Ярославль  проспект Октября  дом 72-а
КОМФОРТ АВТО  СТО,0,https://wa.me/79201254496,,79201254496,vk.com/club97168543,http://vk.com/club97168543  https://vk.com/avtoservis_avtozapchasti  https://vk.com/club71906879,,150030  Ярославль  Старая Костромская улица  дом 4
LUXORE-AUTO  магазин,0,https://wa.me/79611620001,,79611620001,vk.com/club71889716,http://vk.com/club71889716,,150003  Ярославль  проспект Октября  дом 78-Б  строение 2  38-39 модуль
Студия-магазин автозвука Audio Марка,0,,84852336065,,audio-marka76.ru,http://vk.com/carnanoua,,Ярославская область  Ярославский район  поселок Кузнечиха  Промышленная улица  дом 3
Шумоизоляция,0,,84852670224,,yarhimia.ru,,,Ярославль  Вспольинское Поле улица  дом 24
SHUMAVTO,0,https://wa.me/79109660902,,79109660902,vk.com/shymavto76,https://vk.com/shymavto76,,150064  Ярославль  улица Строителей  дом 20
TONAVTO  сервисная компания,0,https://wa.me/79301117554,,79301117554,www.tonavto76.ru,,,150064  Ярославль  улица Строителей  дом 20
АВТОСКАН  автосервис,0,https://wa.me/79807048284,,79807048284,,,,150049  Ярославль  Магистральная улица  дом 7
ЭКСПЕРТ АВТО  экспертная компания,0,https://wa.me/79201222899,,79201222899,,,,150054  Ярославль  улица Чехова  дом 16
MOTRONIC-SERVICE  автодиагностический центр,0,https://wa.me/79201007447,,79201007447,vk.com/motronic_service,http://vk.com/motronic_service,,150049  Ярославль  Магистральная улица  дом 2  корпус 1
БОЛТИК И ГАЕЧКА  мастерская автоэлектрики,0,https://wa.me/79201186066,,79201186066,vk.com/id531495145,http://vk.com/id531495145,,150065  Ярославль  улица Сахарова  дом 29-г
DR.ЁЖИКО  автоэлектросервис,0,,84852337134,, ,,,150044  Ярославль  Промышленная улица  дом 1  г
ГРМ ДТ  СТО,0,,84852331888,, ,,,150029  Ярославль  Софьи Перовской переулок  дом 38  Б
PAINTING TIME  автосервис,0,https://wa.me/79622117064,,79622117064,paintingtime76.ru,,,150049  Ярославль  Магистральная улица  дом 4
MEGAVOLT76  автосервис,0,https://wa.me/79206553100,,79206553100,Megavolt76.ru,,,150049  Ярославль  Магистральная улица  дом 4
АВТОДИАГНОСТИКА ЯРС,0,https://wa.me/79203027831,,79203027831,adyars.ru,,,150521  Ярославская область  Ярославский район  поселок Нагорный  Дорожная улица  дом 6  Б
МЕТАЛЛИК  оценочная компания,0,,84852916669,, ,,,150030  Ярославль  улица Гоголя  дом 24-а
НАТЭКС  независимая экспертная компания,0,,84852578088,, ,,,150044  Ярославль  Елены Колесовой улица  дом 15-а
НЕЗАВИСИМАЯ АВТОТЕХНИЧЕСКАЯ ЭКСПЕРТИЗА,0,https://wa.me/79019991112,,79019991112,,,,150003  Ярославль  Флотская улица  дом 8
НЕЗАВИСИМАЯ ЭКСПЕРТИЗА,0,,84852266572,, ,,,150049  Ярославль  Лисицына улица  дом 5
СПЭИС,0,,84852940550,,www.yar-assistance.ru,,,150014  Ярославль  проспект Толбухина  дом 30
ЭКСПЕРТНАЯ КОМПАНИЯ,0,,84852903681,, ,http://vk.com/club37998783,,150040  Ярославль  Свердлова улица  дом 34
ЯРОСЛАВЛЬ-ЗАПОЛЯРЬЮ  оценочная компания,0,,84852308366,, ,https://vk.com/kuzovoffyar,,150040  Ярославль  проспект Октября  дом 56
СФЕРА ИНТЕРЕСОВ  центр автоэкспертизы,0,https://wa.me/79159814773,,79159814773, ,,,150014  Ярославль  улица Салтыкова-Щедрина  дом 21  123 офис
ПАНТЕРА  автосервис,0,,84852940202,, ,,,150018  Ярославль  Большая Норская улица  дом 79  строение 1
БОКС79  автомастерская,0,,84852912772,,,http://vk.com/stoboroda  http://vk.com/yarbumer,,150047  Ярославль  Угличская улица  дом 39-в  литера Б-Б1
CAR-SERVICE  автотехцентр,0,https://wa.me/79066370088,,79066370088, ,http://vk.com/carservice76,,150001  Ярославль  Малая Пролетарская улица  дом 18-а
УАЗ  автосервис,0,,84852930323,, ,,,150044  Ярославль  проспект Октября  дом 86-а
АВТОМАСТЕРСКАЯ  ИП Клюкин В.В,0,https://wa.me/79201078654,,79201078654,,http://vk.com/carservice76,,150049  Ярославль  проспект Толбухина  дом 3-а
АВТО-АЛЕКС  служба эвакуации,0,https://wa.me/79201186725,,79201186725, ,https://vk.com/mobilniishinomontash76,,150044  Ярославль  Елены Колесовой улица  дом 17
VIT AVTO  автосервис,0,,84852663786,,,http://vk.com/carservice76,,150044  Ярославль  Осташинская улица  дом 35
ПРИЕМСТИЛЬ  автосервис,0,https://wa.me/79056318565,,79056318565,,http://vk.com/carservice76,,150044  Ярославль  Ленинградский проспект  дом 35
КОМПАНИЯ ПО ХИМЧИСТКЕ И ПОЛИРОВКЕ АВТОМОБИЛЕЙ,0,https://wa.me/79206560757,,79206560757,,,,150031  Ярославль  Деповский проезд  дом 1
ЦЕНТР КУЗОВНОГО РЕМОНТА  ИП Воронцов А.В.,0,https://wa.me/79036382374,,79036382374,,,,150044  Ярославль  улица Механизаторов  дом 14  к3
CUSTOM SQUAD  автомастерская кузовного ремонта,0,https://wa.me/79109733262,,79109733262, ,http://vk.com/customsquad,,150049  Ярославль  Магистральная улица  дом 32
PRIME-AUTO76  автосалон,0,,84852336346,, ,,,150003  Ярославль  проспект Октября  дом 78  д ст5
СЕРЕБРЯНАЯ СТРЕЛА  станция кузовного ремонта,0,https://wa.me/79605324555,,79605324555,,,,150049  Ярославль  проспект Толбухина  дом 1  а к1
СИМ DETALING  студия детейлинга,0,,84852388524,, ,http://vk.com/simdetailing,,150003  Ярославль  улица Полушкина Роща  дом 17  а
КУБ АВТОСТАТ 76  детейлинг-центр,0,,84852685957,, ,,,150052  Ярославль  улица Громова  дом 1  а
ПАЛЛАДА-СЕРВИС  авторемонтная мастерская,0,,84852339800,,,,,150006  Ярославль  2-я Суворовская улица  дом 9-а
КОРС МКЦ ЯРОСЛАВЛЬ  автосервис,0,,84852388685,,autoservice-yaroslavl.ru,,,150057  Ярославская область  Ярославский район  поселок Нагорный  Дорожная улица  дом 8
АВТОСЕРВИС 24,0,https://wa.me/79051336497,,79051336497,,,,150025  Ярославская область  Ярославский район  поселок Карачиха  Садовая улица  дом 5
BLACKAVTOYAR,0,https://wa.me/79109784265,,79109784265,,,,150014  Ярославль  проспект Толбухина  дом 2  а
GULLIVER  автоцентр,0,,84852700829,,,,,150049  Ярославль  Мышкинский проезд  дом 4-а
АВТОЭСТЕТИКА,0,,84852905505,, ,http://vk.com/max.masson,,150018  Ярославль  Большая Норская улица  дом 79  строение 1
OUTCAR  студия ухода за автомобилем,0,https://wa.me/79610203414,,79610203414,vk.com/outcar,http://vk.com/outcar,,150033  Ярославль  Тутаевское шоссе  дом 93
АЛЬФА  центр кузовного ремонта,0,,84852331044,,331044.ru,http://vk.com/big_avto,,150044  Ярославль  Промышленная улица  дом 1-а
CHIPSAWAY  центр кузовного ремонта,0,,84852907013,,www.chipsaway76.ru,,,150060  Ярославль  Волгоградская улица  дом 46-а
ВОРОН,0,,84852551444,,avtoservis-voron.ru,https://vk.com/avtoservis_voron,,150044  Ярославль  Ленинградский проспект  дом 27
ВИ-РУС  студия ухода,0,https://wa.me/79969289199,,79969289199,www.avtomoyka-virus.ru,,,150006  Ярославль  Тормозное шоссе  дом 89
4REVER4  автомойка,0,https://wa.me/79051368111,,79051368111, ,,,150014  Ярославль  Угличская улица  дом 12  лит В1
LETECH YAROSLAVL  центр реставрации кожи,0,,84852336677,, ,http://vk.com/letechyaroslavl,,150049  Ярославль  Вспольинское поле  дом 14  ст4
TURBOHIM DETAILING  автохимчистка,0,https://wa.me/79109730231,,79109730231, ,http://vk.com/turbohim76,,150060  Ярославль  Ленинградский проспект  дом 123  Б
ЯРСПЕЦ-СЕРВИС  автомойка,0,https://wa.me/79109604040,,79109604040,,,,150003  Ярославль  Республиканский проезд  дом 2
M1  автомойка самообслуживания,0,https://wa.me/79657281535,,79657281535,,,,150044  Ярославль  улица Полушкина Роща  дом 16  ст6
АВТОСЕРВИС  ИП Садоян В.К.,0,https://wa.me/79065299998,,79065299998,,,,150022  Ярославль  Летная улица  дом 2
GRASS  автомойка,0,https://wa.me/79301266747,,79301266747,,,,150060  Ярославль  Волгоградская улица  дом 46  а
СТИЛЬ  автомойка,0,https://wa.me/79201199383,,79201199383,,,,150023  Ярославль  улица Гагарина  дом 44
АВТОVIP  автомойка,0,https://wa.me/79622031111,,79622031111,,,,150006  Ярославль  2-я Суворовская улица  дом 7
M1  автомойка самообслуживания,0,https://wa.me/79605392112,,79605392112,,,,150060  Ярославль  Ленинградский проспект  дом 119  Б
КУБА  автомоечный комплекс,0,,84852444890,,,,,150057  Ярославль  улица Калинина  дом 5  ст2
ОЛИМП-ДЕТЕЙЛ  автомойка,0,,84852332544,, ,,,150007  Ярославль  Урочская улица  дом 44
ARTAVTO  автосервис,0,,84852916648,, ,,,150029  Ярославль  улица Декабристов  дом 135
FRESH  студия ухода,0,,84852609960,,vk.com/public168956844,http://vk.com/public168956844,,150049  Ярославль  Большая Октябрьская улица  дом 87  а
АВТОМОЙКА,0,https://wa.me/79038259897,,79038259897,,,,150044  Ярославль  проспект Октября  дом 75  а
АВТОДРАЙВ  автомойка,0,https://wa.me/79201427564,,79201427564,,,,150035  Ярославль  улица Калинина  дом 28
Автомир Datsun,0,,84852583583,,datsun-avtomir-yar.ru,,,Ярославль  Ленинградский проспект  дом 33
Planar-Russia,0,,88003022321,,yaroslavl.planar-russia.ru,,,150030  Ярославль  проспект Фрунзе  дом 3
ШИНОМОНТАЖ НА КОЛЕСОВОЙ,0,,84852923606,, ,,,150042  Ярославль  Елены Колесовой улица  дом 13  Б ст1
КМ-КЛИМАТ  автосервис,0,https://wa.me/79012776086,,79012776086, ,,,150007  Ярославль  улица Шевелюха  дом 1  а
ДИЗЕЛЬЯРСЕРВИС  автосервис,0,,84852915914,, ,http://vk.com/renault_yar  http://vk.com/autoremont76,,150510  Ярославская область  Ярославский район  поселок Кузнечиха  Центральная улица  дом 19-а
ЯРСТРОЙМАШ,0,,84852902838,,yarsm.ru,,,150001  Ярославль  улица Наумова  дом 67  209 офис
ПРОМЭТИКА  торгово-сервисная компания,0,,84852663762,, ,,,150048  Ярославль  Силикатное шоссе  дом 15  корпус 2
ДИЗЕЛЬДЕТАЛЬ  торгово-сервисная компания,0,,84852585859,, ,http://vk.com/renault_yar,,150044  Ярославль  проспект Октября  дом 91-а  302 офис
АВТОКИТ  сервисная компания,0,,84852908009,, ,,,150042  Ярославль  Тутаевское шоссе  дом 2
ЯРТОЧМАШ  автосервис по ремонту топливной аппарутры,0,,84852765375,, ,,,150044  Ярославль  Промышленная улица  дом 10
ЭКСПЕРТ  автомастерская,0,https://wa.me/79611591123,,79611591123, ,http://vk.com/autoremont76,,150007  Ярославль  проезд Связистов  дом 7-а
Ховер Авто,0,,88002003380,,hoveravto.ru,http://vk.com/autoremont76,,Ярославль  Ленинградский проспект  дом 33
Заправка Автокондиционеров,0,,84852684825,,,http://vk.com/renault_yar  http://vk.com/autoremont76,,Ярославль  Осташинская улица  дом 1-а
АВРОРА  автосервис,0,,84852955230,,,,,150044  Ярославль  Промышленное шоссе  дом 67
АВТОМАСТЕРСКАЯ  ИП Корьев А.В.,0,https://wa.me/79108236599,,79108236599,,,,150030  Ярославль  проспект Фрунзе  дом 28
РЕНО-СЕРВИС  автосервис,0,,84852330872,,vk.com/renault_yar,http://vk.com/renault_yar  http://vk.com/autoremont76,,150064  Ярославль  улица Строителей  дом 20
EUROREPAR CAR SERVICE  сеть сервисных центров,0,,84852333555,,www.eurorepar.com.ru,,,150002  Ярославль  улица Калмыковых  дом 14
ГАГАРИНА 76  грузовой автосервис,0,https://wa.me/79949990176,,79949990176,www.gagarina76.ru,http://vk.com/renault_yar,,150023  Ярославль  улица Гагарина  дом 76
Независимое Бюро оценки и экспертизы стоимости имущества  оценка для нотариуса  оценка для ипотеки  оценка для передачи в залог  оценка для продажи,0,https://wa.me/79201911807,,79201911807,,,,Ярославская область  Первомайский район  поселок Пречистое  Ярославская улица  дом 70-а
Аюрус,0,,84852440044,, ,,,Ярославль  улица Титова  дом 20
Dtp76.ru,0,,84852680443,,dtp76.ru,,,Ярославль  проспект Авиаторов  дом 151
Эксперт Asist,0,https://wa.me/79301277443,,79301277443,,,,Ярославль  улица Некрасова  дом 28
Канцлер,0,,84852681940,,,,,Ярославль  улица Богдановича  дом 6-а
Экспертно-оценочная компания Анклавъ  оценка всех видов имущества,0,https://wa.me/79201911807,,79201911807,,,,Ярославль  Угличская улица  дом 12
Inex,0,,84852905086,,ocenka76.3dn.ru,,,Ярославль  улица Собинова  дом 5-б
Федерация судебных экспертов  офис в г. Ярославль,0,https://wa.me/79536419201,,79536419201, ,,,Ярославль  улица Трефолева  дом 12-б
Независимая автоэкспертиза,0,https://wa.me/79997993153,,79997993153,auto-expert76.ru,,,Ярославль  улица Некрасова  дом 41/37
ЭкспертAssist,0,https://wa.me/79301277443,,79301277443, ,,,Ярославль  улица Некрасова  дом 28
Автопроверка76,0,https://wa.me/79066359394,,79066359394,автопроверка76.рф,,,Ярославль  проспект Октября  дом 34/21
Партнер автоэксперт,0,,84852663713,, ,,,Ярославль  Первомайская улица  дом 37-а
Спектр Авто,0,https://wa.me/79109735076,,79109735076, ,,,Ярославль  улица Свердлова  дом 34
ЯрЮрист  компания,0,,84852920188,,ярюрист.рф,,,Ярославль  улица Свердлова  дом 34
Автоэкспертиза,0,https://wa.me/79056306047,,79056306047,,,,Ярославль  Первомайская улица  дом 37-а
МАГАЗИН АВТОЧЕХЛОВ,0,,84852662590,, ,,,150042  Ярославль  1-я Иваньковская улица  дом 6  д
ЯРОСЛАВЛЬ-АВТОЧЕХЛЫ  ателье,0,,84852660188,, ,,,150044  Ярославль  улица Полушкина Роща  дом 16  строение 71  3 этаж
АВТОПРЕСТИЖ  автоателье,0,https://wa.me/79657272525,,79657272525,yaroslavl.avtoatelie-avtochehli.ru,,,150030  Ярославль  улица Гоголя  дом 2
АВТОЛЮКС 24  компания по продаже авточехлов,0,https://wa.me/79108260760,,79108260760,avtolux24.ru,,,150029  Ярославль  промзона Декабристов  дом 13  4 офис  1 этаж
BESTAUTO76  автоплощадка,0,,84852954495,, ,http://vk.com/best_auto76,,150033  Ярославль  Тутаевское шоссе  дом 91-а
АВТОПАРК  автосалон,0,,84852900190,, ,http://vk.com/autopark76,,150040  Ярославль  улица Менжинского  дом 1  в
AUTOCLUB  автосалон,0,,84852685363,,,,,150042  Ярославль  Тутаевское шоссе  дом 19
LEVIN MOTORS  автосалон,0,,84852664223,,vk.com/levin_motors,http://vk.com/levin_motors,,150031  Ярославль  1-я Пятовская улица  дом 55
КОРСАВТО  автосалон,0,,84852388748,,yaroslavl.korsavto.ru,,,150057  Ярославская область  Ярославский район  поселок Нагорный  Дорожная улица  дом 8
АВТОПАРК  автосалон,0,,84852909000,, ,http://vk.com/autopark76,,150044  Ярославль  улица Полушкина Роща  дом 35
MAJORAVTO MARKET  экспертная компания,0,https://wa.me/79217169111,,79217169111, ,,,150047  Ярославль  Угличская улица  дом 39-к
ELEKTRO-MALL  магазин мобильного персонального электротранспорта,0,,88005518708,,yaroslavl.elektro-mall.ru,http://vk.com/elektro_mall,,150000  Ярославль  Большая Октябрьская улица  дом 39
REG CAR,0,https://wa.me/79295666597,,79295666597,pomoguvgai.ru,,,150000  Ярославль  улица Свободы  дом 2
4 FRIENDS AUTO,0,https://wa.me/79106660150,,79106660150,,,,150007  Ярославль  Урочская улица  дом 32
ЯРОСЛАВТРАНСАВТО,0,https://wa.me/79109663807,,79109663807, ,,,150049  Ярославль  Мышкинский проезд  дом 4-а
911ЯР  торговая компания,0,,84852911454,, ,,,150044  Ярославль  Промышленная улица  дом 1-а  строение 1
D & M  группа компаний,0,https://wa.me/79201057588,,79201057588, ,,,150040  Ярославль  Октября проспект  дом 56
GENSER ЯРОСЛАВЛЬ  автотехцентр,0,,84852671671,, ,,,150057  Ярославль  Московский проспект  дом 163
GREENAUTO  автосалон,0,,84852611055,, ,,,150049  Ярославль  Мышкинский проезд  дом 10
HONDA  автотехцентр,0,,84852672727,, ,,,150044  Ярославль  Промышленная улица  дом 16  корпус 2
KIA MOTORS  автосалон,0,,84852575547,,www.abcgr.ru,,,150042  Ярославль  Тутаевское шоссе  дом 8
Завод коммерческого транспорта РусКомТранс,0,,88007008080,,ruscomtrans.ru,,,Ярославль  Угличская улица  дом 39
TOP CAR  служба проката легковых автомобилей,0,,84852681818,,topcarent.ru,,,150044  Ярославль  проспект Октября  дом 89
ФЕДЕРАЛЬНЫЙ ТАКСОПАРК  служба аренды автомобилей,0,,84852238070,,www.fedtaxi.ru,http://vk.com/fedtaxi76,,150044  Ярославль  проспект Октября  дом 84  к1
ГОСАВТОПОЛИС  страховое агентство,0,,84852662926,,www.gosavtopolis.ru,http://vk.com/gosavtopolisyaroslavl,,150044  Ярославль  Ленинградский проспект  дом 37-а
МЕДТАКСИ76  компания по перевозке больных и инвалидов,0,,84852682730,, ,,,150062  Ярославль  Яковлевская улица  дом 10
РЕНТАВТО76  компания по прокату автомобилей,0,,84852700936,, ,,,150048  Ярославль  улица Писемского  дом 1-а
АВТОГРАД  компания,0,https://wa.me/79657262545,,79657262545,,,,150044  Ярославль  проспект Октября  дом 82
ИНСАЙТ  служба междугородного трансфера,0,,84852334770,, ,,,150014  Ярославль  Чайковского улица  дом 9
МОЙ АВТО  салон автопроката,0,,88007075078,, ,,,150054  Ярославль  улица Кудрявцева  дом 9  офис 1
505  транспортная фирма,0,,84852505505,, ,,,150052  Ярославль
ALL INCLUSIVE  многопрофильная компания,0,,84852941313,,www.allinclusive2000.ru,,,150000  Ярославль  Кирова улица  дом 10
DRIVE  транспортная фирма,0,,84852599599,,,,,Ярославль
АБСОЛЮТ  транспортная компания,0,,84852580606,, ,,,150054  Ярославль  улица Тургенева  дом 17
MAXIM  транспортная фирма,0,,84852644444,, ,,,150044  Ярославль  Ленинградский проспект  дом 33
NEXT  транспортная компания,0,,84852988888,,,,,150044  Ярославль  Ленинградский проспект  дом 33
OKEY  транспортная фирма,0,,84852202202,,,,,Ярославль
ONLINE  транспортная компания,0,,84852423535,, ,,,150044  Ярославль  Ленинградский проспект  дом 27  корпус 2
PRESIDENT  транспортная фирма,0,,84852500500,, ,,,150008  Ярославль  Машиностроителей проспект  дом 83
АВТОСВЕТ,0,https://wa.me/79610229626,,79610229626,avtosvet76.ru,,,150044  Ярославль  проспект Октября  дом 78-б
АВТОПРОФИ  сервисная компания,0,,84852988566,,,,,150044  Ярославль  Промышленная улица  дом 16
МЕГА-Ф ЯРОСЛАВЛЬ  оптовая компания,0,,84852302285,, ,,,150003  Ярославль  улица Терешковой  дом 7
ЧИСТЫЙ ЗВУК  автокомплекс,0,,84852302285,,,http://vk.com/club71889716,,
ЭМС-СЕРВИС ПЛЮС  автосервис,0,,84852488244,,,http://vk.com/club71889716,,150006  Ярославль  2-я Суворовская улица  дом 9-а
GLOSS ROAD  автосервис,0,,84852283020,, ,https://vk.com/shymavto76,,150044  Ярославль  проспект Октября  дом 90-Б
ДИСА  автосервис,0,,84852954050,, ,,,150023  Ярославль  улица Павлова  дом 7
PANDORA  сервисный центр,0,,84852927776,,www.942112.ru,https://vk.com/shymavto76,,150049  Ярославль  проспект Толбухина  дом 3-а
EL-PRO  сервисная компания,0,,84852924272,,,https://vk.com/shymavto76,,150035  Ярославль  улица Калинина  дом 31
ГАРД  салон-магазин,0,,84852339039,,gardshop.ru,,,150040  Ярославль  проспект Октября  дом 72-а
AUTOSPARES76  салон автозапчастей,0,,84852680199,, ,http://vk.com/club71889716,,150060  Ярославль  улица Труфанова  дом 28  1 этаж
КОМФОРТ АВТО  СТО,0,https://wa.me/79201254496,,79201254496,vk.com/club97168543,http://vk.com/club97168543  https://vk.com/avtoservis_avtozapchasti  https://vk.com/club71906879,,150030  Ярославль  Старая Костромская улица  дом 4
АЛЬЯНС АВТО  автотехцентр,0,,84852662059,, ,https://vk.com/bikecentr76,,150035  Ярославль  улица Калинина  дом 30-а
ЖЕЛЕЗНОДОРОЖНИК  автосервис,0,https://wa.me/79621868742,,79621868742, ,,,150049  Ярославль  Вспольинское поле  дом 26  строение 4
ЛЕКСУС-ЯРОСЛАВЛЬ  автотехцентр  официальный дилер,0,,84852580058,,lexus-yar.ru,,,150521  Ярославская область  Ярославский район  поселок Нагорный  Советская улица  дом 26
ДИКОН АВТО  установочный центр,0,,84852670990,, ,,,150044  Ярославль  Промышленное шоссе  дом 64
