Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
SHELL,0,https://wa.me/79203976369,,79203976369,www.shell.com.ru,,,156013  Кострома  Галичская улица  дом 120,,
SHELL,0,https://wa.me/79607413070,,79607413070,www.shell.com.ru,,,156019  Кострома  Кинешемское шоссе  дом 15/1,,
ТНК,0,,88002001070,,rosneft-azs.ru,,,156009  Кострома  2-я Волжская улица  дом 23,,
ТНК,0,,88002001070,,rosneft-azs.ru,,,156012  Кострома  Костромская улица  дом 107,,
ТНК,0,,88002001070,,rosneft-azs.ru,,,156014  Кострома  Профсоюзная улица  дом 8  Б,,
ТНК,0,,88002001070,,rosneft-azs.ru,,,Кострома  Волгореченское шоссе  дом 5,,
ТНК,0,,88002001070,,rosneft-azs.ru,,,156013  Кострома  Галичская улица  дом 101  Б,,
ОПТИ  топливная компания,0,,88005057846,,www.azs-opti.ru,,,156016  Костромская область  Костромской район  деревня Караваево  Красносельское шоссе  дом 1/2,,
ОПТИ  топливная компания,0,,84942651785,, ,,,156518  Костромская область  Костромской район  поселок Фанерник  Центральная улица  дом 37/5,,
ОПТИ  топливная компания,0,,84942661709,, ,,,156013  Кострома  Галичская улица  дом 126  к1,,
ENERGY  АЗС,0,https://wa.me/79108014130,,79108014130,,,,156001  Кострома  Магистральная улица  дом 40  а/1,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,156016  Кострома  Профсоюзная улица  дом 58,,
WICOIL,0,,84942373219,, ,,,156013  Кострома  Галичская улица  дом 131,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,156007  Кострома  улица Ленина  дом 120,,
АГЗС,0,,84942351731,,,,,156003  Кострома  улица Запрудня  дом 3  Б,,
ПРЕМЬЕРСТРОЙ  строительно-монтажная компания,0,,84942454692,, ,,,156007  Кострома  Новосельская улица  дом 34,,
КОСТРОМА-КАРЕЛИЯ  торгово-сервисная компания,0,https://wa.me/79106613997,,79106613997, ,,,156026  Кострома  Привокзальная улица  дом 16-а,,
ПЛАНЕТАСТРОЙ  строительно-монтажная компания,0,,84942503565,, ,,,156000  Кострома  Советская улица  дом 37,,
ГОСТ ЛОМБАРД,0,,88003336368,,кострома.гостломбард.рф,https://vk.com/lombardgost,,156000  Кострома  улица Ленина  дом 10,,
АВТОЛОМБАРД,0,,84942499098,,www.avtolombard44.ru,,,156013  Кострома  улица Ленина  дом 45,,
АКПП 44  автосервис,0,https://wa.me/79536436000,,79536436000, ,,,156003  Кострома  Ткачей улица  дом 7  10 бокс,,
Automatic Transmission Service,0,https://wa.me/79532461000,,79532461000,ats-44.ru,,,Кострома  8-я Рабочая улица  дом 7,,
Дилемма,0,,84942466838,,,,,Кострома  проспект Текстильщиков  дом 96,,
TEYES  компания по продаже и установке автомагнитолы,0,https://wa.me/79206458967,,79206458967,vk.com/teyes44,http://vk.com/teyes44,,156009  Кострома  Юбилейная улица  дом 13-в,,
СМАРТЕКС,0,,84942500060,, ,,,156009  Кострома  2-я Волжская улица  дом 9,,
АВТО АУДИО ЛЮКС  установочный центр,0,,84942300345,, ,http://vk.com/ale.garaj,,156009  Кострома  Профсоюзная улица  дом 3-а,,
АВТО-ЭЛЕКТРО-СЕРВИС  автосервис,0,,84942300010,, ,,,156013  Кострома  Галичская улица  дом 100,,
АВТО & ЗВУК  магазин,0,,84942300315,,,,,156008  Кострома  улица Юрия Смирнова  дом 28-б/3,,
ГАРАНТ  автосервис,0,,84942327401,, ,,,156019  Кострома  улица Петра Щербины  дом 4-а,,
АРМАКС  автосервис,0,,84942467167,, ,,,156004  Кострома  Рабочая Слобода улица  дом 41/1,,
РАДАР  сервисный центр,0,,84942322222,, ,,,Кострома  улица Северной Правды  дом 22  ТЦ Автолига,,
TREND-AUTO  магазин автоэлектроники,0,https://wa.me/79607410599,,79607410599, ,,,156012  Кострома  Костромская улица  дом 78-в,,
АВТОДЕВАЙС  магазин автомобильной электроники,0,,84942360596,, ,,,156005  Кострома  Советская улица  дом 97,,
Т-34  автосервис,0,https://wa.me/79536613140,,79536613140,,,,Кострома  Индустриальная улица  дом 24/1,,
АВТО АУДИО СЕРВИС  сервисно-установочная мастерская,0,,84942300315,, ,,,156008  Кострома  улица Юрия Смирнова  дом 20-а  корпус 1,,
ДЕНСЕРВИС-КОСТРОМА  магазин автосигнализаций и дополнительного оборудования,0,https://wa.me/79038960572,,79038960572,,,,156013  Кострома  Юрия Смирнова улица  дом 89-Б  ТЦ АвтоЗапчасти 100М,,
АВТОЗВУК  магазин автотоваров,0,,84942322222,, ,,,Кострома  Северной Правды улица  дом 22  ТЦ Автолига,,
АВТОЗВУК177  торгово-сервисный центр,0,,84942322222,,,,,,,
12 ВОЛЬТ  торгово-сервисная компания,0,,84942322222,,,,,,,
ГАРАНТ44  автосервис,0,,84942466610,, ,,,156013  Кострома  Галичская улица  дом 129,,
РИНГ АВТО  автосервис,0,,84942499448,,vk.com/ring.avto,http://vk.com/ring.avto,,156013  Кострома  Галичская улица  дом 100,,
СЕРВИС ПО ЧИП ТЮНИНГУ,0,https://wa.me/79206458967,,79206458967,vk.com/chip_44,http://vk.com/chip_44,,156009  Кострома  Юбилейная улица  дом 13-в,,
ОЦЕНОЧНАЯ КОМПАНИЯ,0,https://wa.me/79036342559,,79036342559, ,,,Кострома  Советская улица  дом 2  1а офис,,
АВТОМОБИЛЬНАЯ НЕЗАВИСИМАЯ ЭКСПЕРТИЗА  экспертная компания,0,https://wa.me/79101900202,,79101900202, ,,,156000  Кострома  улица Симановского  дом 15,,
АВТОЭКСПЕРТ  экспертная компания,0,,84942456525,, ,http://vk.com/avtojurist44,,156000  Кострома  проспект Мира  дом 21  oф. 14,,
НЕЗАВИСИМАЯ СУДЕБНАЯ ЭКСПЕРТИЗА ДОРОЖНО-ТРАНСПОРТНЫХ ПРОИСШЕСТВИЙ,0,https://wa.me/79159032077,,79159032077, ,,,156000  Кострома  Мира проспект  дом 6-б  oф. 4  вход со двора,,
НЕЗАВИСИМАЯ ОЦЕНКА  юридическая компания,0,,84942630009,, ,,,156013  Кострома  Сенная улица  дом 18  oф. 9,,
НЕЗАВИСИМАЯ ОЦЕНКА  оценочная компания,0,https://wa.me/79038951165,,79038951165, ,,,156013  Кострома  улица Ленина  дом 52  oф. 221,,
ЦЕНТР ОЦЕНКИ ГОСТ,0,,84942472512,, ,,,156000  Кострома  Мира проспект  дом 21  oф. 903  вход со двора,,
ОЦЕНКА СОБСТВЕННОСТИ И АВТОЭКСПЕРТИЗА,0,,84942322870,,,,,156026  Кострома  улица Титова  дом 9,,
АВТОЭКСПЕРТ  экспертная компания,0,,84942301224,, ,http://vk.com/avtojurist44,,156010  Кострома  Самоковская улица  дом 10  oф. 8,,
ЦЕНТР ОЦЕНКИ И ЭКСПЕРТИЗЫ  экспертная компания,0,,84942456192,, ,,,Кострома  проспект Мира  дом 51  6 кабинет,,
АВТОЭКСПЕРТ  экспертная компания,0,,84942430521,, ,http://vk.com/avtojurist44,,156001  Кострома  Московская улица  дом 86,,
АВТОЭКСПЕРТ,0,,84942430521,,,http://vk.com/avtojurist44,,,,
ИП РЕМЕЗ,0,https://wa.me/79621869600,,79621869600,russianto.ru,,,156029  Кострома  Никитская улица  дом 45-а,,
МОЙ СЕРВИС  автосервис,0,,84942224474,,,,,156009  Кострома  Профсоюзная улица  дом 3-а,,
CHECK ENGINE SERVICE  компания,0,,84942542953,,www.ces44.ru,,,156001  Кострома  Волгореченское шоссе  дом 6  1 этаж,,
AST-АВТО  автосервис,0,,84942499249,, ,,,156000  Кострома  Мясницкая улица  дом 43-а,,
АВТОКЛАСС  автосервис,0,,84942648448,, ,http://m.vk.com/samomoyka44,,156004  Кострома  Береговая улица  дом 45-а,,
РЕНО И ДРУГИЕ  автомастерская,0,https://wa.me/79641546939,,79641546939, ,,,156013  Кострома  Галичская улица  дом 128,,
KEITARO AUTO  автосервис,0,,84942421562,, ,,,156009  Кострома  Юбилейная улица  дом 22-а/1,,
БОЛИД  автокомплекс для иномарок,0,https://wa.me/79206419191,,79206419191, ,,,156025  Кострома  Рабочий проспект  дом 75,,
АВТОРИМ  сервисный центр,0,,84942410220,,,,,156009  Кострома  2-я Волжская улица  дом 19,,
ГАРАНТ44  автосервис,0,,84942466610,, ,,,156013  Кострома  Галичская улица  дом 129,,
АВТОСЕРВИС  ИП Кузнецов Д.В.,0,https://wa.me/79536612556,,79536612556,,https://vk.com/avtostekla44,,156003  Кострома  Боровая улица  дом 34-а,,
РЕЗУЛЬТАТ  автосервис,0,https://wa.me/79536615488,,79536615488, ,,,156001  Кострома  Ярославская улица  дом 39-Б,,
АВТОСТЭК  автокомплекс,0,,84942630322,, ,http://vk.com/public91539803  http://vk.com/club94822101,,156029  Кострома  Никитская улица  дом 92,,
АВТОПОМОЩЬ КОСТРОМА  выездной автосервис,0,https://wa.me/79159060542,,79159060542, ,http://vk.com/ale.garaj,,156003  Кострома  улица Коммунаров  дом 5/3,,
АВТОХИМЧИСТКА,0,https://wa.me/79159244777,,79159244777,,,,156009  Кострома  2-я Волжская улица  дом 23-а,,
AS  автосервис,0,https://wa.me/79203814287,,79203814287,,,,156008  Кострома  улица Юрия Смирнова  дом 28-а  2 корпус,,
АВТОГРАФ  автосервис,0,,84942412672,,,,,156019  Кострома  Базовая улица  дом 5,,
ALFAVINYL STUDIO  студия автостайлинга,0,,84942302488,, ,http://vk.com/alfa_vinyl,,156009  Кострома  Юбилейная улица  дом 8  ст1,,
REFLECTION  студия детейлинга,0,https://wa.me/79960484007,,79960484007,reflectiondetailing.ru,http://vk.com/reflection_detailing,,156003  Кострома  улица Ткачей  дом 7/9,,
АВТОСЕРВИС,0,https://wa.me/79536514992,,79536514992,,,,156000  Кострома  улица 1 Мая  дом 17,,
CRYSTAL CAR,0,https://wa.me/79203991629,,79203991629,,,,156008  Кострома  улица Юрия Смирнова  дом 22,,
BLACK GLASS,0,https://wa.me/79607451147,,79607451147,,,,156001  Кострома  Самоковская улица  дом 12  а/2,,
К4А  автосервис,0,https://wa.me/79159299161,,79159299161, ,,,156009  Кострома  Кинешемское шоссе  дом 4-а,,
ЮниМастерАвто,0,,84942648850,,,,,156011  Кострома  Магистральная улица  дом 77,,
АЗИМУТ  автокомплекс,0,,84942390520,, ,,,Кострома  Магистральная улица  дом 40/1,,
МЕХАНИК  автомастерская,0,https://wa.me/79536539601,,79536539601, ,,,156014  Кострома  Центральная улица  дом 65,,
ФОРСАЖ+  автосервис,0,https://wa.me/79066660580,,79066660580, ,https://vk.com/aircomponents  http://vk.com/public74354894,,156019  Кострома  Локомотивная улица  дом 5-р,,
ВИРАЖ  автоцентр,0,,84942423311,, ,,,156009  Кострома  2-я Волжская улица  дом 7-а,,
СЕВЕРНЫЙ  технический центр,0,,84942301152,, ,,,156012  Кострома  Костромская улица  дом 97/3,,
АВТОМАСТЕРСКАЯ,0,https://wa.me/79036347866,,79036347866,,,,156009  Кострома  Юбилейная улица  дом 10/2,,
КОСТРОМАГАЗАВТО  автоцентр,0,,84942537763,, ,,,156001  Кострома  Солониковская улица  дом 1,,
ВЕНЕЦИЯ  автомойка,0,,84942499520,,,,,156001  Кострома  Московская улица  дом 100/2,,
АКВАСИТИ44  сеть автомоек самообслуживания,0,https://wa.me/79536627992,,79536627992, ,http://vk.com/akvacity44,,156019  Кострома  Индустриальная улица  дом 63  а,,
САМ САМЫЧ  автомойка самообслуживания,0,https://wa.me/79502403727,,79502403727,,,,156001  Кострома  Ярославская улица  дом 2  а/1,,
ДА-КАР  автосалон,0,https://wa.me/79159002777,,79159002777, ,,,156009  Кострома  2-я Волжская улица  дом 23  а/1,,
АКВАСИТИ44  сеть автомоек самообслуживания,0,https://wa.me/79203878249,,79203878249,xn--44-6kcaj1bam9dl.xn--p1ai,http://vk.com/akvacity44,,156003  Кострома  улица Ткачей  дом 7  а,,
САМ САМЫЧ  автомойка самообслуживания,0,https://wa.me/79502403727,,79502403727,,,,156013  Кострома  Галичская улица  дом 103  а,,
АВТОМОЙКА САМООБСЛУЖИВАНИЯ,0,https://wa.me/79092555555,,79092555555,,,,156009  Кострома  2-я Волжская улица  дом 1-а,,
ДОЗАТРОН+  автомойка,0,,84942502122,, ,,,156009  Кострома  2-я Волжская улица  дом 19/1,,
ОСЬМИНОГ  прачечная ковров,0,,84942303020,, ,,,156012  Кострома  Костромская улица  дом 103,,
RED DETAILING  центр антигравийной защиты,0,,84942500920,,red-detailing.ru,http://vk.com/reddeteiling,,156013  Кострома  Галичская улица  дом 116/2,,
SPEKTR-FRIENDS  автокомплекс,0,,84942500240,, ,,,156011  Кострома  Студенческий проезд  дом 31  а,,
MILK DETAILING  детейлинг-центр,0,,84942500710,,vk.com/milkdetail,http://vk.com/milkdetail,,156026  Кострома  Чернореченский проезд  дом 3,,
H2O  автомойка,0,,84942300123,,,,,156008  Кострома  улица Юрия Смирнова  дом 20-а,,
АЗИМУТ  автокомплекс,0,,84942390520,, ,,,Кострома  Магистральная улица  дом 40/1,,
24  автомойка,0,,84942300812,,,,,Костромская область  Костромской район  деревня Караваево  Красносельское шоссе  дом 1/3,,
АВТОКОМПЛЕКС,0,,84942300325,,,http://vk.com/avtomoykanasovetskoy,,156010  Кострома  микрорайон Паново  дом 15  вход со двора,,
КИНЕШЕМКА  автокомплекс,0,https://wa.me/79206499702,,79206499702, ,,,Костромская область  Костромской район  деревня Караваево  Красносельское шоссе  дом 1-б/1,,
Шанс,0,https://wa.me/79641554445,,79641554445,,http://vk.com/club93404488,,Кострома  1-й Кинешемский проезд  дом 2/34,,
АВТОСЕРВИС,0,https://wa.me/79092557733,,79092557733,,,,156009  Кострома  Юбилейная улица  дом 24,,
ПАТП-7,0,,84942494144,, ,,,156019  Кострома  улица Петра Щербины  дом 23-а/1,,
ПРОСТОР  автосервис,0,,84942333861,, ,,,156011  Кострома  Берёзовый проезд  дом 9,,
ТОРГОВО-СЕРВИСНАЯ КОМПАНИЯ  ИП Шарков А.Б.,0,https://wa.me/79109509284,,79109509284, ,,,156019  Кострома  Мелиоративная улица  дом 8  1 этаж,,
СТРОЙТРАНС  автосервис,0,,84942431601,,,,,156001  Кострома  Солониковская улица  дом 10/2,,
ИП ДЕВЯТЕРИКОВ А.А.  автоэксперт,0,https://wa.me/79108080848,,79108080848,,,,156012  Кострома  Костромская улица  дом 99,,
Федерация Судебных Экспертов,0,,84942419360,,,,,Кострома  улица Долматова  дом 12,,
Автоэкспертиза,0,https://wa.me/79536648421,,79536648421,smart-ocenka.ru,,,Кострома  Комсомольская улица  дом 18,,
Независимая Автоэкспертиза,0,,84942311103,,,,,156000  Кострома  улица Симановского  дом 30,,
Справочная Служба по Автотранспорту,0,,84942579031,,,,,156000  Кострома  улица Симановского  дом 19/51,,
АВТОАТЕЛЬЕ,0,https://wa.me/79109556923,,79109556923,vk.com/club132001503,https://vk.com/club132001503  http://vk.com/kornedauto,,156009  Кострома  улица Сутырина  дом 1-а  1 этаж,,
КОРНЕД  автоателье,0,https://wa.me/79092544625,,79092544625,vk.com/kornedauto,http://vk.com/kornedauto  https://vk.com/club132001503,,156012  Кострома  Костромская улица  дом 97/3,,
АВТОМИКС  салон подержанных автомобилей,0,https://wa.me/79607437171,,79607437171,,,,156009  Кострома  2-я Волжская улица  дом 8  1 этаж  правое крыло,,
ХОТТАБЫЧ  интернет-магазин,0,,84942499644,, ,http://vk.com/hattabych_ru,,156007  Кострома  проспект Мира  дом 157  а,,
FORD-ЦЕНТР КОСТРОМА  автосалон,0,,84942496209,, ,,,156019  Кострома  Локомотивная улица  дом 2-в,,
NORMA  автосалон,0,,84942501836,, ,,,156009  Кострома  2-я Волжская улица  дом 4-а,,
AUTODEALERR,0,https://wa.me/79605432873,,79605432873,kostroma.autodealerr.ru,,,156005  Кострома  Лесная улица  дом 11,,
ELEKTRO-MALL  магазин мобильного персонального электротранспорта,0,,88005518708,,kostroma.elektro-mall.ru,http://vk.com/elektro_mall,,156000  Кострома  Смоленская улица  дом 33,,
РАДАР-АВТО КОСТРОМА  автосалон,0,,84942417821,,,,,156014  Кострома  Профсоюзная улица  дом 19,,
НАВИГАТОР  автомобильное агентство,0,,84942499190,, ,http://vk.com/pak44,,156029  Кострома  Мясницкая улица  дом 112  oф. 1,,
ВИРАЖ  автоцентр,0,,84942423311,, ,,,156009  Кострома  2-я Волжская улица  дом 7-а,,
TRADE-IN  салон подержанных автомобилей,0,,84942302345,,www.avto-rim.ru,,,156009  Кострома  2-я Волжская улица  дом 19,,
КОСТРОМАГАЗАВТО  автоцентр,0,,84942537763,, ,,,156001  Кострома  Солониковская улица  дом 1,,
АВТОГАРАНТ,0,,84942352211,,,,,156000  Кострома  улица Симановского  дом 15-а,,
КОМПАС  автоцентр,0,,84942343341,, ,,,156009  Кострома  2-я Волжская улица  дом 12-б,,
АВТОЕВРОПА  автосалон,0,,84942419300,, ,http://vk.com/club43662667,,156530  Костромская область  Костромской район  деревня Караваево  Красносельское шоссе  дом 1  ТРЦ Коллаж,,
МИЛЛЕНИУМ-АВТО  автосалон,0,,84942358080,,www.millenium-avto.ru,http://vk.com/pak44,,156013  Кострома  Галичская улица  дом 106/1,,
SSANGYONG ЦЕНТР КОСТРОМА  автосалон,0,,84942417788,, ,,,156009  Кострома  2-я Волжская улица  дом 14,,
БРЕНД-АВТО  автоцентр,0,,84942630444,, ,http://vk.com/vsautoservise,,156009  Кострома  2-я Волжская улица  дом 19-а,,
АВТОПРОКАТ44  автопрокатная компания,0,,84942500596,, ,,,156029  Кострома  Никитская улица  дом 45-а  корпус 1,,
ТРЕЗВЫЙ ВОДИТЕЛЬ  служба заказа водителя без автомобиля,0,https://wa.me/79621889079,,79621889079,vk.com/clubtrezovod44,http://vk.com/clubtrezovod44,,156025  Кострома  Рабочий проспект  дом 34,,
АВТОПРОКАТ44  автопрокатная компания,0,,84942500596,, ,,,156022  Кострома  Почтовая улица  дом 15,,
TRANSFER,0,https://wa.me/79159005848,,79159005848,www.zakazmikroavtobusov.a5.ru,,,156029  Кострома  Советская улица  дом 111,,
АВТОПРОКАТ 44,0,https://wa.me/79536660086,,79536660086,,,,156019  Кострома  Станкостроительная улица  дом 3,,
ИНСАЙТ  служба междугородного трансфера,0,,84942360770,, ,,,Кострома  Советская улица  дом 42,,
ФОРСАЖ  служба заказа легкового транспорта,0,,84942336633,, ,,,156019  Кострома  Локомотивная улица  дом 2,,
ФАВОРИТ  служба заказа транспорта,0,,84942373333,, ,,,156000  Кострома  проспект Мира  дом 21    ТДЦ Кострома Сити  вход со двора,,
LINKOLN TOWN CAR  компания по прокату лимузинов,0,,84942411490,, ,,,156014  Кострома  Димитрова улица  дом 14-а,,
КОНТРАСТ  служба заказа легкового транспорта,0,,84942310909,,,,,156000  Кострома  Комсомольская улица  дом 4  oф. 2,,
МАКСИМ  служба заказа транспорта,0,,84942666666,,maximzakaz.ru,,,156009  Кострома  Юбилейная улица  дом 24  oф. 38,,
ТАКСАМОТОР  служба заказа легкового транспорта,0,,84942352352,, ,,,Кострома  Ленина улица  дом 16,,
ГАЛАНТ  служба заказа легкового транспорта,0,,84942341111,, ,,,156019  Кострома  Зелёная улица  дом 2,,
AUTOTOUR.ONLINE  транспортная компания,0,https://wa.me/79206496496,,79206496496, ,,,Кострома  Свердлова улица  дом 58,,
УДАЧА  служба заказа транспорта,0,,84942356060,, ,,,156000  Кострома  проспект Мира  дом 21  ТДЦ Кострома Сити,,
МАРИЭЛЬ  служба заказа транспорта,0,,84942630111,, ,,,156013  Кострома  Галичская улица  дом 47-б,,
СОЮЗ  служба заказа легкового транспорта,0,,84942352035,, ,,,Кострома,,
АЛАРМ ЦЕНТР,0,,84852607396,, ,,,156029  Кострома  улица Шагова  дом 144,,
АВТО АУДИО ЛЮКС  установочный центр,0,,84942300345,, ,http://vk.com/ale.garaj,,156009  Кострома  Профсоюзная улица  дом 3-а,,
ДИС АВТО  автомастерская,0,,84942300027,, ,,,156008  Кострома  улица Юрия Смирнова  дом 83-а/1,,
АВТО-ЭЛЕКТРО-СЕРВИС  автосервис,0,,84942300010,, ,,,156013  Кострома  Галичская улица  дом 100,,
АВТОЭЛЕКТРИКА  мастерская,0,https://wa.me/79536601878,,79536601878,,,,156004  Кострома  2-й Береговой проезд  дом 12/1,,
ГАРАНТ  автосервис,0,,84942327401,, ,,,156019  Кострома  улица Петра Щербины  дом 4-а,,
АВТОЭЛЕКТРОНИКА  автосервис,0,,84942454592,, ,,,156013  Кострома  проспект Мира  дом 116/5,,
АРМАКС  автосервис,0,,84942467167,, ,,,156004  Кострома  Рабочая Слобода улица  дом 41/1,,
РАДАР  сервисный центр,0,,84942322222,, ,,,Кострома  улица Северной Правды  дом 22  ТЦ Автолига,,
АВТО АУДИО СЕРВИС  сервисно-установочная мастерская,0,,84942300315,, ,,,156008  Кострома  улица Юрия Смирнова  дом 20-а  корпус 1,,
ДЕНСЕРВИС-КОСТРОМА  магазин автосигнализаций и дополнительного оборудования,0,https://wa.me/79038960572,,79038960572,,,,156013  Кострома  Юрия Смирнова улица  дом 89-Б  ТЦ АвтоЗапчасти 100М,,
АВТОЗВУК  магазин автотоваров,0,,84942322222,, ,,,Кострома  Северной Правды улица  дом 22  ТЦ Автолига,,
АВТОЗВУК177  торгово-сервисный центр,0,,84942322222,,,,,,,
12 ВОЛЬТ  торгово-сервисная компания,0,,84942322222,,,,,,,
АВТОСЕРВИС  ИП Кузнецов Д.В.,0,https://wa.me/79536612556,,79536612556,,https://vk.com/avtostekla44,,156003  Кострома  Боровая улица  дом 34-а,,
AVTO DRIVE  автоцентр,0,,84942467300,,vk.com/club69109792,http://vk.com/club69109792,,156009  Кострома  2-я Волжская улица  дом 4-а  2 этаж,,
PRO.РЕНО  магазин автозапчастей для иномарок,0,,84942504594,,,,,156009  Кострома  2-я Волжская улица  дом 4-а  2 этаж,,
КОМПАНИЯ ПО АВТОРАЗБОРУ VOLKSWAGEN,0,https://wa.me/79203822700,,79203822700, ,,,156003  Кострома  Водяная улица  дом 92,,
АЛЕКС  автосервис,0,https://wa.me/79203838308,,79203838308, ,,,156008  Кострома  улица Юрия Смирнова  дом 83,,
АВТОХОЛДИНГ,0,,,,,,,,,
Глэринг,0,,84942466884,, ,,,Кострома  улица Войкова  дом 40,,
ЕВРОПА-АЗИЯ-АМЕРИКА  центр авторазборки,0,,84942300087,, ,,,156016  Кострома  Профсоюзная улица  дом 28,,
ВОЛЬТАЖ-СЕРВИС,0,,84942770970,,kostroma.voltag.ru,https://vk.com/voltag44,,156008  Кострома  улица Юрия Смирнова  дом 36,,
ЦЕНТР РЕМОНТА АВТОСТЕКОЛ,0,https://wa.me/79206440633,,79206440633,,,,156013  Кострома  Галичская улица  дом 101-а,,
БОНУС  автосервис,0,https://wa.me/79109218575,,79109218575, ,,,156013  Кострома  Карьерная улица  дом 26-Б,,
RЕМZОНА  автотехцентр,0,https://wa.me/79109245476,,79109245476,,,,156003  Кострома  Боровая улица  дом 2/1,,
АВТОСЕРВИС ПО РЕМОНТУ ЛЕГКОВЫХ АВТОМОБИЛЕЙ,0,https://wa.me/79621804476,,79621804476,,,,156019  Кострома  Дёминская улица  дом 3-в,,
МАСТЕРСКАЯ ПО РЕМОНТУ ГРУЗОВОГО АВТОТРАНСПОРТА,0,https://wa.me/79303202953,,79303202953,,,,156009  Кострома  Кинешемское шоссе  дом 4-а,,
У КОСТЯНА  автомастерская,0,,84942301167,, ,,,156009  Кострома  Юбилейная улица  дом 8  ст1,,
D.MOTORS  грузовой и легковой автосервис,0,https://wa.me/79051501476,,79051501476, ,,,156001  Кострома  Солониковская улица  дом 7/1,,
СОЮЗ  автокомплекс,0,,84942433333,,,,,156013  Кострома  Галичская улица  дом 130  а/3,,
АВТОЦЕНТР ВОСХОД,0,https://wa.me/79109528296,,79109528296,,,,156012  Кострома  Костромская улица  дом 99,,
АВТОТЕХЦЕНТР АВТОСФЕРА,0,,84942503799,, ,http://vk.com/atc_avtosfera,,156013  Кострома  Галичская улица  дом 128/1,,
ЛАСТОЧКА  автосервис,0,,84942500170,, ,,,156013  Кострома  Галичская улица  дом 102,,
МОДУЛЬ  автосервис,0,,84942502900,, ,,,156008  Кострома  улица Юрия Смирнова  дом 36,,
"""AUTOS HOUSE  автосервис""",0,,84942504405,,vk.com/autoshouse,http://vk.com/autoshouse,,156009  Кострома  2-я Волжская улица  дом 17,,
ТЕХНОКОРСЕРВИС  торгово-сервисная компания,0,,84942499007,, ,http://vk.com/korauto44,,156029  Кострома  Никитская улица  дом 45-а,,
АКПП ПЛЮС  автосервис,0,,84942303595,, ,http://vk.com/akpp_pluc,,156009  Кострома  2-я Волжская улица  дом 2-в,,
АВТОКОМПЛЕКС 44  сервисный центр,0,,84942302710,, ,,,156009  Кострома  Кинешемское шоссе  дом 4  г,,
ПАРТНЕР ПЛЮС  автостоянка,0,https://wa.me/79101994045,,79101994045,,,,156022  Кострома  улица Стопани  дом 35  а/2,,
