Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
Энергостандарт,000000000,https://wa.me/79125648522,,79125648522, ,,,169908  Республика Коми  Воркута  улица Ленина  дом 64
Дельфин,000000000,,88215136712,,,,,169906  Республика Коми  Воркута  улица Ленина  дом 37
ВОРКУТА,000000000,,88215137995,, ,,,169900  Республика Коми  Воркута  Центральная площадь  дом 5
"Горняк, гостиница",000000000,,88215170833,, ,,,169900  Республика Коми  Воркута  улица Мира  дом 3-б
"Уют, гостиница",000000000,https://wa.me/79121762212,,79121762212,vorcuta-comfort.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
PLAZA,000000000,https://wa.me/79121755999,,79121755999,vorkuta-hotel.ru,,,Республика Коми  Воркута  улица Ленина  дом 29-а
"Уют, гостиница",000000000,https://wa.me/79121762212,,79121762212,vorcuta-comfort.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
Спортзал Бодинатур,000000000,https://wa.me/79129552719,,79129552719,vk.com/bodynatur70,http://vk.com/bodynatur70,,Республика Коми  Воркута  улица Ленина  дом 66-в
Спортзал Бодинатур,000000000,https://wa.me/79129552719,,79129552719,vk.com/bodynatur70,http://vk.com/bodynatur70,,Республика Коми  Воркута  улица Ленина  дом 66-в
"Вим, туристическая фирма",000000000,,88215136672,,,,,169933  Республика Коми  Воркута  Центральная площадь  дом 5
Роза ветров,000000000,https://wa.me/79121177117,,79121177117,more-tyrov-komi.ru,,,Республика Коми  Воркута  улица Ленина  дом 37-а
"Анадис тур, турагентство",000000000,,88215131719,, ,,,169900  Республика Коми  Воркута  улица Ленина  дом 38
"Voyage-Luxe, туристическое агентство",000000000,,88215161717,, ,,,169906  Республика Коми  Воркута  улица Ленина  дом 49
Блп-Тур,000000000,,88215175757,,blp-tour.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
Wellness студия Slimclub,000000000,,88215132777,,slimclub.ru,,,Республика Коми  Воркута  Центральная площадь  дом 5
Проектархстрой,000000000,,88215154672,, ,,,Республика Коми  Воркута  улица Ленина  дом 4-а
Управление архитектуры градостроительного кадастра и земельного контроля МО ГО Воркута,000000000,,88215131850,, ,,,169908  Республика Коми  Воркута  Центральная площадь  дом 7
Проектархстрой,000000000,,88215154672,, ,,,Республика Коми  Воркута  улица Ленина  дом 4-а
Дом и Ко,000000000,,88215134040,,mydomik.ru,,,Республика Коми  Воркута  улица Ленина  дом 38
Модулор,000000000,,88215160717,, ,,,169908  Республика Коми  Воркута  улица Ленина  дом 60
СеверМонтажПлюс,000000000,,88215163233,,vk.com/club64719488,http://vk.com/club64719488,,Республика Коми  Воркута  улица Ленина  дом 64
Северная Русь Инновационные технологии,000000000,,88215135966,, ,,,169900  Республика Коми  Воркута  улица Ленина  дом 38
Hotels-Vorkuta.ru,000000000,https://wa.me/79121740729,,79121740729,hotels-vorkuta.ru,,,Республика Коми  Воркута  улица Ленина  дом 4
Elite-vorkuta,000000000,https://wa.me/79129580020,,79129580020,elite-vorkuta.ru,,,Республика Коми  Воркута  улица Ленина  дом 48
Сан Саныч,000000000,https://wa.me/79121777444,,79121777444,vk.com/potolokvorkuta,http://vk.com/potolokvorkuta,,Республика Коми  Воркута  улица Ленина  дом 60
"Уютный Дом, торгово-строительная компания",000000000,https://wa.me/79125464646,,79125464646,уютныйдом11.рф,,,Республика Коми  Воркута  улица Ленина  дом 70
Риалт Сервис,000000000,,88215155188,,rialtservis.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
"Мегаполис, агентство недвижимости",000000000,,88215130111,,infomegapolis.ru,,,169900  Республика Коми  Воркута  улица Ленина  дом 4
"Недвижимости Город, бюро",000000000,https://wa.me/79121739648,,79121739648,,,,Республика Коми  Воркута  Центральная площадь  дом 5
Подмосковный дом,000000000,,88215133557,, ,,,169900  Республика Коми  Воркута  Центральная площадь  дом 5
Воркутинское Бюро Недвижимости,000000000,,88215161004,,,,,169908  Республика Коми  Воркута  улица Ленина  дом 64
Метро,000000000,,88215134525,, ,,,169900  Республика Коми  Воркута  Центральная площадь  дом 5
Ариель Плюс,000000000,https://wa.me/79121790021,,79121790021,vk.com/public54788700,http://vk.com/public54788700,,Республика Коми  Воркута  улица Ленина  дом 37-а
Экология,000000000,,88215167481,,,,,Республика Коми  Воркута  улица Ленина  дом 38
"Центр, офис",000000000,https://wa.me/79121790021,,79121790021,,,,Республика Коми  Воркута  улица Ленина  дом 37-а
Новые окна,000000000,https://wa.me/79125029636,,79125029636, ,,,169901  Республика Коми  Воркута  улица Ленина  дом 6
Строй комфорт,000000000,,88215137080,,,,,Республика Коми  Воркута  улица Ленина  дом 38
Воркутинские окна,000000000,,88215132200,, ,,,169900  Республика Коми  Воркута  улица Ленина  дом 76
Изумрудный город,000000000,https://wa.me/79121438331,,79121438331,воркута-окна.рф,,,Республика Коми  Воркута  Центральная площадь  дом 1
"Sky-Life, компания",000000000,https://wa.me/79125059995,,79125059995,sky-life11.com,,,Республика Коми  Воркута  Центральная площадь  дом 1
Изумрудный город,000000000,,88215169336,,воркута-окна.рф,,,Республика Коми  Воркута  улица Ленина  дом 70
СеверМонтажПлюс,000000000,,88215163233,,vk.com/club64719488,http://vk.com/club64719488,,Республика Коми  Воркута  улица Ленина  дом 64
"Уютный Дом, торгово-строительная компания",000000000,https://wa.me/79125464646,,79125464646,уютныйдом11.рф,,,Республика Коми  Воркута  улица Ленина  дом 70
Сан Саныч,000000000,https://wa.me/79121777444,,79121777444,vk.com/potolokvorkuta,http://vk.com/potolokvorkuta,,Республика Коми  Воркута  улица Ленина  дом 60
Строй комфорт,000000000,,88215137080,,,,,Республика Коми  Воркута  улица Ленина  дом 38
Сан Саныч,000000000,https://wa.me/79121777444,,79121777444,vk.com/potolokvorkuta,http://vk.com/potolokvorkuta,,Республика Коми  Воркута  улица Ленина  дом 60
Новые окна,000000000,https://wa.me/79125029636,,79125029636, ,,,169901  Республика Коми  Воркута  улица Ленина  дом 6
"Уютный Дом, торгово-строительная компания",000000000,https://wa.me/79125464646,,79125464646,уютныйдом11.рф,,,Республика Коми  Воркута  улица Ленина  дом 70
Строй комфорт,000000000,,88215137080,,,,,Республика Коми  Воркута  улица Ленина  дом 38
"Sky-Life, компания",000000000,https://wa.me/79125059995,,79125059995,sky-life11.com,,,Республика Коми  Воркута  Центральная площадь  дом 1
"ТВЕРСКОЙ СТОЛЯРНЫЙ ЗАВОД, подразделение",000000000,,88215175567,, ,,,169900  Республика Коми  Воркута  Центральная площадь  дом 5  офис 424
Спецавтотех,000000000,https://wa.me/79125566767,,79125566767,спецавтотех.рф,,,169900  Республика Коми  Воркута  улица Ленина  дом 32-а
"Гранит-центр, магазин",000000000,,88215168069,, ,,,169901  Республика Коми  Воркута  улица Ленина  дом 76
"Мастер, магазин",000000000,,88215160590,,,,,169908  Республика Коми  Воркута  улица Ленина  дом 66/2
Воркута Автопрокат,000000000,https://wa.me/79042721111,,79042721111,avtoprokat11.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
"Северсталь Воркутауголь Воркутинское транспортное предприятие, структурное подразделение",000000000,,88215153090,,,,,169900  Республика Коми  Воркута  улица Ленина  дом 62
"Транзит, транспортная компания",000000000,https://wa.me/79121190221,,79121190221,tranzit-komi.ru,,,Республика Коми  Воркута  улица Ленина  дом 58-в
Стройтранссевер,000000000,https://wa.me/79121786555,,79121786555,stroytranssever.ru,,,Республика Коми  Воркута  улица Ленина  дом 35
"Next Воркута, газель",000000000,https://wa.me/79125049000,,79125049000,next-gruz.ru,,,Республика Коми  Воркута  улица Ленина  дом 32-а
Строй комплект сервис,000000000,,88215155775,,строй-комплект-сервис.рф,,,Республика Коми  Воркута  улица Ленина  дом 60-б
Спутник-Контроль,000000000,,88215169019,,sputnick-kontrol.ru,,,Республика Коми  Воркута  улица Ленина  дом 60
Стройтранссевер,000000000,https://wa.me/79121786555,,79121786555,stroytranssever.ru,,,Республика Коми  Воркута  улица Ленина  дом 35
"Северсталь Воркутауголь Воркутинское транспортное предприятие, структурное подразделение",000000000,,88215153090,,,,,169900  Республика Коми  Воркута  улица Ленина  дом 62
000 СЛТК,000000000,,88215136952,,sltk11.ru,,,Республика Коми  Воркута  улица Мира  дом 1-а
"Транзит, транспортная компания",000000000,https://wa.me/79121190221,,79121190221,tranzit-komi.ru,,,Республика Коми  Воркута  улица Ленина  дом 58-в
Стройтранссевер,000000000,https://wa.me/79121786555,,79121786555,stroytranssever.ru,,,Республика Коми  Воркута  улица Ленина  дом 35
"Транзит, транспортная компания",000000000,https://wa.me/79121190221,,79121190221,tranzit-komi.ru,,,Республика Коми  Воркута  улица Ленина  дом 58-в
Строй комплект сервис,000000000,,88215155775,,строй-комплект-сервис.рф,,,Республика Коми  Воркута  улица Ленина  дом 60-б
"Next Воркута, газель",000000000,https://wa.me/79125049000,,79125049000,next-gruz.ru,,,Республика Коми  Воркута  улица Ленина  дом 32-а
Спутник-Контроль,000000000,,88215169019,,sputnick-kontrol.ru,,,Республика Коми  Воркута  улица Ленина  дом 60
"Next Воркута, газель",000000000,https://wa.me/79125049000,,79125049000,next-gruz.ru,,,Республика Коми  Воркута  улица Ленина  дом 32-а
