Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
AMEGA CAR,000000000,,88123100100,, ,http://vk.com/amegacarspb,,"197101  Санкт-Петербург  Кронверкская улица  дом 5  БЦ ""ЛюмьерХаус""  офис 304"
BLACKRENT,000000000,https://wa.me/79052210537,,79052210537,blackrent.ru,,,199178  Санкт-Петербург  5-я  дом 70
Лучшие Гиды Петербурга,000000000,,88124413163,, ,https://vk.com/best.guides,,191186  Санкт-Петербург  набережная канала Грибоедова  дом 5  офис 205
Авто Ренда,000000000,,88129852822,,avtorenda.ru,,,193232  Санкт-Петербург  проспект Большевиков  дом 22  корпус 1
АВМЕКС МОТОРС,000000000,,88005559168,, ,http://vk.com/razborka_gaz,,197375  Санкт-Петербург  улица Маршала Новикова  дом 28  литера Е
ИнтеграАвто,000000000,,88129200338,,integraauto.ru,,,192236  Санкт-Петербург  Софийская улица  дом 8  корпус 5  литера Л
УТИЛИЗАЦИЯ АВТО,000000000,,88126429988,, ,,,192242  Санкт-Петербург  Будапештская улица  дом 27-Б
РАЗБОРКА ГРУЗОВИКОВ ЕВРОПЕЙСКОГО ПРОИЗВОДСТВА,000000000,,88002345088,, ,,,196626  Санкт-Петербург  поселок Шушары  Московское шоссе  дом 165  строение 1
Bimas,000000000,,88123336633,, ,https://vk.com/bimas_motor,,188653  Ленинградская область  Всеволожский район  Производственный массив  дом 9  строение 1
РЕМЗОНА 47,000000000,https://wa.me/79112241868,,79112241868,remzona47.ru,,,187021  Ленинградская область  Тосненский район  деревня Фёдоровское  Почтовая улица  дом 17
MYDIESEL24,000000000,https://wa.me/79657907256,,79657907256,mydiesel24.ru,http://vk.com/mydiesel24,,192236  Санкт-Петербург  улица Белы Куна  дом 36-а
Подборавтоспб,000000000,https://wa.me/79217563633,,79217563633, ,https://vk.com/auto_revers,,194356  Санкт-Петербург  проспект Энгельса  дом 130  корпус 1
МОТОР ПЛЮС,000000000,,88127169567,, ,http://vk.com/favorit_sto,,192019  Санкт-Петербург  Глухоозёрское шоссе  дом 2-а
КАРДАН,000000000,,88124149441,, ,,,197349  Санкт-Петербург  Автобусная улица  дом 5
ЭКСИС ТРАКС,000000000,,88122073737,,www.axis-trucks.ru,https://vk.com/axistrucks,,188660  Ленинградская область  Всеволожский район  Торговая улица  дом 13  корпус 1
"ПОЛЮСТРОВСКИЙ, сервисный центр",000000000,,88127770175,,toyotaspb.com,,,195193  Санкт-Петербург  Полюстровский проспект  дом 59-а
REMZONA STO,000000000,,88129603341,,kupchino-auto.ru,https://vk.com/autonevsky  http://vk.com/reroadclassics,,192241  Санкт-Петербург  Софийская улица  дом 63-с
БАЛТИЙСКИЙ БИЗНЕС,000000000,https://wa.me/79112923737,,79112923737,www.ббавто.рф,https://vk.com/bbauto,,194295  Санкт-Петербург  улица Есенина  дом 19  корпус 2
ИНФУЛЛ СТРАХОВОЙ БРОКЕР,000000000,,,,,https://vk.com/infull,,
ПКАСКО,000000000,,88124073056,, ,,,198255  Санкт-Петербург  проспект Ветеранов  дом 69-а  помещение 5-н
"ПЕРВЫЙ СТРАХОВОЙ БРОКЕР ""ОСАГОШОП""",000000000,,88129709011,,осагошоп.рф,,,196066  Санкт-Петербург  Московский проспект  дом 216  офис 431
СТРАХОВАЯ БИЗНЕС ГРУППА (IBG),000000000,,88124092050,, ,,,191119  Санкт-Петербург  Воронежская улица  дом 5-а
"ОБЪЕДИНЁННАЯ СТРАХОВАЯ КОМПАНИЯ, филиал в СПб",000000000,,88124092050,,,,,
ПОЛИС ЭКСПРЕСС,000000000,,88125003084,, ,,,195213  Санкт-Петербург  Заневский проспект  дом 43
СУРГУТНЕФТЕГАЗ,000000000,,88126007600,, ,,,"191040  Санкт-Петербург  Лиговский проспект  дом 43-45  литера Б  БЦ ""Литер Б"""
"РЕСО-ГАРАНТИЯ, сеть адресов",000000000,,88126007600,,,,,
"РОСГОССТРАХ - СЕВЕРО-ЗАПАД, сеть адресов",000000000,,88126007600,,,,,
"ВСК, страховое акционерное общество",000000000,,88126007600,,,,,
ПРОФИКОНСАЛТ,000000000,,88129444438,,www.profikonsalt.ru,,,"196084  Санкт-Петербург  Ново-Рыбинская улица  дом 19/21  БЦ ""Квартал"""
ГАЙДЕ,000000000,,88129444438,,,,,
СТРАХОВОЙ ЭЛЕМЕНТ,000000000,,88123094747,, ,,,192238  Санкт-Петербург  проспект Славы  дом 52  корпус 1
ТАХОМАСТЕР,000000000,,88126458239,,tahomaster.com,,,196105  Санкт-Петербург  Витебский проспект  дом 3
ЛАТ -ТЕЛЕМАТИКА,000000000,,88125780121,,lat-telematika.ru,http://vk.com/lat.telematika,,193019  Санкт-Петербург  Мельничная улица  дом 21-а
ЭРА ГК,000000000,,88129602784,, ,,,196105  Санкт-Петербург  Витебский проспект  дом 3
ГЛОНАС СИСТЕМА,000000000,,88127770628,, ,,,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ТЕХНОЛОГИИ АВТОВИНИЛА,000000000,,88129246362,, ,,,195279  Санкт-Петербург  Ириновский проспект  дом 14  корпус 1
MASTER CAR,000000000,,88126886960,,mastercar.spb.ru,https://vk.com/m_car_spb,,192007  Санкт-Петербург  Лиговский проспект  дом 153  ТРК Лиговъ 8 этаж / уровень 5
ГЛАСС СЕРВИС,000000000,,88123170737,, ,http://vk.com/korallavto,,194295  Санкт-Петербург  Северный проспект  дом 32-а
АВТОГАЗЦЕНТР,000000000,https://wa.me/79119249817,,79119249817,www.avtogaz-spb.ru,,,197374  Санкт-Петербург  улица Оптиков  дом 1/3
ЕВРОГБО,000000000,,88124256995,,www.eurogbo.ru,https://vk.com/eurogboru,,195030  Санкт-Петербург  улица Потапова  дом 2
СААБ-МАСТЕР,000000000,,88123695194,, ,,,196128  Санкт-Петербург  Варшавская улица  дом 5-а  заезд с угла Новоизмайловского пр. и Благодатной ул.
ФОРМУЛА АВТОСЕРВИСА,000000000,,88123695194,,,,,
NI-SERVICE,000000000,,88123634707,,ni-service.ru,,,192007  Санкт-Петербург  Камчатская улица  дом 19
"АВТОЦЕНТР ""ПЕТЕРБУРГ""",000000000,,88123092656,, ,,,195265  Санкт-Петербург  Лужская улица  дом 3  корпус 2  литера В
ДИЛИЖАНС,000000000,,88123312021,, ,https://vk.com/club79164986,,192148  Санкт-Петербург  проспект Елизарова  дом 34
ИНАВТО+,000000000,https://wa.me/79043345005,,79043345005, ,,,195067  Санкт-Петербург  Екатерининский проспект  дом 5  корпус 2
VAG PREMIUM SERVICE,000000000,,88127770333,,vagpremiumservice.ru,,,195220  Санкт-Петербург  Кушелевская дорога  дом 20-а
888 ТУРБО,000000000,,88127159922,,888turbo.ru,,,169950  Санкт-Петербург  Колпино  Финляндская улица  дом 16  корпус 1
AUTOSPRITE,000000000,,88123097506,,autosprite.ru,,,199178  Санкт-Петербург  10-я линия  дом 13
АВТОСЕРВИС,000000000,https://wa.me/79219331410,,79219331410,bmwspblive.com,,,197343  Санкт-Петербург  Земледельческая улица  дом 12
"JS-DISKI, порошковая покраска дисков",000000000,,88129426500,,js-diski.ru,https://vk.com/diski_krasim,,196605  Санкт-Петербург  Кузьминское шоссе  дом 66-Д
JS-SHINA,000000000,,88129426500,,,https://vk.com/jsservice,,
Автоэвик,000000000,https://wa.me/79219629545,,79219629545, ,,,196233  Санкт-Петербург  Витебский проспект  дом 109
"ЦОБТС, служба аварийных комиссаров",000000000,,88002005507,,cobts.ru,,,194292  Санкт-Петербург  Парнас  6-й Верхний переулок  дом 12-б
СПАСИМОБИЛЬ,000000000,https://wa.me/79052230383,,79052230383,www.spasimobil.com,,,197110  Санкт-Петербург  Константиновский проспект  дом 11  офис 208
МБ Тракс СПб,000000000,,88126770378,, ,http://vk.com/mbtrucksspb,,196627  Санкт-Петербург  Московское шоссе  дом 289  строение 1
"РОСАВТО, торговая фирма",000000000,https://wa.me/79219819869,,79219819869, ,,,198097  Санкт-Петербург  улица Трефолева  дом 1-П  1 этаж
"АВТО-КОМПЛЕКС, автомобильная компания",000000000,https://wa.me/79219414484,,79219414484, ,,,196240  Санкт-Петербург  Предпортовая улица  дом 5
ТЕРРА ТРАК ЛЕНГО СПБ,000000000,,88124562626,, ,,,196626  Санкт-Петербург  поселок Шушары  Московское шоссе  дом 15-а
ХОДОС СЕРВИС,000000000,,88124251255,,www.hodosservice.ru,,,192289  Санкт-Петербург  проспект Девятого Января  дом 21
БАФ-ПИТЕР,000000000,https://wa.me/79633000795,,79633000795,баф-питер.рф,,,195248  Санкт-Петербург  улица Лагоды  дом 4
АвтоТранс,000000000,https://wa.me/79219421009,,79219421009,9421009.ru,,,196247  Санкт-Петербург  Кубинская улица  дом 47
АВТОЗАПЧАСТИ,000000000,,,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
ЭРЛАЙН,000000000,,88005558965,,www.airline.su,,,192102  Санкт-Петербург  улица Фучика  дом 8  офис А 07
ЭЛЕКТКАМ,000000000,,88124072078,, ,,,"196244  Санкт-Петербург  улица Типанова  дом 27/39  ТК ""Космос"""
KRAMCO,000000000,,88127751250,,kramco.ru,,,192102  Санкт-Петербург  улица Салова  дом 53  корпус 1
CAR SBAG,000000000,https://wa.me/79613069047,,79613069047,www.carsbag.ru,,,Санкт-Петербург  шоссе Революции  дом 69  корпус 1
АААЛАЙН,000000000,,88002229181,,aaaline.ru,https://vk.com/aaalineru,,197183  Санкт-Петербург  Липовая аллея  дом 9
"ТехСоюз, интернет-магазин автофаркопов",000000000,https://wa.me/79112351115,,79112351115, ,,,190020  Санкт-Петербург  набережная Обводного канала  дом 150
FM-Авто,000000000,,88126470630,,farkop-magazin.ru,,,190020  Санкт-Петербург  набережная Обводного канала  дом 150  литера Б
АВТОЗАПЧАСТИ,000000000,,88126470630,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
КАТОД,000000000,,88126470630,,,,,
"AVTOZERCALA.RU, интернет-магазин",000000000,https://wa.me/79602752166,,79602752166,avtozercala.ru,https://vk.com/avtozercala_ru,,192148  Санкт-Петербург  Железнодорожный проспект  дом 51
АВТОДЕТАЛИ,000000000,,88124618405,, ,,,187032  Ленинградская область  Тосненский район  поселок Тельмана  дом 28-а
1STPARTS,000000000,,88123301135,, ,https://vk.com/1stparts,,195298  Санкт-Петербург  проспект Наставников  дом 35  корпус 1
ЕВРО ЗАПЧАСТЬ,000000000,,88129961115,,eurozapchastspb.ru,,,Ленинградская область  Всеволожский район  Заневское  Индустриальный  участок 10
АВТОЗАПЧАСТИ,000000000,,88129961115,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
КАТОД,000000000,,88129961115,,,,,
КАТАЛИЗАТОР ГРУПП,000000000,,88002503122,, ,,,195030  Санкт-Петербург  улица Химиков  дом 28
Авто Презент,000000000,https://wa.me/79687644121,,79687644121,auto-present.ru,http://vk.com/autopresentru,,194358  Санкт-Петербург  улица Заречная  дом 37
JS-SHINA,000000000,,,,,https://vk.com/jsservice,,
ЧеснОК СЕРВИС,000000000,,88126451792,,chesnokservice.ru,https://vk.com/lobovoe_steklo_spb,,195253  Санкт-Петербург  проспект Энергетиков  дом 51
АВТОСТЁКЛА,000000000,https://wa.me/79111376847,,79111376847, ,https://vk.com/jjglass,,192102  Санкт-Петербург  улица Фучика  дом 12  корпус 3а
Доктор Гласс,000000000,https://wa.me/79679766669,,79679766669,drglass.ru,https://vk.com/dr.glass,,194021  Санкт-Петербург  улица Шателена  дом 9
ПЕТРОМАТИК,000000000,,88122940462,, ,,,194156  Санкт-Петербург  проспект Энгельса  дом 34
ВЕЛЕС СЕРВИС,000000000,,88122456923,,veles-service.ru,,,192019  Санкт-Петербург  улица Седова  дом 10  корпус 2  литера В
"КЕРХЕР ЦЕНТР, оптово-розничная компания, представительство",000000000,,88001000654,, ,,,197022  Санкт-Петербург  Аптекарская набережная  дом 12  1 этаж
Super Wash,000000000,,88122400080,,superwash.pro,,,195297  Санкт-Петербург  проспект Просвещения  дом 80  корпус 1  строение 1
"ГЛОСС ПОИНТ, автомойка",000000000,,88126555777,,www.glosspoint.ru,,,199155  Санкт-Петербург  Уральская улица  дом 23-п
FOMAX CAR WASH,000000000,https://wa.me/79215904575,,79215904575, ,http://vk.com/gk_carwash,,193079  Санкт-Петербург  Октябрьская набережная  дом 56  корпус 2-б
ДСГСЕРВИС СПб,000000000,https://wa.me/79218968788,,79218968788,www.dsgservis-spb.ru,http://vk.com/avtoremont_2015  http://vk.com/club97940168,,198205  Санкт-Петербург  Таллинское шоссе  дом 153  корпус 2  литера И
JS-SERVICE,000000000,,,,,https://vk.com/jsservice  http://vk.com/club130747079,,
Корейский Мастер,000000000,,88125659694,,koreiskimaster178.ru,http://vk.com/km_autoservice,,192029  Санкт-Петербург  проспект Обуховской Обороны  дом 68-70
ЖелДорЛогистика,000000000,,88125659694,,zd-logistika.ru,,info@zdl.spb.ru,"192281  Санкт-Петербург  Балканская площадь  дом 5-д  офисный центр ""Балканский-4""  6 этаж  офис 863"
МегаТранс,000000000,,88125659694,, ,,info@megats.ru,192102  Санкт-Петербург  Прогонная улица  дом 5
Мега-Тракс,000000000,,88002509550,,mega-trucks.ru,http://vk.com/mega_trucks,,193318  Санкт-Петербург  улица Латышских Стрелков  дом 19
"ЧелТрансКом, транспортная компания",000000000,https://wa.me/79514491901,,79514491901, ,https://vk.com/cheltranskom,,192102  Санкт-Петербург  Бухарестская улица  дом 1
ТРАНСЛОГИСТИКА,000000000,,88003017803,,tlspb.ru,https://vk.com/tlspbru,,188507  Ленинградская область  Ломоносовский район  Красносельское шоссе  дом 2  Промышленная зона Пески
АВТОТРАНС,000000000,https://wa.me/79045149680,,79045149680, ,,,195427  Санкт-Петербург  Светлановский проспект  дом 46
БАЛТИЙСКАЯ СЛУЖБА ДОСТАВКИ,000000000,,88126446777,, ,https://vk.com/bsdtrans,,198095  Санкт-Петербург  Митрофаньевское шоссе  дом 10-а
ГРУЗЫ МИРА,000000000,https://wa.me/79006555404,,79006555404, ,,,198206  Санкт-Петербург  Петергофское шоссе  дом 78  корпус 10
БИОТРАНС СП,000000000,,88124114053,, ,,,199155  Санкт-Петербург  Железноводская улица  дом 17/5  литера Д
"ТЭК ""МАГИСТРАЛЬ""",000000000,,88123254743,, ,,,195279  Санкт-Петербург  Индустриальный проспект  дом 45-а
ЕТС,000000000,,88124495025,, ,,,197374  Санкт-Петербург  улица Оптиков  дом 4  корпус 2  офис 311
ТранСэт,000000000,,88124491317,,www.transet-auto.ru,,,192102  Санкт-Петербург  улица Салова  дом 27-ад
Груз Догруз,000000000,,88005053494,,spb.gruzdogruz.ru,https://vk.com/gruzdogruz_ru,,192236  Санкт-Петербург  улица Белы Куна  дом 30  320 офис  3 этаж
ЭКСПЕРТ АВТО,000000000,,88127110712,, ,,,"195279  Санкт-Петербург  Индустриальный проспект  дом 44  корпус 2  БЦ ""ОХТА-ХАУС""  офис 305"
СИРИУС-ТРАНС,000000000,,88126037864,,sirius-trans.ru,https://vk.com/spb35218,,"197374  Санкт-Петербург  Торфяная дорога  дом 7  ТРК ""Гулливер"""
РД,000000000,,88126037864,, ,https://vk.com/rdgroupltd,info@rdgroupltd.com,"190020  Санкт-Петербург  Промышленная улица  дом 19  литера Р  БЦ ""Редуктор""  офис 336"
МЭЙН САТ,000000000,,88129817282,,mainsat.ru,,,191040  Санкт-Петербург  Лиговский проспект  дом 43-45  офис 511
"WIEDER KRAFT, торговая компания",000000000,,88002503080,, ,,,197183  Санкт-Петербург  Заусадебная улица  дом 15-б
АВТОЗАПЧАСТИ,000000000,,88002503080,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
ПРОМЫШЛЕННЫЕ,000000000,,88002503080,, ,,info@promoils.ru,192102  Санкт-Петербург  улица Салова  дом 57-к
ПРОМЫШЛЕННЫЕ,000000000,,88002503080,, ,,info@promoils.ru,192102  Санкт-Петербург  улица Салова  дом 57-к
РУСМА,000000000,,88126765883,, ,https://vk.com/rusmaspb,,192177  Санкт-Петербург  3-й Рыбацкий проезд  дом 7
ЭНЕРГИЯ-3000,000000000,,88122325702,, ,https://vk.com/e3000prisadki,,197101  Санкт-Петербург  Большая Пушкарская улица  дом 41
КОМПАНИЯ АПЕКС,000000000,,88124480776,, ,,,197372  Санкт-Петербург  Комендантский проспект  дом 28  корпус 1  литера А  помещение 15-н
NANOTEC,000000000,,88123132737,,nanotec.su,,,196650  Санкт-Петербург  Колпино  Северная улица  дом 14
MLP SUNNY,000000000,,88123361989,, ,,,191167  Санкт-Петербург  набережная реки Монастырки  дом 5-п
МЕГАПОЛИС,000000000,,88123361989,,,https://vk.com/vodispb,,
АВТОШКОЛА № 4 ВОА,000000000,,88123361989,,,https://vk.com/auto4,,
Автошкола № 3 ВОА,000000000,,88123361989,,,https://vk.com/club102564,,
"БАЗИС, учебный центр",000000000,,88123361989,,,https://vk.com/club24045558,,
"ЯГУАР, автошкола",000000000,,88126352020,, ,https://vk.com/jaguars_spb,,190031  Санкт-Петербург  улица Ефимова  дом 1/4 литера А
РЕСУРС,000000000,,88126352020,, ,,mail@nporesurs.ru,196084  Санкт-Петербург  Парковая улица  дом 4
КАТОД,000000000,,88126352020,,,,,
ЭНЕРГИЯ,000000000,,88123206111,, ,,,198096  Санкт-Петербург  улица Маринеско  дом 3  помещение 8-н
АКБПУСК,000000000,,88124438381,,akbpusk.ru,http://vk.com/akbpuskspb,,193318  Санкт-Петербург  улица Латышских Стрелков  дом 19
БУСТЕР SAFT,000000000,,88123807438,,www.buster-spb.ru,,,197376  Санкт-Петербург  улица Даля  дом 10
АкбОптТорг,000000000,https://wa.me/79118299170,,79118299170,akbzone.ru,,,195043  Санкт-Петербург  Ржевская улица  дом 35
"akb98, интернет-магазин аккумуляторов",000000000,,88129131568,,kupit-akkumulyator-spb.ru,,,195067  Санкт-Петербург  Пискарёвский проспект  дом 40  корпус 2
"БАТТЕРИКА, интернет-магазин",000000000,,88123634868,, ,,,195197  Санкт-Петербург  Кондратьевский проспект  дом 15  корпус 3
"АвтоАКБ СПб, интернет-магазин",000000000,,88126433045,,spb.autoakb.ru,,,194358  Санкт-Петербург  проспект Энгельса  дом 145  корпус 1
КБЕ,000000000,,88123098105,,eps-group.company,,,198097  Санкт-Петербург  улица Трефолева  дом 4  корпус 1  литера А
"АЛЬФА КОМПОНЕНТ, интернет-магазин",000000000,https://wa.me/79673443444,,79673443444,acomponent.ru,,,192102  Санкт-Петербург  улица Салова  дом 59
