Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
FoxBus,0,,88314230507,,foxbus.ru,,,603141  Нижний Новгород  улица Шапошникова  дом 13,,
Чип тюнинг и диагностика двигателя,0,https://wa.me/79058659109,,79058659109,chiptuning-nn.ru,,,Нижний Новгород  Рельсовая улица  дом 18-а,,
Автобусный центр-НН,0,https://wa.me/79202579491,,79202579491,king-long.ru,,,Нижний Новгород  улица Вторчермета  дом 1  литера К,,
Maks3000,0,,88314235920,,maks3000.ru,,,Нижний Новгород  Ореховская улица  дом 80,,
TRUCK SERVIS-NN  автосервис,0,https://wa.me/79506040480,,79506040480,,http://vk.com/vag52  https://vk.com/vagon.avto,,603158  Нижний Новгород  улица Зайцева  дом 41-а,,
СПЕЦСЕРВИС ПРОФИТ  компания,0,,88314191619,,profit-52.ru,,,603069  Нижний Новгород  Ореховская улица  дом 80  корпус 6,,
Нефтекамский завод мобильных зданий,0,,88312889360,,neftzmz.ru,,,Нижний Новгород  улица Белинского  дом 32,,
Добрый фургон,0,https://wa.me/79103934048,,79103934048,,https://vk.com/homehelpernn,,Нижний Новгород  Композиторская улица  дом 5,,
Сервис Групп НН,0,,88314151099,,,,,Нижний Новгород  улица Коновалова  дом 7,,
ТАТНЕФТЬ,0,,88005555911,,azs.tatneft.ru,http://vk.com/azs.tatneft,,603107  Нижний Новгород  проспект Гагарина  дом 69  а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603022  Нижний Новгород  улица Тимирязева  дом 11  а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603090  Нижний Новгород  улица Новикова-Прибоя  дом 25,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603014  Нижний Новгород  улица Коминтерна  дом 17,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603058  Нижний Новгород  улица Героя Попова  дом 58  в,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603140  Нижний Новгород  Комсомольская площадь  дом 3  а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603028  Нижний Новгород  Московское шоссе  дом 248-а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603152  Нижний Новгород  улица Ларина  дом 32,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603079  Нижний Новгород  Московское шоссе  дом 213  Б,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603107  Нижний Новгород  улица Ларина  дом 2,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603004  Нижний Новгород  проспект Ленина  дом 92  а,,
КОМБАТ,0,,88314639193,,,,,603069  Нижний Новгород  Новополевая улица  дом 1/1,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603035  Нижний Новгород  улица Ярошенко  дом 1  а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603037  Нижний Новгород  улица Федосеенко  дом 63-а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603124  Нижний Новгород  Московское шоссе  дом 235,,
АЗС,0,,88314639193,,,,,603014  Нижний Новгород  улица Коминтерна  дом 33  а,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,603037  Нижний Новгород  улица Федосеенко  дом 64-Б,,
ФЕНИКС,0,,88312730929,,,,,603003  Нижний Новгород  улица Свободы  дом 63,,
ВИНСО-СВ,0,,88312123581,,vinso-azs.ru,,,603163  Нижний Новгород  улица Родионова  дом 195  корпус 2,,
АТРИС  торговая компания,0,,88312613979,,www.a-3-c.ru,,,603057  Нижний Новгород  проспект Гагарина  дом 27,,
СТРОЙ-РЕСУРС,0,,88314693369,,okbm-marshall.ru,,,603107  Нижний Новгород  проспект Гагарина  дом 178,,
СВЕТЛОЯР-XXI,0,,88312713500,,,,,603096  Нижний Новгород  Светлоярская улица  дом 46,,
АЗС-СЕРВИС,0,,88312713693,,,,,603096  Нижний Новгород  Светлоярская улица  дом 46,,
ТЕХНОЛАК-НН,0,,88314349650,,www.technolak.ru,,,603093  Нижний Новгород  улица Родионова  дом 23-в,,
СТРОЙ-СНАБ ,0,,88312298354,, ,,,603035  Нижний Новгород  улица Чаадаева  дом 3-б,,
НОВЭКС,0,,88312151087,,www.azs-noveks.ru,,,603002  Нижний Новгород  улица Литвинова  дом 74  корпус 31  5-й эт.,,
КАПЭКС,0,,88312910127,, ,,,603124  Нижний Новгород  улица Вторчермета  дом 6,,
МАСТЕР АЗС,0,,88312577866,, ,,,603163  Нижний Новгород  Казанское шоссе  дом 16,,
ВОЛГОВЯТНЕФТЕПРОДУКТКОМПЛЕКТ,0,,88312740207,,www.azs-s.ru,,,603052  Нижний Новгород  Сормовское шоссе  дом 22-а,,
ДРАЙВЕР-НН,0,,88312740615,,www.azs-s.ru,,,603052  Нижний Новгород  Сормовское шоссе  дом 22-а,,
СТЭК,0,,88312205673,, ,,,603029  Нижний Новгород  Памирская улица  дом 11  3-й эт.,,
ПАРТНЁР-СТРОЙ,0,,88314333863,,,,,603001  Нижний Новгород  Рождественская улица  дом 38-е,,
ЦЕНТРРЕМСТРОЙ  строительная компания,0,,88312175577,, ,,,603098  Нижний Новгород  Артельная улица  дом 15  6 офис,,
ГРАНД  строительная компания,0,,88314344287,,,,,603001  Нижний Новгород  Почаинская улица  дом 17  1 этаж  вход со двора,,
ДЖОКЕРавто,0,,88003016084,,pts.zaimpodolsk.ru,,,603005  Нижний Новгород  улица Пискунова  дом 16,,
ЛОМБАРД-ТРАНС  автоломбард,0,,88312135091,, ,,,603000  Нижний Новгород  Новая улица  дом 18,,
АВТОЛОМБАРД Казань,0,,88432071138,,автоломбард-казань.рф,,,603098  Нижний Новгород  улица Пушкина  дом 30,,
АВТОЛОМБАРД,0,,88314241020,, ,,,603004  Нижний Новгород  проспект Кирова  дом 2-а,,
ЗАРЕЧЬЕ  автоломбард,0,,88312128305,, ,,,603064  Нижний Новгород  улица Новикова-Прибоя  дом 6-б,,
БРАТ  автоломбард,0,,88314134623,,avto-brat.ru,,,603002  Нижний Новгород  улица Долгополова  дом 79  офис 34,,
АВТО-ЛОМБАРД,0,,88314137484,, ,,,603073  Нижний Новгород  улица Адмирала Нахимова  дом 3,,
НИЖЕГОРОДСКИЙ АВТОЛОМБАРД,0,,88312410754,, ,,,603074  Нижний Новгород  улица Маршала Воронова  дом 3,,
АВТОЛОМБАРД,0,,88312125005,, ,,,603090  Нижний Новгород  проспект Ленина  дом 73  404 офис,,
АВТОЛОМБАРД ГЛОБУС,0,,88312794503,, ,,,603028  Нижний Новгород  Комсомольское шоссе  дом 5  1 этаж,,
НАЦИОНАЛЬНЫЙ КРЕДИТ,0,,88312183333,,nn.natcredit.ru,,,"603006  Нижний Новгород  улица Максима Горького  дом 117  БЦ ""Столица Нижний""  помещение 8  офис 204",,
ЮГАВТОЗАЙМ  автоломбард,0,,88314291609,,nizhny-novgorod.avtolombardpro.com,,,603140  Нижний Новгород  Мотальный переулок  дом 8  С116 офис  центр Бугров Бизнес Парк,,
СВ-АВТО ЛОМБАРД,0,https://wa.me/79290537707,,79290537707, ,,,603092  Нижний Новгород  Московское шоссе  дом 304-а  корпус 1,,
АвтоКПП,0,https://wa.me/79051929775,,79051929775,,,,Нижний Новгород  улица Коминтерна  дом 45-а,,
Агрегатка,0,,88314142200,,nn.agregatka.ru,https://vk.com/agregat_ka,,603028  Нижний Новгород  Актюбинская улица  дом 17,,
Автосрвис на Ижевской,0,,88312917040,,avtoizhevskaya.ru,,,Нижний Новгород  Ижевская улица  дом 78,,
Четыре колеса,0,https://wa.me/79307061650,,79307061650, ,,,Нижний Новгород  Тургайский переулок  дом 2-а,,
ATF Service,0,,88312137112,,atfservice.ru,,,Нижний Новгород  Комсомольское шоссе  дом 5-Г,,
Санрено,0,,88312809954,,san-reno.ru,https://vk.com/club_sanreno,,603152  Нижний Новгород  улица Ларина  дом 13-б,,
Автосервис,0,https://wa.me/79082333344,,79082333344,vk.com/club68883502,https://vk.com/club68883502  https://vk.com/avto_problemnn,,603041  Нижний Новгород  улица Красных Партизан  дом 8-а  корпус 4,,
PANDA SOUND  мастерская автозвука,0,https://wa.me/79990771122,,79990771122,vk.com/k.katvalyan,http://vk.com/k.katvalyan,,603010  Нижний Новгород  Зеленодольская улица  дом 75,,
AUTOCLUB  автосервис,0,https://wa.me/79063643663,,79063643663,zotovvv.business.site,,,603053  Нижний Новгород  Лесная улица  дом 44  д,,
52NN  автосервис,0,,88312653326,, ,http://vk.com/club177259522,,603124  Нижний Новгород  улица Вторчермета  дом 1/2,,
TECHNOCART,0,,88312150308,,technocart.ru,,,603058  Нижний Новгород  Суздальская улица  дом 70,,
ИНТЕРПЛАСТ. PRO,0,,88312003135,,antikor-shumoizol.ru,http://vk.com/antikor52,,603116  Нижний Новгород  улица Куйбышева  дом 30-Б,,
АВТОЗВУК,0,,88312003135,,,,,,,
АМ-СТУДИЯ,0,https://wa.me/79202543997,,79202543997,vk.com/club70367747,http://vk.com/club70367747,,603057  Нижний Новгород  улица Бекетова  дом 3-а,,
ТАЧКА 52,0,,88314151540,, ,,,603004  Нижний Новгород  проспект Ленина  дом 84-г,,
АЛАРМ-АВТО,0,,88314285511,, ,,,603105  Нижний Новгород  Пригородная улица  дом 27  район ул. Ванеева,,
АВТОЭЛЕКТРОНИКА,0,,88312906125,, ,http://vk.com/club70367747,,603095  Нижний Новгород  улица Дружаева  дом 30,,
ВИНИЛ-ЦЕНТР,0,,88312494293,, ,,,603011  Нижний Новгород  улица Июльских Дней  дом 1-м,,
ЭКСКЛЮЗИВ,0,,88314321373,, ,http://vk.com/club83166398,,603093  Нижний Новгород  улица Родионова  дом 134  2-й эт.,,
SHOP152.RU,0,,88314636258,,shop152.ru,,,603098  Нижний Новгород  Артельная улица  дом 37  офис 2,,
ВЕГА,0,,88314636258,,,,,,,
АВТОСТАЙЛ52,0,https://wa.me/79027888288,,79027888288, ,,,603086  Нижний Новгород  улица Бринского  дом 12,,
ТАЧКА 52,0,,88312916363,, ,http://vk.com/cars52,,603004  Нижний Новгород  улица Переходникова  дом 31-в,,
РИТОМОБИЛЬ,0,,88312916363,,,http://vk.com/ritmobil,,,,
Lion Expert,0,https://wa.me/79960651007,,79960651007,lion-expert.ru,http://vk.com/lion_expert,,603047  Нижний Новгород  улица Шота Руставели  дом 14,,
ПРОФЛИДЕР,0,,88312830957,, ,,,603035  Нижний Новгород  улица Чаадаева  дом 3-Б,,
АПРИОРИ  юридическая компания,0,https://wa.me/79524526539,,79524526539,,,,603000  Нижний Новгород  Ильинская улица  дом 90/18,,
ЭКСПЕРТ МОТОРС  агентство независимой экспертизы,0,,88312467881,, ,,,603086  Нижний Новгород  улица Стрелка  дом 4-а,,
ЮРИДИЧЕСКАЯ КОМПАНИЯ,0,https://wa.me/79092838828,,79092838828,,,,603093  Нижний Новгород  улица Родионова  дом 169-а,,
ГЕОМЕТРИЯ  центр независимой экспертизы,0,https://wa.me/79200006441,,79200006441,,,,603024  Нижний Новгород  Бойновский переулок  дом 17,,
АВТОЭЛЕКТРИК НН  автоцентр,0,https://wa.me/79082324688,,79082324688,autoelectricnn.ru,,,603024  Нижний Новгород  Сенная площадь  дом 15,,
ЧИПАНУТЫЕ.РФ  Центр чип-тюнинга,0,https://wa.me/79200112929,,79200112929,nn.chiprussia.ru,http://vk.com/autochip52,,603053  Нижний Новгород  улица Переходникова  дом 20,,
ПРО СТРАХОВАНИЕ,0,,88314138043,,,,,603064  Нижний Новгород  проспект Ленина  дом 93,,
ГОСТ-ЭКСПЕРТ  центр независимой оценки,0,,88312913346,, ,,,603089  Нижний Новгород  Полтавская улица  дом 32,,
ИСТИНА  экспертно-криминалистический центр,0,,88312835554,, ,,,603006  Нижний Новгород  улица Семашко  дом 37,,
РАВТ-ЭКСПЕРТ  оценочная компания,0,,84951505832,,ravtexpert.ru,,,603000  Нижний Новгород  Славянская улица  дом 19,,
ЭКСПЕРТНОЕ БЮРО № 1,0,,88314100656,, ,,,603005  Нижний Новгород  Большая Покровская улица  дом 15-Б,,
ГОСТ СТРАХОВАНИЕ,0,,88312916261,, ,,,603014  Нижний Новгород  улица Коминтерна  дом 2,,
СТРАХОВОЙ СОВЕТНИК,0,,88314236423,, ,,,603024  Нижний Новгород  улица Максима Горького  дом 193-Б,,
АВТОПОДБОРИНГ  авто-экспертная компания,0,,88003501945,, ,,,603108  Нижний Новгород  Ракетная улица  дом 9-Б  корпус 1,,
КАЛИПСО  автосервис,0,https://wa.me/79056649725,,79056649725,,,,603010  Нижний Новгород  Балаклавский переулок  дом 2,,
Белый парус,0,https://wa.me/79200278010,,79200278010,,,,Нижний Новгород  Восточный проезд  дом 11,,
АВТОСЕРВИС,0,https://wa.me/79107961215,,79107961215, ,,,603037  Нижний Новгород  улица Кузьмина  дом 1-а,,
СРС-АВТО  автосервис,0,https://wa.me/79103917816,,79103917816,,https://vk.com/avtomacter_nn,,603034  Нижний Новгород  Шлиссельбургская улица  дом 28,,
ГЛОБУСАВТО  автосервис,0,https://wa.me/79308095656,,79308095656, ,,,603053  Нижний Новгород  улица Переходникова  дом 27-а,,
СССР,0,,88314638589,,,,,603104  Нижний Новгород  Юбилейная улица  дом 3,,
СРС-АВТО  автосервис,0,https://wa.me/79108886899,,79108886899, ,https://vk.com/avtomacter_nn,,603074  Нижний Новгород  Совхозная улица  дом 9-Б  корпус 1  въезд с торца,,
ДВА ТОВАРИЩА  автосервис,0,https://wa.me/79519048492,,79519048492, ,,,603022  Нижний Новгород  1-я Оранжерейная улица  дом 30,,
ТЕСЛА  мастерская по ремонту автоэлектрики,0,,88314140414,,,,,603090  Нижний Новгород  улица Новикова-Прибоя  дом 9-Б,,
АВТО СТО,0,https://wa.me/79081610660,,79081610660, ,,,603147  Нижний Новгород  улица Юлиуса Фучика  дом 50-Б,,
АВТО-КОМ  автосервис,0,,88312910903,,autocom-nn.ru,,,603098  Нижний Новгород  Артельная улица  дом 20  корпус 1,,
ГАЗЕЛЬ-СЕРВИС  станция технического обслуживания автомобилей Газель  ГАЗон  Валдай,0,,88314239232,, ,,,603152  Нижний Новгород  улица Ларина  дом 13,,
АВТОСЕРВИС  ИП Вершинин Р.С.,0,https://wa.me/79519154032,,79519154032, ,,,603116  Нижний Новгород  Гордеевская улица  дом 141  1 этаж,,
DR.AG CAR-CARE CENTER  автосервис,0,https://wa.me/79040428875,,79040428875, ,http://vk.com/drag_ccc  http://vk.com/exoticservice,,603093  Нижний Новгород  Овражная улица  дом 54,,
АВЕЛОН АВТО  автотехцентр,0,https://wa.me/79871140201,,79871140201, ,,,603035  Нижний Новгород  улица Чаадаева  дом 3/1,,
АЛЬФА  автосервис для Renault  Nissan  Opel,0,,88312301018,, ,,,603014  Нижний Новгород  улица Коминтерна  дом 39-Б  литера 1,,
INJECTION  техцентр,0,,88314147140,,,http://vk.com/incervice  https://vk.com/kmd.service,,603140  Нижний Новгород  проспект Ленина  дом 31/2Б,,
L-CAR  автосервис,0,,88312917331,, ,http://vk.com/elcarservice  https://vk.com/pzmmotoroil,,603093  Нижний Новгород  Деловая улица  дом 1  корпус 7,,
QUATTRO GARAGE  автосервис,0,,88312914076,, ,,,603163  Нижний Новгород  улица Александра Хохлова  дом 15-а  1 этаж,,
АНТИВМЯТИНА  центр кузовного ремонта,0,https://wa.me/79202536001,,79202536001, ,http://vk.com/antivmyatina,,603163  Нижний Новгород  Деловая улица  дом 20-а,,
ГАЗЕЛЬ НН  автосервис,0,https://wa.me/79103986342,,79103986342, ,,,603040  Нижний Новгород  улица Сутырина  дом 8-а  корпус 4,,
НИЖЕГОРОДСКИЙ МАСТЕР  мастерская,0,https://wa.me/79524708217,,79524708217,vk.com/club202255645,http://vk.com/club202255645,,603034  Нижний Новгород  проспект Ленина  дом 33,,
ЭФТЕК НН  производственная компания,0,,88312996892,,eftec.com,,,603033  Нижний Новгород  Шуваловский канал  дом 6,,
TUNING-BOX  автокомплекс,0,https://wa.me/79101033777,,79101033777,tuning-box.pro,http://vk.com/dc_tuningbox,,603035  Нижний Новгород  улица Чаадаева  дом 3-Б  корпус 1,,
ГРУЗОВОЙ АВТОСЕРВИС  ИП Кознова М.А.,0,https://wa.me/79023012896,,79023012896, ,,,603093  Нижний Новгород  Деловая улица  дом 1-в,,
СКИПЕТР  центр кузовного ремонта,0,https://wa.me/79677119618,,79677119618,,,,603093  Нижний Новгород  улица Родионова  дом 167-в,,
АВТОСЕРВИС НА ТИМИРЯЗЕВА,0,https://wa.me/79040652777,,79040652777, ,,,603022  Нижний Новгород  улица Тимирязева  дом 11  г,,
АВТОСЕРВИС  ИП Степанова Е.В.,0,https://wa.me/79063485463,,79063485463,,,,603073  Нижний Новгород  Норильская улица  дом 4-в,,
АВТОСЕРВИСНАЯ МАСТЕРСКАЯ,0,https://wa.me/79534151342,,79534151342,,,,603115  Нижний Новгород  улица Генкиной  дом 15  Б,,
ADVANCE  детейлинг-центр,0,,88314243234,, ,http://vk.com/advance_dc,,603155  Нижний Новгород  улица Максима Горького  дом 260,,
ХИМOFF  химчистка для автомобилей,0,https://wa.me/79040539014,,79040539014,vk.com/himoff52,http://vk.com/himoff52,,603033  Нижний Новгород  улица Декабристов  дом 48  а,,
РЕСТАВРАТОРЪ  центр кузовного ремонта и детейлинга,0,,88313031717,, ,,,603043  Нижний Новгород  улица Героя Поющева  дом 16,,
КУЗОВГРАД  кузовной центр,0,,88312152424,,kuzovnoynn.ru,,,603053  Нижний Новгород  проспект Ленина  дом 93  л,,
АВТОСТИЛЬ,0,,88314239198,, ,,,603093  Нижний Новгород  Деловая улица  дом 1  в к2,,
ZAPROSTO  автосервис,0,,88312154050,,,,,603061  Нижний Новгород  Композиторская улица  дом 18,,
АВТОСЕРВИС,0,,88312916727,,,,,603116  Нижний Новгород  Семёновский переулок  дом 19-а,,
ОРДЕР,0,,88312533979,, ,,,603058  Нижний Новгород  улица Героя Попова  дом 35-б,,
АВТОМОЙКА  ИП Гойхман А.А.,0,,88312412935,,,,,603028  Нижний Новгород  Московское шоссе  дом 34  г,,
ШИННЫЙ ЦЕНТР ГРУЗОВЫХ АВТОМОБИЛЕЙ,0,,88312118273,,,,,603034  Нижний Новгород  Алма-Атинская улица  дом 15  к4,,
ИНТЕРАВТОЦЕНТР  автомойка,0,,88314233033,,,,,603069  Нижний Новгород  Ореховская улица  дом 80-Б,,
AQUACITY NOVPRIBOY  автомойка,0,https://wa.me/79101221057,,79101221057,,,,603090  Нижний Новгород  улица Новикова-Прибоя  дом 9-Б,,
АВТОМОЙКА,0,https://wa.me/79103830034,,79103830034,,,,603035  Нижний Новгород  улица Чаадаева  дом 1-п,,
АВТОМОЙКА,0,https://wa.me/79877512086,,79877512086,audann.ru,,,603155  Нижний Новгород  Большая Печёрская улица  дом 26  а,,
РОБОТ МОЙКА 52 RCW  автоматическая бесконтактная робот-мойка,0,https://wa.me/79519022255,,79519022255,,,,603034  Нижний Новгород  улица Аксакова  дом 40,,
ЗАРЕЧНАЯ  автомойка,0,https://wa.me/79200762744,,79200762744,,,,603028  Нижний Новгород  Комсомольское шоссе  дом 4  корпус 10,,
АВТОБЛЕСК  автомойка,0,https://wa.me/79108822980,,79108822980,,,,603035  Нижний Новгород  улица Ярошенко  дом 1  а,,
АВТОДЕТЕЙЛЕР  компания по удалению вмятин без покраски,0,https://wa.me/79307003113,,79307003113,xn--80aegeaa1aqw0aod.xn--p1ai,http://vk.com/autospann,,603064  Нижний Новгород  улица Героя Попова  дом 12/1,,
FERRARI  автомойка,0,https://wa.me/79200174411,,79200174411,,,,603061  Нижний Новгород  Памирская улица  дом 8  а,,
ЯСНАЯ  автокомплекс,0,,88312304111,,,,,603068  Нижний Новгород  улица КИМа  дом 341,,
СЕРВИС ДЛЯ СОБСТВЕННИКОВ  компания,0,https://wa.me/79534155808,,79534155808, ,,,603137  Нижний Новгород  Вятская улица  дом 47,,
АВТОМОЙКА,0,https://wa.me/79047969401,,79047969401,,,,603093  Нижний Новгород  улица Усилова  дом 1-а  корпус 1,,
BAD BOYS  студия детейлинга,0,https://wa.me/79049110545,,79049110545,,,,603093  Нижний Новгород  улица Родионова  дом 165-Б,,
РУСЛАН,0,https://wa.me/79081585566,,79081585566,,,,603002  Нижний Новгород  Коммунистическая улица  дом 62  а,,
Центр мониторинга транспорта,0,,,,,,,,,
ДРАКОН,0,,88314151291,,www.dragon.ru,,,603029  Нижний Новгород  Памирская улица  дом 11-в,,
САНТЭЛ НАВИГАЦИЯ-НН,0,,88312180515,, ,,,603011  Нижний Новгород  улица Июльских Дней  дом 19,,
ГЛОННАСС,0,,88312973884,,www.glonnass.ru,,,"603138  Нижний Новгород  улица Плотникова  дом 4-а  рынок ""Автозаводский""",,
РИТОМОБИЛЬ,0,,88312973884,,,http://vk.com/ritmobil,,,,
РИТОМОБИЛЬ,0,https://wa.me/79290410341,,79290410341, ,,,603037  Нижний Новгород  улица Кузьмина  дом 1-б,,
АВТОГАДЖЕТ,0,,,,,,,,,
КАРДАМОН,0,,88312880018,,rashod-topliva-avtomobilya.ru,,,603041  Нижний Новгород  Молодёжный проспект  дом 80,,
КОБРА-НН,0,,88312416974,, ,,,603074  Нижний Новгород  Бурнаковская улица  дом 1,,
СМОТР,0,,88314115596,, ,,,603043  Нижний Новгород  проспект Кирова  дом 2-а,,
ИТС-СОФТ,0,,88314678054,,www.its-soft.ru,,,"603140  Нижний Новгород  Мотальный переулок  дом 8  БЦ ""Бугров Бизнес Парк""  офис С 307",,
СТАРКОМ,0,,88314678141,, ,,,603140  Нижний Новгород  Мотальный переулок  дом 8,,
АВТОДЕВАЙС,0,,88314678141,,,,,,,
АТС-МОНИТОРИНГ,0,,88312706438,, ,,,603079  Нижний Новгород  Московское шоссе  дом 213-а  офис 410,,
ВыкупАвто152,0,https://wa.me/79457644304,,79457644304, ,,,603600  Нижний Новгород  переулок Нартова  дом 6  корпус 6,,
Лайт Авто,0,https://wa.me/79200719107,,79200719107,www.avito.ru,,,603092  Нижний Новгород  Московское шоссе  дом 318-г,,
