Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
КАМАЗ ЦЕНТР ВОЛОГДА,0,,88172703545,,xn--35-6kca9app.xn--p1ai,http://vk.com/vologdakamaz,asp@nts35.ru,160019  Вологда  Старое шоссе  дом 5  а к3,,
"АВТОТЕХСНАБ35, магазин автозапчастей",0,,88172580050,,avtots.ru,,,160019  Вологда  улица Чернышевского  дом 120  г,,
"АКВА-МАРИН, центр водно-моторной техники",0,,88172701001,,motars.ru,,motomir35rem@mail.ru,160019  Вологда  улица Чернышевского  дом 120  г,,
АВТОРЕМОНТНОЕ ПРЕДПРИЯТИЕ,0,https://wa.me/79215015335,88172543703,, ,,,160000  Вологда  6-й Армии набережная  дом 27,,
ЯрКамп,0,,88001006888,,yarkamp.ru,,yaroslavl@yarkamp.ru,Вологда  улица Преображенского  дом 22-а,,
SHELL,0,https://wa.me/79110476835,,79110476835,www.shell.com.ru,,,160021  Вологда  улица Клубова  дом 34,,
SHELL,0,https://wa.me/79110476830,,79110476830,www.shell.com.ru,,,160022  Вологда  Пошехонское шоссе  дом 38-а,,
"СТК, АЗС",0,https://wa.me/79005520952,,79005520952, ,http://vk.com/stkgasstation,,Вологда  Северная улица  дом 27/1,,
ГАЗСЕРВИСАВТО,0,https://wa.me/79215308032,,79215308032,,,,160032  Вологда  улица Конева  дом 50,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,160028  Вологда  Окружное шоссе  дом 11  в,,
"СТАНДАРТ, АЗС",0,https://wa.me/79005446294,,79005446294, ,http://vk.com/club151445654,,160549  Вологодская область  Вологодский район  поселок Семенково  Октябрьская улица  дом 44/1,,
"ОПТИМА ОЙЛ, АЗС",0,,88172299339,, ,http://vk.com/optimaoil,,Вологда  улица Клубова  дом 53,,
"ЭКОЙЛ, заправочная станция",0,https://wa.me/79115127002,,79115127002,,,,Вологда  Машиностроительная улица  дом 29/1,,
"ОПТИМА-ОЙЛ, АЗС",0,,88172502101,,,,,160019  Вологда  Старое шоссе  дом 18  к1,,
СЕВЕРГАЗ,0,,88172522020,,severgaz.pro,,mail@severgaz.com,Вологодская область  Вашкинский район  село Липин Бор  Первомайская улица  дом 54,,
ЭНТИКОМ-ИНВЕСТ,0,,88172715620,,,,,160000  Вологда  Можайского улица  дом 1,,
ВОМЗ-АВТО,0,,88172259784,, ,,,160009  Вологда  улица Мальцева  дом 54,,
ЗЫРИН Д.Н. ЧП,0,,88172755328,,,,,160012  Вологда  Советский проспект  дом 127,,
ЭНТИКОМ-ИНВЕСТ,0,,88172756147,,,,,160000  Вологда  Зосимовская улица  дом 18,,
"СЕВЕР СИНТЕЗ, АЗС",0,,88172217935,,,,,160004  Вологда  улица Клубова  дом 30-А,,
"ГАЛОН ПЛЮС, АЗС",0,,88172731100,,,,,160033  Вологда  Московская улица  дом 23-А,,
"СИНТЕЗ, АЗС",0,,88172514799,,,,,Вологодская область  Вологодский район  поселок Рубцово,,
"СПЕЦАЗСКОМПЛЕКТ, торговая компания",0,,88172541645,, ,,,160014  Вологда  улица Карла Маркса  дом 32  21 офис,,
"СПЕЦПРОМСЕРВИС, торгово-сервисная компания",0,,88172533602,, ,,,160017  Вологда  Ленинградская улица  дом 79  вход со двора,,
"РОСТ, строительно-монтажная компания",0,,88172544026,, ,,,160024  Вологда  Северная улица  дом 34,,
АВТОЛОМБАРД,0,,88172703443,,,,,160024  Вологда  Северная улица  дом 25,,
"ЛОМБАРДАВТО, ломбард",0,,88172705491,,,,,160019  Вологда  Красноармейская улица  дом 37-а,,
"ПОДКОВА, автоломбард",0,,88172505588,,podkova35.ru,,,160009  Вологда  Галкинская улица  дом 79-а  8 офис,,
"АвтоСтандарт, автосервис",0,,88172505985,,maps.yandex.ru,,,Вологда  Пошехонское шоссе  дом 18  корпус 2,,
"Механик, автосервис",0,,88172701534,, ,,,160000  Вологда  улица Гагарина  дом 83-а,,
АТ-Сервис,0,,88172509799,, ,http://vk.com/id247280376  http://vk.com/g.garazh2014,,Вологда  Пошехонское шоссе  дом 14-а,,
ВАШ АВТОСЕРВИС,0,https://wa.me/79005400090,,79005400090, ,http://vk.com/your_car.service,,160019  Вологда  улица Горького  дом 39-а,,
"ГРИНЛАЙТ, автосервис",0,https://wa.me/79114491379,,79114491379,vk.com/greenlitefavorit,http://vk.com/greenlitefavorit,,Вологда  улица Можайского  дом 49  Б/1 ст1,,
"ОХРАННЫЕ СИСТЕМЫ, магазин",0,,88172703638,, ,https://vk.com/carsnab35,,160012  Вологда  Советский проспект  дом 162,,
"АВТОКАН, торгово-монтажная компания",0,https://wa.me/79115028665,,79115028665,vk.com/autocan,http://vk.com/autocan,,160001  Вологда  Благовещенская улица  дом 26  109 офис,,
"СИГНАЛКА, автомагазин",0,,88172580564,,,https://vk.com/carsnab35,,160026  Вологда  Окружное шоссе  дом 9,,
"АМАКС, сеть автотехцентров",0,,88172239090,,www.amax-studio.ru,,,160013  Вологда  улица Можайского  дом 55,,
"АВТОКОЛОР, оптово-розничная компания",0,,88172541288,,www.avto-kolor.ru,,,160019  Вологда  улица Чернышевского  дом 147,,
"ПРИОРИТЕТ, автомастерская",0,,88172705573,, ,http://vk.com/autocan,,160017  Вологда  Ленинградская улица  дом 61,,
"FRESH, автокомплекс",0,,88172706106,,vk.com/freshcar35,http://vk.com/freshcar35  http://vk.com/club64746134,,Вологда  Пошехонское шоссе  дом 33-а,,
"КАРС, торгово-сервисная компания",0,,88172500962,, ,http://vk.com/aquachameleon,,160026  Вологда  улица Панкратова  дом 90,,
ComfortCar35,0,https://wa.me/79115016646,,79115016646,,http://vk.com/vologda_avto_tuning,,Вологда  улица Гагарина  дом 93,,
"AudioMozart, студия автозвука",0,https://wa.me/79115491208,,79115491208,,,,Вологда  Старое шоссе  дом 50  строение 5,,
"CARSOUND35, компания",0,,88172299388,, ,http://vk.com/club105487803  http://vk.com/club70815541,,160034  Вологда  Ленинградская улица  дом 97-Б  въезд с ул. Окружное шоссе,,
"АЛЬФА, автостудия автоаксессуаров и электроники, ИП Бобыкин В.В.",0,,88172701076,,autostudio.info-35.ru,https://vk.com/avtostydiaalfa35,victor_bobykin@mail.ru,160017  Вологда  Тепличный микрорайон  дом 1  корпус 1,,
"ПРОФИ, автомастерская",0,,88172264082,, ,,,160012  Вологда  улица Ветошкина  дом 76,,
ЦЕНТР СУДЕБНО-ЭКСПЕРТНОЙ ПОМОЩИ,0,,88172700846,, ,http://vk.com/club58899946,,Вологда  Товарная улица  дом 17,,
ТЕХОСМОТР,0,https://wa.me/79602942000,,79602942000,,http://vk.com/35femida,,160000  Вологда,,
ВОЛОГДАГАЗАВТОСЕРВИС ОАО,0,,88172719909,,,http://vk.com/vocenka,,160010  Вологда  Пошехонское шоссе  дом 8,,
"ПАРТНЕР, агентство оценки и права",0,,88172703323,, ,http://vk.com/35femida,,160000  Вологда  Советский проспект  дом 27  21 офис,,
"БИЗНЕС СЕРВИС, кредитно-страховой центр",0,https://wa.me/79211246474,,79211246474, ,https://vk.com/id34641118  http://vk.com/vocenka,,160022  Вологда  Пошехонское шоссе  дом 22  405 офис,,
ЦЕНТР ПОМОЩИ АВТОВЛАДЕЛЬЦАМ,0,https://wa.me/79535040077,,79535040077,,http://vk.com/35vin,,160001  Вологда  улица Кирова  дом 21  205 офис,,
ЦЕНТР НЕЗАВИСИМОЙ ЭКСПЕРТИЗЫ,0,,88172787786,, ,http://vk.com/35vin,,160002  Вологда  Ленинградская улица  дом 136  1 этаж,,
"АВТОСФЕРА, агентство автоэкспертизы",0,,88172212040,, ,http://vk.com/35vin  https://vk.com/id34641118,,160001  Вологда  Благовещенская улица  дом 26  108 офис,,
ЦЕНТР АВТОЭКСПЕРТИЗЫ,0,https://wa.me/79535135202,,79535135202,,,,160001  Вологда  Благовещенская улица  дом 34,,
"АВТОЛАЙФ, автосервис",0,,88172506609,,al35.pro,http://vk.com/au35ru,,160022  Вологда  Пошехонское шоссе  дом 18  корпус С  вход с торца,,
"ВЕЛЕССЕРВИС, компания",0,,88172705750,,,,,Вологда  Машиностроительная улица  дом 29,,
"ЦЕНТР СУДЕБНЫХ ЭКСПЕРТИЗ, консультационное бюро",0,,88005550453,, ,,,160004  Вологда  улица Воровского  дом 65  513 офис,,
"АВТОЮРИСТ, специализированная компания",0,,88172702126,, ,,,160001  Вологда  улица Челюскинцев  дом 9  504А офис  5 этаж,,
"ВОЛОГДАОБЛОЦЕНКА, компания",0,,88172701030,, ,http://vk.com/vocenka,,160001  Вологда  Благовещенская улица  дом 34,,
"АВТОМАСТЕРСКАЯ, ИП Барков А.С.",0,,88172702732,,profi35.com,,,Вологда  улица Добролюбова  дом 74,,
"АВТОЭКСПЕРТ, независимая автоэкспертная компания",0,https://wa.me/79052972974,,79052972974,vk.com/35vin,http://vk.com/35vin  https://vk.com/id34641118  http://vk.com/vocenka,,160002  Вологда  Кольцевой переулок  дом 26  4 офис,,
Автокресла35,0,,88172502443,,vk.com/autokresla35,http://vk.com/autokresla35,,Вологда  Северная улица  дом 36-а,,
"АВТО-ВОЛЬТ, автосервис",0,,88172702052,, ,https://vk.com/avtodelo35,,160000  Вологда  Гончарная улица  дом 4-а  вход со двора,,
"АВТОСЕРВИС, ООО ""Метсервис плюс""",0,https://wa.me/79210683203,,79210683203,,,,160014  Вологда  улица Гиляровского  дом 63,,
"РУСИЧ, автосервис",0,https://wa.me/79115060934,,79115060934,vk.com/avtoservisrusich,http://vk.com/avtoservisrusich  http://vk.com/id209209896,,Вологда  улица Клубова  дом 5,,
"У ЗЕНИТКИ, СТО",0,,88172700354,,,,,160004  Вологда  улица Маяковского  дом 45,,
"KUZOVOC, автосервис",0,https://wa.me/79212316199,,79212316199,vk.link,http://vk.com/kuzovchic,,160017  Вологда  Говоровский проезд  дом 6-а/1,,
"DRIVE, автосервис",0,https://wa.me/79005089497,,79005089497,vk.com/driveavtoservis,http://vk.com/driveavtoservis,,160014  Вологда  улица Саммера  дом 60-а,,
"ХИМЧИСТКА АВТО, компания",0,https://wa.me/79005600454,,79005600454,vk.com/chistimparom35,http://vk.com/chistimparom35,,160014  Вологда  улица Саммера  дом 60  в,,
"SPACE LAB, детейлинг-студия",0,https://wa.me/79535013777,,79535013777,vk.com/club75135474,http://vk.com/club75135474,,160028  Вологда  Окружное шоссе  дом 11  г,,
АВТОСЕРВИС,0,https://wa.me/79005602021,,79005602021, ,,,160028  Вологда  улица Ильюшина  дом 30  Б,,
TONHOUSE35,0,https://wa.me/79114441781,,79114441781,vk.com/tonhouse35,http://vk.com/tonhouse35,,160026  Вологда  улица Преображенского  дом 47  а,,
"EXPERT, детейлинг студия",0,https://wa.me/79211345404,,79211345404, ,http://vk.com/clubexpert35,,160017  Вологда  Пошехонское шоссе  дом 14  а/1,,
"ДАЛЬНИЙ, автотехцентр",0,,88172278319,,,http://vk.com/club146862835,,160024  Вологда  Дальняя улица  дом 32,,
"ИРБИС, СТО",0,,88172502203,, ,,,160013  Вологда  улица Можайского  дом 51  7 бокс,,
"АВТОКУЗОВ35, автомастерская",0,,88172703036,, ,http://vk.com/ap035,,160012  Вологда  улица Ветошкина  дом 86,,
"АВТОФОКУС, торгово-сервисная компания",0,,88172505935,, ,http://vk.com/club46020185,,160017  Вологда  Пошехонское шоссе  дом 6-а,,
"ЛЕКС, сервисный центр",0,,88172702515,,,http://vk.com/club88292440,,160026  Вологда  Окружное шоссе  дом 9,,
"ПЕСКАСТРУЙКА, сервисная компания",0,https://wa.me/79621681474,,79621681474, ,http://vk.com/club78400996,,160017  Вологда  Ленинградская улица  дом 61,,
"ФАНТОМ-МОТОРС, автосервис",0,,88172767274,, ,,,160012  Вологда  Советский проспект  дом 115,,
АВТОСЕРВИС,0,https://wa.me/79217223814,,79217223814,,https://vk.com/stoavtoliga,,160034  Вологда  Окружное шоссе  дом 21,,
"АСТРА, ремонтная мастерская",0,https://wa.me/79115077772,,79115077772, ,,,160013  Вологда  улица Можайского  дом 55  2 этаж,,
"У ПЕРЕЕЗДА, автосервис",0,https://wa.me/79517475997,,79517475997,,http://vk.com/club78400996  http://vk.com/ap035,,160004  Вологда  улица Клубова  дом 5,,
AVTOMOIKA_35_,0,https://wa.me/79115150607,,79115150607,,,,160004  Вологда  улица Мохова  дом 13,,
АВТОМОЙКА,0,,88172703575,, ,,,160009  Вологда  улица Мальцева  дом 54  в,,
"ПРИБРЕЖНЫЙ, автотехцентр",0,,88172507810,, ,http://vk.com/avtomoika35rus,,160000  Вологда  улица Бурмагиных  дом 36-а,,
АВТОМОЙКА,0,,88172747270,,,,,160023  Вологда  улица Можайского  дом 25  а,,
"ХАМЕЛЕОН, автомойка",0,https://wa.me/79517413322,,79517413322,vk.com/avtomoikavologda35,http://vk.com/avtomoikavologda35,,Вологда  Пошехонское шоссе  дом 33-а,,
ЦЕНТР ПО УХОДУ ЗА АВТОМОБИЛЯМИ,0,,88172507977,, ,,,Вологда  Окружное шоссе  дом 48,,
АВТОМОЙКА НА ПАНКРАТОВА,0,,88172521212,,,,,160026  Вологда  улица Преображенского  дом 57/1,,
АВТОМОЙКА НА ЛЕНИНГРАДСКОЙ,0,,88172506555,, ,,,160002  Вологда  Ленинградская улица  дом 100  к1,,
"GREEN, автомойка и центр шиномонтажа",0,,88172501012,, ,,,160026  Вологда  улица Преображенского  дом 34,,
"ТРИА, гостиничный комплекс",0,,88172707571,, ,http://vk.com/cafe.tria,,Вологда  Пошехонское шоссе  дом 37,,
"РАДУГА, автомойка",0,,88172290010,, ,http://vk.com/avtomoika_raduga,,Вологда  улица Сергея Преминина  дом 7,,
МОЙКА САМООБСЛУЖИВАНИЯ,0,https://wa.me/79114487136,,79114487136,vk.com/avtodgakuzi35,http://vk.com/avtodgakuzi35,,160022  Вологда  Пошехонское шоссе  дом 29  а к2,,
КОМФОРТ ПЛЮС,0,,88172508803,,vk.com/avtomoika_komfortplus,http://vk.com/avtomoika_komfortplus,,160032  Вологда  улица Конева  дом 32,,
АВТОМОЙКА,0,,88172500102,,,,,160019  Вологда  улица Чернышевского  дом 157/1,,
"ВОЛМОТОРС, техцентр",0,,88172239023,,,,,160028  Вологда  Окружное шоссе  дом 1/3,,
"R-LINE, автосервис",0,https://wa.me/79115010554,,79115010554,,,,160021  Вологда  улица Клубова  дом 30-а/1,,
"ЧИСТЮЛЯ24, сеть автомоек самообслуживания",0,,88122439127,,чистюля24.рф,,contact@5d9.ru,160000  Вологда  Пошехонское шоссе  дом 18,,
SIGMA35.RU,0,,88172582058,,sigma35.ru,,,160000  Вологда  Благовещенская улица  дом 4  1 этаж,,
КИТ-АВТО,0,,88172507373,, ,http://vk.com/vologda_kitavto,,160002  Вологда  улица Гагарина  дом 83,,
Автоломбард,0,,88172506575,,avtolombard35.ru,,,Вологда  Ленинградская улица  дом 97,,
Planar-Russia,0,,88003022321,,vologda.planar-russia.ru,,sales@planar-russia.ru,160017  Вологда  Ленинградская улица  дом 71  корпус 1,,
"РЕНТГЕН, автосервис",0,https://wa.me/79211402338,,79211402338, ,,,160025  Вологда  Московское шоссе  дом 50,,
ДИЗЕЛЬСЕРВИС35,0,,88172582057,, ,,,160014  Вологда  улица Саммера  дом 47-а  1 этаж,,
ВРЕМЯ,0,,88172501032,, ,,,160009  Вологда  Галкинская улица  дом 76,,
ВОЛОГДАЦЕНТРАВТО АНО,0,,88172548565,,,,,160014  Вологда  улица Самойло  дом 7,,
"Лаборатория автотехнической экспертизы, ано",0,https://wa.me/79535007586,,79535007586,,,,Вологда  Архангельская улица  дом 11,,
Оценщик,0,https://wa.me/79212320937,,79212320937,,,,Вологда  Зосимовская улица  дом 68,,
Агентство юридических и оценочных услуг,0,https://wa.me/79062924450,,79062924450,urist-expertiza.ru,,,Вологда  улица Горького  дом 45,,
"Правозащита, юридическая компания",0,,88172580045,,b.house.photooboi.org,,,Вологда  улица Челюскинцев  дом 7,,
"МАГУРА, производственная компания",0,https://wa.me/79212311582,,79212311582, ,http://vk.com/club68581198,,160032  Вологда  Архангельская улица  дом 13  3 офис,,
АТЕЛЬЕ ДЛЯ ВАШЕГО АВТО,0,https://wa.me/79211266922,,79211266922,vk.com/club20645736,http://vk.com/club20645736,,160002  Вологда  улица Южакова  дом 3  2 этаж,,
"АВТОРАЗБОР 35, магазин автозапчастей",0,https://wa.me/79218304020,,79218304020, ,,,160000  Вологда  улица Воровского  дом 21-а,,
КОМПАНИЯ ПО АВТОРАЗБОРУ И ВЫКУПУ АВТОМОБИЛЕЙ,0,https://wa.me/79115147616,,79115147616, ,,,Вологда  Товарная улица  дом 3  к1,,
"АВТОПОДБОР ВОЛОГДА, компания",0,,88172509508,, ,http://vk.com/prv35,,160034  Вологда  Ленинградская улица  дом 97-Б,,
"СЕВЕРНЫЙ, авторынок",0,,88172508887,,,,,160024  Вологда  Северная улица  дом 22/1,,
"ELEKTRO-MALL, магазин мобильного персонального электротранспорта",0,,88005518708,,elektro-mall.ru,http://vk.com/elektro_mall,,160009  Вологда  Предтеченская улица  дом 72,,
"РРТ-АВТОМАРКЕТ, мультибрeндовый автосалон",0,,88172595958,,automarket35.ru,http://vk.com/rrt.automarket35,,160028  Вологда  Окружное шоссе  дом 8/1,,
"РРТ-АВТОМАРКЕТ, центр продаж автомобилей с пробегом",0,,88172595955,,vologda.rrt-automarket.ru,http://vk.com/rrt_automarket.vologda,,Вологда  Окружное шоссе  дом 69/1,,
"ФОРД ЦЕНТР ВОЛОГДА, автосалон",0,,88172559688,,ford-avtoexpress.ru,,,160901  Вологда  Железнодорожная улица  дом 50  в к1,,
КИТ-АВТО,0,,88172507373,, ,http://vk.com/vologda_kitavto,,160002  Вологда  улица Гагарина  дом 83,,
ВОЛЬТАЖ,0,,88172581441,,www.tb35.ru,,,160000  Вологда  Движенческий переулок  дом 3-б,,
СЕВЕРНЫЙ RENAULT,0,,88172581441,,,http://vk.com/club95572460,,,,
СЕВЕР-АВТО,0,,88172543030,,,,,160000  Вологда  Комсомольская улица,,
МАРТЕН АВТО 35 М,0,,88172535065,, ,,,160000  Вологда  Гагарина улица  дом 66,,
АВТОВО ООО,0,,88172797979,,www.avtovo35.narod.ru,,,160000  Вологда  улица Ильюшина  дом 32,,
СЕВЕР-АВТОСЕРВИС,0,,88172580710,,www.sever-avto.ru,,,160000  Вологда  Железнодорожная улица  дом 50-А,,
АЛЬФА,0,,88172510070,, ,,,160000  Вологда  улица Можайского  дом 28,,
АВРОРА,0,,88172767878,, ,,,160000  Вологда  улица Карла Маркса  дом 125,,
ФЕРРУМ-ПЛАВ ТК,0,,88172536308,,,,,160012  Вологда  Окружное шоссе  дом 17,,
"АРЕНДАГАЗЕЛИ35, компания",0,,88172507920,, ,http://vk.com/arendagaz35,,Вологда  улица Гагарина  дом 101/4,,
"ВОДИ ВОЛОГДА, компания",0,,88172265997,, ,http://vk.com/vody35,,Вологда  Товарная улица  дом 1-а  корпус 1,,
"ФТ35, таксопарк",0,,88172239095,,fedtaxi.ru,http://vk.com/club206034376,,Вологда  улица Чехова  дом 44  ст2,,
РосАвтоПрокат,0,,88002504600,,www.rosautoprokat.ru,http://vk.com/uyutniy_gorod,,160001  Вологда  Ленинградская улица  дом 5,,
ЛИДЕР ТАКСИ,0,,88172716060,,,http://vk.com/limuzine35  http://vk.com/maxstroi006,,160000  Вологда  Пошехонское шоссе  дом 9,,
"АВТОКАТ, прокатная фирма",0,,88172580422,,,,,160009  Вологда  Зосимовская улица  дом 119-А,,
"ПРЕСТИЖАВТОЛЮКС, прокатная фирма",0,,88172502772,, ,,,160011  Вологда  Зосимовская улица  дом 14  офис 9,,
"ИНВЕСТСТРОЙПРОЕКТ, транспортная компания",0,,88172725020,, ,,,160004  Вологда  Благовещенская улица  дом 76-а  вход со двора,,
"ПЕГАС, такси",0,,88172589999,, ,,,160022  Вологда  улица Сергея Преминина  дом 1,,
"LIMOKATE, салон проката лимузинов",0,,88172588777,, ,,,160001  Вологда  Благовещенская улица  дом 26  308 офис,,
"РУСЬ, транспортная компания",0,,88172529222,,www.taxi-rus.ru,http://vk.com/uyutniy_gorod,,160017  Вологда  Ленинградская улица  дом 71  610 офис,,
"ПЕРСОНА, служба заказа пассажирского легкового транспорта",0,,88172700222,,www.taxi35.ucoz.ru,,,160000  Вологда,,
ПРОКАТНАЯ КОМПАНИЯ,0,,88172580529,,,,,160000  Вологда  Козленская улица  дом 3  1 офис,,
"АЭРОБУС, транспортная компания",0,,88172702829,,,,,160001  Вологда  улица Батюшкова  дом 18,,
"МАГИСТРАЛЬ, транспортная компания",0,,88172701085,, ,http://vk.com/maxstroi006,,160009  Вологда  улица Мира  дом 82  606 офис  6 этаж,,
"ПРЕМИУМ, служба заказа легкового транспорта",0,,88172529222,, ,,,160017  Вологда  Ленинградская улица  дом 71,,
"ЭКОНОМ, служба заказа легкового транспорта",0,,88172522222,,www.taxi35.ru,http://vk.com/taxi35region,,160013  Вологда  улица Можайского  дом 60,,
АВТОЗВУК,0,,88172547402,,www.avto-zvuk.su,https://vk.com/carsnab35,,160000  Вологда  Горького улица  дом 39-А,,
"ОХРАННЫЕ СИСТЕМЫ, магазин",0,,88172703638,, ,https://vk.com/carsnab35,,160012  Вологда  Советский проспект  дом 162,,
"КУЗНИЦА АВТОЗВУКА, магазин автотоваров",0,,88172704966,, ,http://vk.com/kuznicazvuka  https://vk.com/carsnab35,,160000  Вологда  Зосимовская улица  дом 35,,
"АВТОФОКУС, торгово-сервисная компания",0,,88172505935,, ,http://vk.com/club46020185,,160017  Вологда  Пошехонское шоссе  дом 6-а,,
"ЛЕКС, сервисный центр",0,,88172702515,,,http://vk.com/club88292440,,160026  Вологда  Окружное шоссе  дом 9,,
"АВТОКАН, торгово-монтажная компания",0,https://wa.me/79115028665,,79115028665,vk.com/autocan,http://vk.com/autocan,,160001  Вологда  Благовещенская улица  дом 26  109 офис,,
"СИГНАЛКА, автомагазин",0,,88172580564,,,https://vk.com/carsnab35,,160026  Вологда  Окружное шоссе  дом 9,,
"АМАКС, сеть автотехцентров",0,,88172239090,,www.amax-studio.ru,,,160013  Вологда  улица Можайского  дом 55,,
"ПРИОРИТЕТ, автомастерская",0,,88172705573,, ,http://vk.com/autocan,,160017  Вологда  Ленинградская улица  дом 61,,
"АВТОЛАЙФ, автосервис",0,,88172506609,,al35.pro,http://vk.com/au35ru,,160022  Вологда  Пошехонское шоссе  дом 18  корпус С  вход с торца,,
"ВЕЛЕССЕРВИС, компания",0,,88172705750,,,,,Вологда  Машиностроительная улица  дом 29,,
"FRESH, автокомплекс",0,,88172706106,,vk.com/freshcar35,http://vk.com/freshcar35  http://vk.com/club64746134,,Вологда  Пошехонское шоссе  дом 33-а,,
"У ЗЕНИТКИ, СТО",0,,88172700354,,,,,160004  Вологда  улица Маяковского  дом 45,,
"АВТОСНАБЖЕНЕЦ, магазин автозапчастей",0,,88172299488,,vk.com/carsnab35,https://vk.com/carsnab35,,160000  Вологда  улица Кирова  дом 57,,
"АЛЬФА, автостудия автоаксессуаров и электроники, ИП Бобыкин В.В.",0,,88172701076,,autostudio.info-35.ru,https://vk.com/avtostydiaalfa35,,160017  Вологда  Тепличный микрорайон  дом 1  корпус 1,,
АВТОРАЗБОРКА НА ИЛЬЮШИНА 36,0,,88172509955,, ,,,160028  Вологда  улица Ильюшина  дом 36,,
ДУБЛЬ,0,,88172536489,, ,http://vk.com/avtoservisrusich,,160000  Вологда  Ленинградская улица  дом 77,,
"INTERAUTO, центр авторазбора",0,,88172700888,,700888.ru,http://vk.com/id209209896,,160000  Вологда  улица Чернышевского  дом 11-а  вход со двора,,
"РУСИЧ, автосервис",0,https://wa.me/79115060934,,79115060934,vk.com/avtoservisrusich,http://vk.com/avtoservisrusich  http://vk.com/id209209896,,Вологда  улица Клубова  дом 5,,
"ХАМЕЛЕОН, торгово-сервисная компания",0,,88172501806,, ,http://vk.com/avto_vologda35,,160004  Вологда  Гончарная улица  дом 4-а  корпус 3,,
"LEMARK, центр авторазбора",0,https://wa.me/79005311015,,79005311015,lemarkparts.ru,,,160017  Вологда  Пошехонское шоссе  дом 8/1,,
Авторазборки 35,0,,88172510172,,vk.com/zapchasti_vologda,http://vk.com/zapchasti_vologda,,Вологда  Кремлевская площадь  дом 1,,
Авторазборка у Андреича,0,https://wa.me/79535165546,,79535165546,vk.com/id209209896,http://vk.com/id209209896  http://vk.com/avtoservisrusich,,Вологда  Копрецовская улица  дом 3,,
Авторазборка На Рабочей,0,,88172754575,,vk.com/id174588928,http://vk.com/id174588928  http://vk.com/3ap4actu,,Вологда  Рабочая улица  дом 1-б,,
АвтоПрофи,0,,88172506360,,thecarz.ru,http://vk.com/id209209896,,160004  Вологда  Белозерское шоссе  дом 3,,
